,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Tariq Abdul-Wahad,SG,25.0,TOT,61.0,1578.0,13.6,0.477,0.036,0.299,7.0,13.1,10.0,10.0,1.8,1.2,12.7,22.5,0.0,0.4,1.8,2.2,0.068,-1.6,0.1,-1.5,0.2
1,Tariq Abdul-Wahad,SG,25.0,ORL,46.0,1205.0,14.4,0.484,0.041,0.293,7.0,14.6,10.8,9.7,2.2,0.9,13.0,23.3,0.0,0.4,1.6,2.0,0.082,-1.3,0.4,-0.8,0.4
2,Tariq Abdul-Wahad,SG,25.0,DEN,15.0,373.0,10.8,0.448,0.015,0.321,6.9,8.2,7.6,11.0,0.8,2.2,11.3,19.7,0.0,0.0,0.2,0.2,0.023,-2.8,-1.0,-3.8,-0.2
3,Shareef Abdur-Rahim,SF,23.0,VAN,82.0,3223.0,20.2,0.547,0.075,0.431,8.0,22.7,15.3,15.5,1.5,1.9,14.1,25.0,0.0,6.2,2.6,8.8,0.132,1.8,0.5,2.3,3.5
4,Cory Alexander,PG,26.0,DEN,29.0,329.0,8.8,0.381,0.357,0.224,2.6,11.3,6.9,25.7,3.7,0.4,20.6,18.0,0.0,-0.5,0.4,-0.1,-0.012,-3.6,0.1,-3.5,-0.1
5,Ray Allen*,SG,24.0,MIL,82.0,3070.0,20.6,0.57,0.288,0.282,3.2,10.5,6.8,17.0,1.9,0.5,10.3,25.6,0.0,9.0,1.0,10.1,0.157,5.0,-2.0,3.0,3.9
6,Rafer Alston,PG,23.0,MIL,27.0,361.0,4.3,0.31,0.147,0.042,1.6,5.8,3.7,26.8,1.7,0.0,23.1,15.5,0.0,-0.7,0.0,-0.7,-0.095,-6.0,-3.4,-9.5,-0.7
7,John Amaechi,C,29.0,ORL,80.0,1684.0,13.2,0.505,0.009,0.416,4.0,13.2,8.6,9.1,1.0,1.5,14.4,24.1,0.0,0.6,1.8,2.4,0.067,-2.7,-0.9,-3.6,-0.7
8,Derek Anderson,SG,25.0,LAC,64.0,2201.0,16.9,0.542,0.207,0.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,0.0,3.1,0.3,3.3,0.073,1.7,-1.9,-0.2,1.0
9,Kenny Anderson,PG,29.0,BOS,82.0,2593.0,17.4,0.524,0.223,0.257,2.3,7.9,4.9,26.7,2.7,0.2,10.6,20.5,0.0,5.4,1.9,7.3,0.136,2.6,-1.4,1.2,2.1
10,Nick Anderson,SG,32.0,SAC,72.0,2094.0,11.8,0.479,0.508,0.097,4.1,12.8,8.4,8.6,2.2,0.5,10.4,18.1,0.0,0.3,2.5,2.8,0.064,-0.1,0.4,0.3,1.2
11,Shandon Anderson,SF,26.0,HOU,82.0,2700.0,13.8,0.567,0.289,0.325,3.9,11.9,8.0,14.3,1.8,0.8,17.9,17.6,0.0,3.0,1.9,4.9,0.087,0.7,0.2,0.9,2.0
12,Chris Anstey,C,25.0,CHI,73.0,1007.0,15.1,0.512,0.016,0.404,10.3,22.5,16.3,13.2,1.5,1.8,15.7,23.1,0.0,0.6,1.3,1.9,0.09,-2.4,-0.2,-2.5,-0.1
13,Greg Anthony,PG,32.0,POR,82.0,1548.0,13.0,0.551,0.56,0.274,1.4,8.4,5.1,20.5,2.0,0.4,15.4,16.4,0.0,2.3,1.8,4.1,0.128,1.3,-0.9,0.4,0.9
14,B.J. Armstrong,PG,32.0,CHI,27.0,583.0,10.7,0.51,0.156,0.134,0.4,9.2,4.7,26.5,0.6,0.1,16.9,18.6,0.0,0.2,0.2,0.4,0.03,-2.8,-3.6,-6.4,-0.6
15,Darrell Armstrong,PG,31.0,ORL,82.0,2590.0,19.5,0.542,0.36,0.221,2.7,8.6,5.7,31.4,3.2,0.2,16.8,23.9,0.0,4.6,3.4,8.0,0.149,4.3,0.0,4.4,4.2
16,Chucky Atkins,PG,25.0,ORL,82.0,1626.0,14.4,0.489,0.22,0.179,1.3,7.1,4.2,30.9,1.6,0.1,15.1,24.3,0.0,1.1,1.3,2.4,0.072,0.4,-2.6,-2.3,-0.1
17,Stacey Augmon,SG,31.0,POR,59.0,692.0,12.2,0.51,0.011,0.314,7.5,12.0,9.9,11.9,2.1,1.2,16.0,15.8,0.0,0.5,1.0,1.5,0.102,-1.6,1.1,-0.5,0.3
18,Isaac Austin,C,30.0,WAS,59.0,1173.0,10.2,0.481,0.011,0.389,6.2,21.7,13.8,10.0,0.8,2.3,20.6,19.6,0.0,-0.9,0.9,0.0,0.001,-4.4,0.4,-4.0,-0.6
19,Anthony Avent,PF,30.0,LAC,49.0,377.0,5.5,0.368,0.0,0.333,6.6,15.6,10.9,4.5,2.2,2.7,17.9,15.8,0.0,-0.7,0.2,-0.5,-0.065,-7.5,-0.2,-7.7,-0.5
20,William Avery,PG,20.0,MIN,59.0,484.0,6.7,0.391,0.348,0.199,1.9,7.8,4.8,26.2,1.5,0.3,17.6,22.3,0.0,-0.8,0.3,-0.5,-0.046,-4.2,-3.4,-7.5,-0.7
21,Toby Bailey,SG,24.0,PHO,46.0,449.0,10.8,0.483,0.071,0.464,6.6,11.2,8.9,10.3,1.5,0.6,12.5,18.9,0.0,0.2,0.6,0.8,0.088,-3.1,-0.6,-3.7,-0.2
23,Vin Baker,C,28.0,SEA,79.0,2849.0,14.0,0.5,0.007,0.365,8.6,14.7,11.6,8.6,0.8,1.6,14.0,23.6,0.0,1.2,2.2,3.5,0.059,-2.1,-0.7,-2.8,-0.6
24,Charles Barkley*,PF,36.0,HOU,20.0,620.0,19.8,0.534,0.117,0.495,13.1,24.4,18.9,17.3,1.2,0.4,14.0,22.3,0.0,1.3,0.6,1.9,0.148,2.1,0.3,2.4,0.7
25,Dana Barros,PG,32.0,BOS,72.0,1139.0,15.1,0.552,0.331,0.175,1.2,9.1,5.0,19.4,1.4,0.3,12.3,20.4,0.0,2.0,0.5,2.4,0.103,0.9,-3.1,-2.3,-0.1
26,Brent Barry,SG,28.0,SEA,80.0,2726.0,14.6,0.609,0.564,0.222,2.0,13.1,7.5,16.0,1.9,0.8,15.5,14.9,0.0,4.9,2.5,7.5,0.131,2.0,0.4,2.4,3.0
