,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Zaid Abdul-Aziz,C,26.0,HOU,48.0,0.0,900.0,6.0,15.0,0.397,0.0,0.0,0.0,6.0,15.0,0.397,4.8,6.5,0.735,0.0,0.0,12.2,2.1,0.0,0.0,0.0,4.3,16.7
1,Kareem Abdul-Jabbar*,C,25.0,MIL,76.0,0.0,3254.0,10.9,19.6,0.554,0.0,0.0,0.0,10.9,19.6,0.554,3.6,5.1,0.713,0.0,0.0,13.5,4.2,0.0,0.0,0.0,2.3,25.4
2,Don Adams,SF,25.0,TOT,74.0,0.0,1874.0,5.1,13.0,0.391,0.0,0.0,0.0,5.1,13.0,0.391,2.8,3.5,0.788,0.0,0.0,8.5,2.2,0.0,0.0,0.0,4.4,13.0
3,Don Adams,SF,25.0,ATL,4.0,0.0,76.0,3.8,18.0,0.211,0.0,0.0,0.0,3.8,18.0,0.211,3.3,3.8,0.875,0.0,0.0,10.4,2.4,0.0,0.0,0.0,5.2,10.9
4,Don Adams,SF,25.0,DET,70.0,0.0,1798.0,5.1,12.8,0.402,0.0,0.0,0.0,5.1,12.8,0.402,2.8,3.5,0.784,0.0,0.0,8.4,2.2,0.0,0.0,0.0,4.4,13.1
5,Rick Adelman,PG,26.0,POR,76.0,0.0,1822.0,4.2,10.4,0.408,0.0,0.0,0.0,4.2,10.4,0.408,1.4,2.0,0.716,0.0,0.0,3.1,5.8,0.0,0.0,0.0,3.1,9.9
6,Lucius Allen,PG,25.0,MIL,80.0,0.0,2693.0,7.3,15.1,0.484,0.0,0.0,0.0,7.3,15.1,0.484,1.9,2.7,0.715,0.0,0.0,3.7,5.7,0.0,0.0,0.0,2.5,16.5
7,Tiny Archibald*,PG,24.0,KCO,80.0,0.0,3681.0,10.1,20.6,0.488,0.0,0.0,0.0,10.1,20.6,0.488,6.5,7.7,0.847,0.0,0.0,2.2,8.9,0.0,0.0,0.0,2.0,26.6
8,Dennis Awtrey,C,24.0,TOT,82.0,0.0,1687.0,3.1,6.5,0.479,0.0,0.0,0.0,3.1,6.5,0.479,1.8,3.3,0.562,0.0,0.0,9.5,4.8,0.0,0.0,0.0,5.0,8.1
9,Dennis Awtrey,C,24.0,PHI,3.0,0.0,37.0,2.9,6.8,0.429,0.0,0.0,0.0,2.9,6.8,0.429,1.0,3.9,0.25,0.0,0.0,13.6,1.9,0.0,0.0,0.0,7.8,6.8
