,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,60.0,22.0,0.732,—,106.5,100.8,5.4
1,Buffalo Braves,49.0,33.0,0.598,11.0,107.8,105.6,2.16
2,New York Knicks,40.0,42.0,0.488,20.0,100.4,101.7,-0.92
3,Philadelphia 76ers,34.0,48.0,0.415,26.0,99.8,102.8,-2.6
4,Washington Bullets,60.0,22.0,0.732,—,104.7,97.5,6.53
5,Houston Rockets,41.0,41.0,0.5,19.0,103.9,102.9,0.84
6,Cleveland Cavaliers,40.0,42.0,0.488,20.0,99.0,99.4,-0.31
7,Atlanta Hawks,31.0,51.0,0.378,29.0,105.1,106.5,-1.32
8,New Orleans Jazz,23.0,59.0,0.28,37.0,101.5,109.3,-7.3
9,Chicago Bulls,47.0,35.0,0.573,—,98.1,95.0,2.88
10,Kansas City,44.0,38.0,0.537,3.0,101.4,101.6,-0.16
11,Detroit Pistons,40.0,42.0,0.488,7.0,98.9,100.3,-1.19
12,Milwaukee Bucks,38.0,44.0,0.463,9.0,100.7,100.5,0.25
13,Golden State Warriors,48.0,34.0,0.585,—,108.5,105.2,2.86
14,Seattle SuperSonics,43.0,39.0,0.524,5.0,103.1,104.1,-1.19
15,Portland Trail Blazers,38.0,44.0,0.463,10.0,103.8,103.3,0.27
16,Phoenix Suns,32.0,50.0,0.39,16.0,101.2,103.6,-2.36
17,Los Angeles Lakers,30.0,52.0,0.366,18.0,103.2,107.2,-3.94
