,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Shareef Abdur-Rahim,PF,27.0,TOT,85.0,56.0,2684.0,10.0,21.0,0.475,0.2,0.7,0.265,9.8,20.4,0.482,7.4,8.6,0.869,3.8,9.0,12.8,3.5,1.4,0.7,3.7,4.4,27.6,0.0,110.0,105.0
1,Shareef Abdur-Rahim,PF,27.0,ATL,53.0,53.0,1956.0,10.3,21.3,0.485,0.1,0.6,0.217,10.2,20.7,0.493,7.9,9.0,0.88,3.8,9.6,13.4,3.4,1.2,0.5,3.5,4.0,28.8,0.0,112.0,106.0
2,Shareef Abdur-Rahim,PF,27.0,POR,32.0,3.0,728.0,9.0,20.2,0.447,0.3,0.8,0.364,8.7,19.3,0.451,6.0,7.3,0.832,3.7,7.3,11.0,3.6,1.8,1.4,4.1,5.7,24.4,0.0,103.0,104.0
3,Malik Allen,PF,25.0,MIA,45.0,6.0,616.0,7.4,17.5,0.419,0.0,0.0,0.0,7.4,17.5,0.419,2.2,2.9,0.758,3.7,6.8,10.5,1.4,1.1,2.5,2.4,7.2,16.9,0.0,93.0,101.0
4,Ray Allen*,SG,28.0,SEA,56.0,56.0,2152.0,11.1,25.2,0.44,3.7,9.4,0.392,7.4,15.8,0.468,6.1,6.7,0.904,1.7,5.4,7.1,6.6,1.8,0.3,3.9,3.3,31.9,0.0,112.0,110.0
5,Rafer Alston,PG,27.0,MIA,82.0,28.0,2581.0,6.1,16.2,0.376,3.4,9.2,0.371,2.7,7.0,0.382,2.2,2.8,0.769,0.5,4.2,4.8,7.9,2.4,0.4,2.7,4.5,17.7,0.0,105.0,102.0
6,Chris Andersen,PF,25.0,DEN,71.0,0.0,1029.0,4.5,10.1,0.443,0.0,0.0,0.0,4.5,10.1,0.446,3.1,5.3,0.589,4.4,10.4,14.9,1.7,1.7,5.7,2.4,5.9,12.1,0.0,100.0,96.0
7,Derek Anderson,SG,29.0,POR,51.0,46.0,1810.0,7.1,18.8,0.376,2.4,8.0,0.305,4.6,10.9,0.428,4.8,5.8,0.824,0.8,4.8,5.6,7.0,2.0,0.1,2.8,2.4,21.3,0.0,107.0,107.0
8,Kenny Anderson,PG,33.0,IND,44.0,31.0,905.0,6.8,15.5,0.441,0.1,0.2,0.25,6.8,15.3,0.444,2.1,2.9,0.729,1.2,3.8,4.9,7.6,1.6,0.3,3.0,4.4,15.9,0.0,98.0,101.0
9,Shandon Anderson,SG,30.0,NYK,80.0,37.0,1974.0,6.5,15.3,0.422,1.0,3.5,0.281,5.5,11.8,0.463,3.3,4.4,0.764,1.4,4.6,6.0,3.3,1.8,0.5,3.2,4.9,17.2,0.0,96.0,105.0
10,Carmelo Anthony,SF,19.0,DEN,82.0,82.0,2995.0,10.7,25.2,0.426,1.2,3.7,0.322,9.5,21.5,0.444,7.0,9.0,0.777,3.1,5.4,8.6,3.9,1.7,0.7,4.2,3.9,29.6,0.0,102.0,105.0
11,Robert Archibald,C-PF,23.0,TOT,32.0,3.0,256.0,1.9,7.1,0.273,0.0,0.0,0.0,1.9,7.1,0.273,3.0,6.7,0.452,4.5,6.7,11.2,2.8,3.0,0.6,2.2,10.8,6.9,0.0,84.0,98.0
