,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jay Arnette,G,27.0,CIN,3.0,0.0,14.0,2.6,15.4,0.167,0.0,0.0,0.0,2.6,15.4,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,5.1
1,Al Attles*,PG,29.0,SFW,79.0,0.0,2053.0,6.4,12.7,0.503,0.0,0.0,0.0,6.4,12.7,0.503,2.7,4.4,0.611,0.0,0.0,5.6,3.9,0.0,0.0,0.0,4.6,15.5
2,Jim Barnes,PF,24.0,TOT,73.0,0.0,2191.0,5.7,13.4,0.425,0.0,0.0,0.0,5.7,13.4,0.425,3.5,5.1,0.684,0.0,0.0,12.4,1.5,0.0,0.0,0.0,4.6,14.9
3,Jim Barnes,PF,24.0,NYK,7.0,0.0,263.0,5.5,12.3,0.444,0.0,0.0,0.0,5.5,12.3,0.444,4.1,5.7,0.714,0.0,0.0,9.9,1.2,0.0,0.0,0.0,4.5,15.1
4,Jim Barnes,PF,24.0,BAL,66.0,0.0,1928.0,5.8,13.6,0.423,0.0,0.0,0.0,5.8,13.6,0.423,3.4,5.0,0.679,0.0,0.0,12.8,1.6,0.0,0.0,0.0,4.7,14.9
5,Dick Barnett,SG,29.0,NYK,75.0,0.0,2589.0,8.8,18.7,0.469,0.0,0.0,0.0,8.8,18.7,0.469,6.5,8.4,0.772,0.0,0.0,4.3,3.6,0.0,0.0,0.0,3.3,24.0
6,John Barnhill,PG,27.0,TOT,76.0,0.0,1617.0,5.4,13.5,0.401,0.0,0.0,0.0,5.4,13.5,0.401,2.5,4.1,0.614,0.0,0.0,4.5,4.4,0.0,0.0,0.0,3.0,13.3
7,John Barnhill,PG,27.0,STL,31.0,0.0,691.0,5.4,12.7,0.428,0.0,0.0,0.0,5.4,12.7,0.428,2.8,4.5,0.628,0.0,0.0,4.7,4.3,0.0,0.0,0.0,3.0,13.6
8,John Barnhill,PG,27.0,DET,45.0,0.0,926.0,5.4,14.1,0.383,0.0,0.0,0.0,5.4,14.1,0.383,2.3,3.8,0.602,0.0,0.0,4.4,4.4,0.0,0.0,0.0,3.0,13.1
9,Rick Barry*,SF,21.0,SFW,80.0,0.0,2990.0,9.0,20.4,0.439,0.0,0.0,0.0,9.0,20.4,0.439,6.9,7.9,0.862,0.0,0.0,10.2,2.1,0.0,0.0,0.0,3.6,24.8
10,Elgin Baylor*,SF,31.0,LAL,65.0,0.0,1975.0,7.6,18.8,0.401,0.0,0.0,0.0,7.6,18.8,0.401,4.5,6.1,0.739,0.0,0.0,11.3,4.1,0.0,0.0,0.0,2.9,19.7
11,Zelmo Beaty*,C,26.0,STL,80.0,0.0,3072.0,7.2,15.2,0.473,0.0,0.0,0.0,7.2,15.2,0.473,5.0,6.6,0.758,0.0,0.0,12.7,1.5,0.0,0.0,0.0,4.0,19.4
12,Walt Bellamy*,C,26.0,TOT,80.0,0.0,3352.0,7.5,14.7,0.506,0.0,0.0,0.0,7.5,14.7,0.506,4.6,7.4,0.624,0.0,0.0,13.5,2.5,0.0,0.0,0.0,3.2,19.5
13,Walt Bellamy*,C,26.0,BAL,8.0,0.0,268.0,7.5,16.7,0.452,0.0,0.0,0.0,7.5,16.7,0.452,5.4,9.0,0.597,0.0,0.0,13.7,2.4,0.0,0.0,0.0,4.3,20.4
14,Walt Bellamy*,C,26.0,NYK,72.0,0.0,3084.0,7.5,14.6,0.512,0.0,0.0,0.0,7.5,14.6,0.512,4.6,7.3,0.627,0.0,0.0,13.4,2.5,0.0,0.0,0.0,3.1,19.5
15,Al Bianchi,PG,33.0,PHI,78.0,0.0,1312.0,5.9,15.4,0.382,0.0,0.0,0.0,5.9,15.4,0.382,1.8,2.7,0.673,0.0,0.0,3.7,3.7,0.0,0.0,0.0,6.4,13.6
16,Ron Bonham,SG,23.0,BOS,39.0,0.0,312.0,8.8,23.9,0.367,0.0,0.0,0.0,8.8,23.9,0.367,6.0,7.0,0.852,0.0,0.0,4.0,1.3,0.0,0.0,0.0,3.3,23.5
17,Bob Boozer,PF,28.0,LAL,78.0,0.0,1847.0,7.1,14.7,0.484,0.0,0.0,0.0,7.1,14.7,0.484,4.4,5.6,0.779,0.0,0.0,10.7,1.7,0.0,0.0,0.0,3.8,18.6
18,Gary Bradds,SF,23.0,BAL,3.0,0.0,15.0,4.8,14.4,0.333,0.0,0.0,0.0,4.8,14.4,0.333,7.2,9.6,0.75,0.0,0.0,19.2,2.4,0.0,0.0,0.0,2.4,16.8
19,Jesse Branson,SF,24.0,PHI,5.0,0.0,14.0,2.6,15.4,0.167,0.0,0.0,0.0,2.6,15.4,0.167,7.7,10.3,0.75,0.0,0.0,23.1,2.6,0.0,0.0,0.0,10.3,12.9
