,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,57.0,25.0,0.695,—,113.6,107.7,6.15
1,Washington Bullets,38.0,44.0,0.463,19.0,105.5,106.3,-0.16
2,New York Knicks,38.0,44.0,0.463,19.0,105.5,106.0,0.14
3,Philadelphia 76ers,36.0,46.0,0.439,21.0,105.7,107.1,-0.79
4,New Jersey Nets,19.0,63.0,0.232,38.0,100.4,108.5,-6.98
5,Detroit Pistons,54.0,28.0,0.659,—,109.2,104.1,5.46
6,Chicago Bulls,50.0,32.0,0.61,4.0,105.0,101.6,3.76
7,Atlanta Hawks,50.0,32.0,0.61,4.0,107.9,104.3,4.02
8,Milwaukee Bucks,42.0,40.0,0.512,12.0,106.1,105.5,1.21
9,Cleveland Cavaliers,42.0,40.0,0.512,12.0,104.5,103.7,1.28
10,Indiana Pacers,38.0,44.0,0.463,16.0,104.6,105.4,-0.18
11,Denver Nuggets,54.0,28.0,0.659,—,116.7,112.7,3.32
12,Dallas Mavericks,53.0,29.0,0.646,1.0,109.3,104.9,3.59
13,Utah Jazz,47.0,35.0,0.573,7.0,108.5,104.8,2.96
14,Houston Rockets,46.0,36.0,0.561,8.0,109.0,107.6,0.82
15,San Antonio Spurs,31.0,51.0,0.378,23.0,113.6,118.5,-5.02
16,Sacramento Kings,24.0,58.0,0.293,30.0,108.0,113.7,-5.84
17,Los Angeles Lakers,62.0,20.0,0.756,—,112.8,107.0,4.81
18,Portland Trail Blazers,53.0,29.0,0.646,9.0,116.1,111.5,3.59
19,Seattle SuperSonics,44.0,38.0,0.537,18.0,111.4,109.3,1.29
20,Phoenix Suns,28.0,54.0,0.341,34.0,108.5,113.0,-4.8
21,Golden State Warriors,20.0,62.0,0.244,42.0,107.0,115.3,-8.38
22,Los Angeles Clippers,17.0,65.0,0.207,45.0,98.8,109.1,-10.24
