,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Steven Adams,C,26.0,OKC,58.0,1564.0,20.8,0.605,0.007,0.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,0.0,3.7,2.5,6.2,0.19,2.1,1.1,3.2,2.0
1,Bam Adebayo,PF,22.0,MIA,64.0,2200.0,20.5,0.604,0.018,0.483,8.6,25.1,17.3,23.2,1.7,3.8,17.6,20.7,0.0,4.4,3.6,8.0,0.175,1.6,2.0,3.6,3.1
2,LaMarcus Aldridge,C,34.0,SAS,52.0,1717.0,19.9,0.573,0.199,0.243,6.4,18.0,12.2,11.5,0.9,4.3,7.9,23.4,0.0,3.1,1.3,4.4,0.123,1.9,-0.6,1.4,1.5
3,Nickeil Alexander-Walker,SG,21.0,NOP,41.0,501.0,7.6,0.441,0.515,0.123,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,0.0,-0.7,0.4,-0.4,-0.034,-3.4,-1.5,-4.9,-0.4
4,Grayson Allen,SG,24.0,MEM,30.0,498.0,11.4,0.577,0.517,0.199,1.1,12.6,6.9,11.8,0.6,0.2,10.7,17.9,0.0,0.5,0.3,0.7,0.07,-1.0,-1.7,-2.6,-0.1
5,Jarrett Allen,C,21.0,BRK,63.0,1627.0,20.4,0.66,0.012,0.567,12.4,25.1,18.9,7.9,1.0,4.3,12.3,15.1,0.0,4.3,2.7,7.0,0.207,1.1,1.0,2.1,1.7
6,Kadeem Allen,SG,27.0,NYK,10.0,117.0,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.2,2.1,1.6,14.1,20.6,0.0,0.1,0.1,0.1,0.054,-0.1,-0.6,-0.7,0.0
7,Al-Farouq Aminu,PF,29.0,ORL,18.0,380.0,7.6,0.395,0.419,0.337,6.5,18.4,12.3,7.4,2.3,1.9,14.7,13.2,0.0,-0.4,0.5,0.1,0.015,-4.6,1.4,-3.2,-0.1
8,Justin Anderson,SF,26.0,BRK,3.0,17.0,-3.8,0.218,0.5,0.333,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,0.0,-0.1,0.0,-0.1,-0.168,-12.7,-2.3,-15.0,-0.1
9,Kyle Anderson,PF,26.0,MEM,58.0,1114.0,13.1,0.542,0.222,0.222,5.2,18.4,11.9,15.2,1.9,2.3,15.2,13.5,0.0,0.8,1.4,2.2,0.095,-1.3,1.7,0.4,0.7
