,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Zaid Abdul-Aziz,C,28.0,HOU,65.0,0.0,1450.0,5.8,13.4,0.437,0.0,0.0,0.0,5.8,13.4,0.437,3.9,5.0,0.783,3.8,8.3,12.1,2.1,0.9,1.8,0.0,3.2,15.6
1,Kareem Abdul-Jabbar*,C,27.0,MIL,65.0,0.0,2747.0,10.6,20.8,0.513,0.0,0.0,0.0,10.6,20.8,0.513,4.3,5.6,0.763,2.5,9.4,12.0,3.5,0.9,2.8,0.0,2.7,25.5
2,Don Adams,SF,27.0,DET,51.0,0.0,1376.0,3.3,8.2,0.403,0.0,0.0,0.0,3.3,8.2,0.403,1.2,2.0,0.577,1.6,4.7,6.4,2.0,1.8,0.5,0.0,4.7,7.8
3,Rick Adelman,PG,28.0,TOT,58.0,0.0,1074.0,4.1,9.8,0.423,0.0,0.0,0.0,4.1,9.8,0.423,2.4,3.5,0.709,0.8,2.3,3.2,3.8,2.3,0.3,0.0,3.4,10.7
4,Rick Adelman,PG,28.0,CHI,12.0,0.0,340.0,4.6,11.0,0.413,0.0,0.0,0.0,4.6,11.0,0.413,3.0,4.1,0.718,0.6,2.1,2.8,3.7,1.7,0.1,0.0,3.3,12.1
5,Rick Adelman,PG,28.0,NOJ,28.0,0.0,613.0,3.9,9.3,0.421,0.0,0.0,0.0,3.9,9.3,0.421,2.4,3.5,0.695,0.8,2.5,3.2,4.1,2.8,0.4,0.0,3.4,10.3
6,Rick Adelman,PG,28.0,KCO,18.0,0.0,121.0,3.9,8.3,0.464,0.0,0.0,0.0,3.9,8.3,0.464,1.2,1.5,0.8,1.8,2.4,4.2,2.4,2.1,0.3,0.0,3.6,8.9
7,Lucius Allen,PG,27.0,TOT,66.0,0.0,2353.0,7.8,17.9,0.437,0.0,0.0,0.0,7.8,17.9,0.437,3.6,4.7,0.778,1.4,2.9,4.3,5.7,2.1,0.4,0.0,3.3,19.3
8,Lucius Allen,PG,27.0,MIL,10.0,0.0,342.0,7.2,17.3,0.415,0.0,0.0,0.0,7.2,17.3,0.415,3.3,3.9,0.838,0.9,2.3,3.3,5.6,1.5,0.1,0.0,2.4,17.6
9,Lucius Allen,PG,27.0,LAL,56.0,0.0,2011.0,7.9,18.0,0.44,0.0,0.0,0.0,7.9,18.0,0.44,3.7,4.8,0.77,1.5,3.0,4.4,5.7,2.2,0.5,0.0,3.5,19.6
10,Dan Anderson,SG,24.0,POR,43.0,0.0,453.0,3.7,8.3,0.448,0.0,0.0,0.0,3.7,8.3,0.448,2.1,2.4,0.867,0.6,1.7,2.3,6.4,1.3,0.1,0.0,3.5,9.5
