,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,56.0,26.0,0.683,—,115.6,110.8,4.38
1,New York Knicks,48.0,34.0,0.585,8.0,107.1,104.7,2.28
2,Philadelphia 76ers,30.0,52.0,0.366,26.0,112.2,115.9,-3.44
3,Buffalo Braves,22.0,60.0,0.268,34.0,102.0,111.3,-9.44
4,Baltimore Bullets,38.0,44.0,0.463,—,107.1,108.3,-1.26
5,Atlanta Hawks,36.0,46.0,0.439,2.0,109.5,111.3,-1.94
6,Cincinnati Royals,30.0,52.0,0.366,8.0,107.8,111.8,-4.13
7,Cleveland Cavaliers,23.0,59.0,0.28,15.0,105.8,113.4,-7.9
8,Milwaukee Bucks,63.0,19.0,0.768,—,114.6,103.5,10.7
9,Chicago Bulls,57.0,25.0,0.695,6.0,111.2,102.9,7.91
10,Phoenix Suns,49.0,33.0,0.598,14.0,116.3,110.8,5.57
11,Detroit Pistons,26.0,56.0,0.317,37.0,109.1,115.9,-6.11
12,Los Angeles Lakers,69.0,13.0,0.841,—,121.0,108.7,11.65
13,Golden State Warriors,51.0,31.0,0.622,18.0,108.2,107.4,0.92
14,Seattle SuperSonics,47.0,35.0,0.573,22.0,109.2,108.8,0.86
15,Houston Rockets,34.0,48.0,0.415,35.0,109.7,111.2,-1.22
16,Portland Trail Blazers,18.0,64.0,0.22,51.0,106.8,116.5,-8.84
