,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,HOU,John Lucas,Maryland,14.0,928.0,25556.0,9951.0,2151.0,6454.0,0.449,0.303,0.776,27.5,10.7,2.3,7.0,53.7,0.101,1.3,21.1
2,2.0,CHI,Scott May,Indiana,7.0,355.0,8029.0,3690.0,1450.0,610.0,0.462,0.0,0.811,22.6,10.4,4.1,1.7,17.4,0.104,-0.7,2.7
3,3.0,KCK,Richard Washington,UCLA,6.0,351.0,7874.0,3456.0,2204.0,409.0,0.453,0.25,0.711,22.4,9.8,6.3,1.2,10.8,0.066,-2.5,-1.1
4,4.0,DET,Leon Douglas,Alabama,7.0,456.0,10111.0,3587.0,2954.0,479.0,0.495,0.0,0.601,22.2,7.9,6.5,1.1,15.2,0.072,-3.0,-2.4
5,5.0,POR,Wally Walker,Virginia,8.0,565.0,10168.0,3968.0,1759.0,844.0,0.467,0.2,0.643,18.0,7.0,3.1,1.5,12.9,0.061,-2.2,-0.6
6,6.0,BUF,Adrian Dantley,Notre Dame,15.0,955.0,34151.0,23177.0,5455.0,2830.0,0.54,0.171,0.818,35.8,24.3,5.7,3.0,134.2,0.189,3.1,43.7
7,7.0,MIL,Quinn Buckner,Indiana,10.0,719.0,16245.0,5929.0,1969.0,3114.0,0.461,0.184,0.657,22.6,8.2,2.7,4.3,24.7,0.073,-0.1,7.7
8,8.0,GSW,Robert Parish,Centenary College of Louisiana,21.0,1611.0,45704.0,23334.0,14715.0,2180.0,0.537,0.0,0.721,28.4,14.5,9.1,1.4,147.0,0.154,1.5,40.7
9,9.0,ATL,Armond Hill,Princeton,8.0,468.0,11785.0,3214.0,917.0,2194.0,0.408,0.077,0.829,25.2,6.9,2.0,4.7,11.3,0.046,-2.3,-0.9
10,10.0,PHO,Ron Lee,Oregon,6.0,448.0,9586.0,3285.0,1219.0,1688.0,0.416,0.321,0.705,21.4,7.3,2.7,3.8,10.7,0.054,-0.4,3.9
11,11.0,SEA,Bob Wilkerson,Indiana,7.0,536.0,14883.0,5424.0,2236.0,1835.0,0.425,0.167,0.751,27.8,10.1,4.2,3.4,8.2,0.027,-2.2,-0.6
12,12.0,PHI,Terry Furlow,Michigan State,4.0,239.0,4809.0,2550.0,507.0,568.0,0.459,0.293,0.862,20.1,10.7,2.1,2.4,7.3,0.073,0.0,2.4
13,13.0,WSB,Mitch Kupchak,UNC,9.0,510.0,9905.0,5202.0,2730.0,377.0,0.523,0.0,0.704,19.4,10.2,5.4,0.7,27.1,0.131,-0.7,3.2
14,14.0,WSB,Larry Wright,Grambling State University,6.0,343.0,6834.0,2824.0,550.0,1165.0,0.465,0.261,0.777,19.9,8.2,1.6,3.4,10.6,0.074,-1.2,1.4
15,15.0,CLE,Chuckie Williams,Kansas State,1.0,22.0,65.0,37.0,4.0,7.0,0.298,0.0,0.75,3.0,1.7,0.2,0.3,-0.2,-0.137,-6.5,-0.1
16,16.0,BOS,Norm Cook,Kansas,2.0,27.0,148.0,65.0,30.0,6.0,0.373,0.0,0.529,5.5,2.4,1.1,0.2,-0.1,-0.018,-4.4,-0.1
17,17.0,GSW,Sonny Parker,Texas A&M,6.0,452.0,10916.0,4471.0,1841.0,954.0,0.501,0.0,0.755,24.2,9.9,4.1,2.1,26.9,0.118,1.8,10.5
20,18.0,CHI,Willie Smith,Missouri,4.0,78.0,1200.0,357.0,134.0,277.0,0.4,0.239,0.754,15.4,4.6,1.7,3.6,1.3,0.052,-0.2,0.6
21,19.0,SEA,Bayard Forrest,Grand Canyon University,2.0,139.0,2130.0,569.0,565.0,296.0,0.449,0.0,0.509,15.3,4.1,4.1,2.1,2.7,0.06,-0.7,0.7
22,20.0,POR,Major Jones,Albany State University,6.0,374.0,5063.0,1643.0,1323.0,215.0,0.49,0.111,0.586,13.5,4.4,3.5,0.6,5.5,0.052,-2.6,-0.8
23,21.0,LAL,Earl Tatum,Marquette,4.0,262.0,5229.0,2508.0,682.0,507.0,0.459,0.333,0.746,20.0,9.6,2.6,1.9,7.8,0.071,-0.4,2.1
24,22.0,POR,Johnny Davis,Dayton,10.0,750.0,21200.0,9710.0,1505.0,3368.0,0.448,0.176,0.821,28.3,12.9,2.0,4.5,38.5,0.087,-0.8,6.4
25,23.0,MIL,Alex English,South Carolina,15.0,1193.0,38063.0,25613.0,6538.0,4351.0,0.507,0.217,0.832,31.9,21.5,5.5,3.6,100.7,0.127,2.0,38.2
26,24.0,MIL,Scott Lloyd,Arizona State,6.0,372.0,5638.0,1694.0,1114.0,356.0,0.425,0.286,0.718,15.2,4.6,3.0,1.0,2.5,0.021,-4.3,-3.4
