,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,62.0,20.0,0.756,—,112.1,105.6,6.42
1,Philadelphia 76ers,52.0,30.0,0.634,10.0,107.8,105.6,2.39
2,New York Knicks,47.0,35.0,0.573,15.0,106.9,103.0,3.79
3,New Jersey Nets,45.0,37.0,0.549,17.0,110.0,108.9,1.27
4,Washington Bullets,35.0,47.0,0.427,27.0,102.7,105.6,-2.36
5,Milwaukee Bucks,50.0,32.0,0.61,—,105.7,101.5,4.04
6,Detroit Pistons,49.0,33.0,0.598,1.0,117.1,113.5,3.52
7,Atlanta Hawks,40.0,42.0,0.488,10.0,101.5,102.8,-1.08
8,Cleveland Cavaliers,28.0,54.0,0.341,22.0,102.3,106.5,-3.71
9,Chicago Bulls,27.0,55.0,0.329,23.0,103.7,108.9,-4.69
10,Indiana Pacers,26.0,56.0,0.317,24.0,104.5,109.3,-4.25
11,Utah Jazz,45.0,37.0,0.549,—,115.0,113.8,0.81
12,Dallas Mavericks,43.0,39.0,0.524,2.0,110.4,110.0,0.15
13,Denver Nuggets,38.0,44.0,0.463,7.0,123.7,124.8,-1.27
14,Kansas City Kings,38.0,44.0,0.463,7.0,110.0,111.5,-1.62
15,San Antonio Spurs,37.0,45.0,0.451,8.0,120.3,120.5,-0.5
16,Houston Rockets,29.0,53.0,0.354,16.0,110.6,113.7,-3.12
17,Los Angeles Lakers,54.0,28.0,0.659,—,115.6,111.8,3.32
18,Portland Trail Blazers,48.0,34.0,0.585,6.0,113.1,109.6,3.13
19,Seattle SuperSonics,42.0,40.0,0.512,12.0,108.1,108.3,-0.34
20,Phoenix Suns,41.0,41.0,0.5,13.0,111.0,110.1,0.65
21,Golden State Warriors,37.0,45.0,0.451,17.0,109.9,113.3,-3.35
22,San Diego Clippers,30.0,52.0,0.366,24.0,110.7,114.0,-3.21
