,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,LAC,Michael Olowokandi,University of the Pacific,9.0,500.0,13129.0,4135.0,3414.0,327.0,0.435,0.0,0.597,26.3,8.3,6.8,0.7,2.5,0.009,-4.6,-8.5
2,2.0,VAN,Mike Bibby,Arizona,14.0,1001.0,33962.0,14698.0,3103.0,5517.0,0.436,0.379,0.802,33.9,14.7,3.1,5.5,73.2,0.104,0.8,23.8
3,3.0,DEN,Raef LaFrentz,Kansas,10.0,563.0,14545.0,5690.0,3423.0,606.0,0.466,0.363,0.711,25.8,10.1,6.1,1.1,39.4,0.13,0.7,9.8
4,4.0,TOR,Antawn Jamison,UNC,16.0,1083.0,37638.0,20042.0,8157.0,1761.0,0.451,0.346,0.724,34.8,18.5,7.5,1.6,87.8,0.112,0.6,24.5
5,5.0,GSW,Vince Carter,UNC,22.0,1537.0,46303.0,25701.0,6602.0,4712.0,0.435,0.371,0.798,30.1,16.7,4.3,3.1,125.2,0.13,3.0,57.9
6,6.0,DAL,Robert Traylor,Michigan,7.0,438.0,6243.0,2085.0,1640.0,312.0,0.474,0.167,0.577,14.3,4.8,3.7,0.7,13.3,0.102,-1.6,0.7
7,7.0,SAC,Jason Williams,Florida,12.0,788.0,23188.0,8266.0,1810.0,4611.0,0.398,0.327,0.813,29.4,10.5,2.3,5.9,38.5,0.08,0.2,12.9
8,8.0,PHI,Larry Hughes,Saint Louis,13.0,727.0,22368.0,10242.0,3039.0,2290.0,0.406,0.309,0.757,30.8,14.1,4.2,3.1,32.3,0.069,-0.1,10.7
9,9.0,MIL,Dirk Nowitzki,,21.0,1522.0,51368.0,31560.0,11489.0,3651.0,0.471,0.38,0.879,33.8,20.7,7.5,2.4,206.3,0.193,4.5,84.8
10,10.0,BOS,Paul Pierce,Kansas,19.0,1343.0,45880.0,26397.0,7527.0,4708.0,0.445,0.368,0.806,34.2,19.7,5.6,3.5,150.0,0.157,3.7,65.5
11,11.0,DET,Bonzi Wells,Ball State University,10.0,591.0,15133.0,7147.0,2737.0,1249.0,0.46,0.327,0.697,25.6,12.1,4.6,2.1,29.4,0.093,0.2,8.3
