,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,MIN,Karl-Anthony Towns,Kentucky,5.0,358.0,12307.0,8113.0,4209.0,992.0,0.534,0.396,0.831,34.4,22.7,11.8,2.8,50.5,0.197,4.8,21.2
2,2.0,LAL,D'Angelo Russell,Ohio State,5.0,314.0,9111.0,5480.0,1159.0,1653.0,0.421,0.358,0.771,29.0,17.5,3.7,5.3,8.6,0.045,0.4,5.4
3,3.0,PHI,Jahlil Okafor,Duke,5.0,218.0,4437.0,2392.0,1095.0,211.0,0.536,0.235,0.674,20.4,11.0,5.0,1.0,6.4,0.069,-2.0,0.0
4,4.0,NYK,Kristaps Porziņģis,,4.0,234.0,7256.0,4249.0,1769.0,328.0,0.435,0.359,0.798,31.0,18.2,7.6,1.4,16.3,0.108,1.1,5.7
5,5.0,ORL,Mario Hezonja,,5.0,321.0,5952.0,2226.0,997.0,403.0,0.416,0.318,0.813,18.5,6.9,3.1,1.3,3.0,0.024,-2.9,-1.3
6,6.0,SAC,Willie Cauley-Stein,Kentucky,5.0,346.0,8156.0,3346.0,2180.0,550.0,0.538,0.211,0.612,23.6,9.7,6.3,1.6,20.2,0.119,0.0,4.2
7,7.0,DEN,Emmanuel Mudiay,,5.0,294.0,7078.0,3252.0,873.0,1130.0,0.401,0.323,0.743,24.1,11.1,3.0,3.8,-0.1,-0.001,-3.1,-2.1
8,8.0,DET,Stanley Johnson,Arizona,5.0,305.0,6256.0,2008.0,986.0,431.0,0.372,0.291,0.765,20.5,6.6,3.2,1.4,3.2,0.025,-2.9,-1.5
9,9.0,CHO,Frank Kaminsky,Wisconsin,5.0,314.0,6970.0,3110.0,1280.0,523.0,0.423,0.349,0.749,22.2,9.9,4.1,1.7,12.4,0.085,-0.6,2.5
10,10.0,MIA,Justise Winslow,Duke,5.0,241.0,6848.0,2181.0,1295.0,657.0,0.417,0.337,0.646,28.4,9.0,5.4,2.7,7.7,0.054,-1.8,0.3
11,11.0,IND,Myles Turner,Texas,5.0,332.0,9387.0,4208.0,2200.0,408.0,0.487,0.355,0.769,28.3,12.7,6.6,1.2,25.5,0.13,0.6,6.1
12,12.0,UTA,Trey Lyles,Kentucky,5.0,348.0,6225.0,2556.0,1466.0,369.0,0.432,0.337,0.705,17.9,7.3,4.2,1.1,10.0,0.077,-1.2,1.2
13,13.0,PHO,Devin Booker,Kentucky,5.0,331.0,11072.0,7351.0,1187.0,1533.0,0.446,0.354,0.868,33.5,22.2,3.6,4.6,15.5,0.067,-0.3,4.7
14,14.0,OKC,Cameron Payne,Murray State,4.0,153.0,2454.0,914.0,274.0,382.0,0.397,0.331,0.775,16.0,6.0,1.8,2.5,2.2,0.044,-2.3,-0.2
15,15.0,ATL,Kelly Oubre,Kansas,5.0,348.0,8375.0,3783.0,1443.0,327.0,0.431,0.329,0.778,24.1,10.9,4.1,0.9,12.1,0.069,-1.9,0.2
16,16.0,BOS,Terry Rozier,Louisville,5.0,333.0,7516.0,3160.0,1242.0,881.0,0.392,0.366,0.815,22.6,9.5,3.7,2.6,12.5,0.08,-0.2,3.4
