,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Miami Heat,61.0,21.0,0.744,—,94.8,89.3,5.56
1,New York Knicks,57.0,25.0,0.695,4.0,95.4,92.2,3.31
2,Orlando Magic,45.0,37.0,0.549,16.0,94.1,94.5,-0.07
3,Washington Bullets,44.0,38.0,0.537,17.0,99.4,97.7,1.77
4,New Jersey Nets,26.0,56.0,0.317,35.0,97.2,101.8,-3.89
5,Philadelphia 76ers,22.0,60.0,0.268,39.0,100.2,106.7,-5.89
6,Boston Celtics,15.0,67.0,0.183,46.0,100.6,107.9,-6.62
7,Chicago Bulls,69.0,13.0,0.841,—,103.1,92.3,10.7
8,Atlanta Hawks,56.0,26.0,0.683,13.0,94.8,89.4,5.52
9,Detroit Pistons,54.0,28.0,0.659,15.0,94.2,88.9,5.45
10,Charlotte Hornets,54.0,28.0,0.659,15.0,98.9,97.0,2.13
11,Cleveland Cavaliers,42.0,40.0,0.512,27.0,87.5,85.6,2.32
12,Indiana Pacers,39.0,43.0,0.476,30.0,95.4,94.4,1.49
13,Milwaukee Bucks,33.0,49.0,0.402,36.0,95.3,97.2,-1.38
14,Toronto Raptors,30.0,52.0,0.366,39.0,95.5,98.6,-2.56
15,Utah Jazz,64.0,18.0,0.78,—,103.1,94.3,7.97
16,Houston Rockets,57.0,25.0,0.695,7.0,100.6,96.1,3.85
17,Minnesota Timberwolves,40.0,42.0,0.488,24.0,96.1,97.6,-1.82
18,Dallas Mavericks,24.0,58.0,0.293,40.0,90.6,97.0,-6.47
19,Denver Nuggets,21.0,61.0,0.256,43.0,97.8,104.1,-6.4
20,San Antonio Spurs,20.0,62.0,0.244,44.0,90.5,98.3,-7.93
21,Vancouver Grizzlies,14.0,68.0,0.171,50.0,89.2,99.4,-10.17
22,Seattle SuperSonics,57.0,25.0,0.695,—,100.9,93.2,6.91
23,Los Angeles Lakers,56.0,26.0,0.683,1.0,100.0,95.7,3.66
24,Portland Trail Blazers,49.0,33.0,0.598,8.0,99.0,94.8,3.56
25,Phoenix Suns,40.0,42.0,0.488,17.0,102.8,102.2,0.21
26,Los Angeles Clippers,36.0,46.0,0.439,21.0,97.2,99.5,-2.66
27,Sacramento Kings,34.0,48.0,0.415,23.0,96.4,99.8,-3.64
28,Golden State Warriors,30.0,52.0,0.366,27.0,99.6,104.4,-4.9
