,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
27,Lawrence Boston,PF,23.0,WSB,13.0,125.0,12.6,0.485,0.0,0.25,15.1,16.2,15.7,2.3,1.5,0.8,12.2,20.7,0.0,0.1,0.1,0.2,0.075,-3.3,-0.7,-4.0,-0.1
28,Tom Boswell,PF,26.0,TOT,79.0,2077.0,14.3,0.616,0.016,0.445,8.2,15.8,12.1,11.2,0.7,1.0,19.8,18.5,0.0,3.0,0.7,3.7,0.086,-0.4,-1.4,-1.8,0.1
29,Tom Boswell,PF,26.0,DEN,18.0,522.0,13.5,0.612,0.015,0.519,7.8,15.1,11.4,12.0,0.4,0.8,19.0,15.4,0.0,0.9,0.2,1.1,0.104,-0.3,-1.0,-1.3,0.1
30,Tom Boswell,PF,26.0,UTA,61.0,1555.0,14.6,0.617,0.017,0.425,8.3,16.1,12.3,10.9,0.8,1.1,20.0,19.6,0.0,2.1,0.5,2.6,0.081,-0.5,-1.5,-2.0,0.0
31,Winford Boynes,SG,22.0,NJN,64.0,1102.0,13.1,0.518,0.009,0.291,4.8,7.7,6.3,12.8,2.4,0.9,15.4,21.8,0.0,0.3,1.3,1.7,0.072,-1.5,0.3,-1.2,0.2
32,Alonzo Bradley,SF,26.0,HOU,22.0,96.0,4.1,0.395,0.021,0.188,2.2,4.7,3.5,4.3,1.5,0.0,13.3,24.7,0.0,-0.2,0.0,-0.2,-0.097,-5.2,-1.6,-6.8,-0.2
33,Dudley Bradley,SG,22.0,IND,82.0,2027.0,13.5,0.502,0.008,0.286,3.4,8.1,5.7,15.9,4.8,1.3,19.5,16.3,0.0,0.2,2.9,3.1,0.073,-2.0,3.0,1.0,1.5
34,Mike Bratz,PG,24.0,PHO,82.0,1589.0,11.6,0.462,0.125,0.236,3.5,7.9,5.8,19.1,2.7,0.3,15.1,22.3,0.0,-0.5,2.0,1.5,0.046,-2.5,0.1,-2.5,-0.2
35,Jim Brewer,PF,28.0,POR,67.0,1016.0,11.3,0.493,0.027,0.158,10.8,17.1,13.9,9.6,2.0,2.5,19.3,9.8,0.0,0.5,1.5,2.0,0.096,-1.2,1.9,0.7,0.7
36,Ron Brewer,SG,24.0,POR,82.0,2815.0,13.2,0.503,0.027,0.185,2.1,6.3,4.2,11.5,1.7,1.0,11.6,21.1,0.0,2.0,2.3,4.3,0.074,-0.8,-0.4,-1.2,0.6
37,Junior Bridgeman,SF,26.0,MIL,81.0,2316.0,17.1,0.523,0.022,0.214,5.0,9.0,7.1,15.2,1.9,0.5,11.2,26.3,0.0,3.6,2.5,6.1,0.127,0.9,-0.5,0.3,1.4
38,Allan Bristow,SF,28.0,UTA,82.0,2304.0,16.6,0.534,0.009,0.31,9.0,16.7,13.0,21.4,1.9,0.1,16.7,20.0,0.0,3.2,1.2,4.4,0.091,1.4,-0.8,0.6,1.5
39,Fred Brown,SG,31.0,SEA,80.0,1701.0,16.4,0.532,0.104,0.16,2.2,7.5,4.8,15.5,1.8,0.6,10.4,23.4,0.0,2.8,2.1,4.9,0.138,1.2,0.2,1.4,1.4
40,John Brown,SF,28.0,TOT,32.0,385.0,5.1,0.444,0.0,0.457,7.4,12.7,10.0,6.3,0.4,0.6,18.7,16.5,0.0,-0.3,0.4,0.1,0.012,-5.0,-0.9,-5.9,-0.5
41,John Brown,SF,28.0,UTA,4.0,24.0,-0.5,0.228,0.0,0.571,25.4,18.8,21.9,19.5,0.0,0.0,36.3,24.6,0.0,-0.1,0.0,-0.1,-0.273,-5.0,-0.8,-5.7,-0.1
42,John Brown,SF,28.0,ATL,28.0,361.0,5.4,0.46,0.0,0.449,6.2,12.3,9.2,5.4,0.4,0.7,17.0,16.0,0.0,-0.1,0.4,0.2,0.031,-5.0,-0.9,-5.9,-0.4
43,Roger Brown,C,29.0,CHI,4.0,37.0,7.0,0.333,0.0,0.0,6.2,23.8,15.2,3.3,0.0,4.6,0.0,3.3,0.0,0.0,0.0,0.1,0.069,-3.5,0.2,-3.3,0.0
44,Joe Bryant,PF,25.0,SDC,81.0,2328.0,11.1,0.485,0.05,0.318,7.7,16.6,12.0,8.1,2.1,0.9,17.9,16.3,0.0,0.1,1.7,1.8,0.038,-2.3,-0.2,-2.5,-0.3
45,Quinn Buckner,PG,25.0,MIL,67.0,1690.0,16.5,0.501,0.008,0.218,4.6,10.5,7.6,30.2,3.7,0.1,17.2,20.4,0.0,1.7,2.7,4.4,0.125,-0.2,1.9,1.7,1.6
46,Tom Burleson,C,27.0,KCK,37.0,272.0,7.8,0.391,0.029,0.385,8.7,20.0,14.2,9.5,1.4,2.8,17.1,21.5,0.0,-0.6,0.5,-0.1,-0.012,-5.7,0.4,-5.3,-0.2
47,Don Buse,PG,29.0,PHO,81.0,2499.0,10.7,0.485,0.134,0.217,3.1,7.0,5.1,16.0,2.4,0.2,12.4,11.7,0.0,1.7,2.9,4.6,0.088,-1.1,1.2,0.2,1.4
48,Marty Byrnes,SF,23.0,LAL,32.0,194.0,6.3,0.557,0.0,0.3,5.5,9.3,7.6,7.9,1.2,0.3,28.0,16.2,0.0,-0.1,0.2,0.0,0.009,-4.4,-0.9,-5.2,-0.2
49,Corky Calhoun,SF,29.0,IND,7.0,30.0,10.6,0.405,0.0,0.222,23.5,10.7,17.3,0.0,3.1,0.0,9.2,14.1,0.0,0.0,0.0,0.0,0.067,-4.0,-0.4,-4.4,0.0
