,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
24,Charles Barkley*,PF,35.0,HOU,42.0,40.0,1526.0,8.5,17.8,0.478,0.1,0.9,0.16,8.4,16.9,0.495,6.8,9.5,0.719,5.9,12.4,18.3,6.8,1.5,0.5,3.5,3.2,23.9,0.0,115.0,100.0
25,Dana Barros,PG,31.0,BOS,50.0,16.0,1156.0,7.6,16.8,0.453,2.9,7.3,0.4,4.7,9.6,0.493,2.9,3.3,0.877,0.7,4.0,4.8,9.4,2.4,0.2,4.0,2.9,21.1,0.0,111.0,104.0
26,Brent Barry,SG,27.0,CHI,37.0,30.0,1181.0,6.5,16.4,0.396,2.4,7.9,0.302,4.1,8.5,0.484,3.6,4.7,0.772,1.8,4.8,6.6,5.3,1.9,0.5,3.3,4.5,19.0,0.0,99.0,104.0
27,Drew Barry,SG,25.0,SEA,17.0,0.0,183.0,2.9,9.4,0.313,2.3,7.0,0.333,0.6,2.3,0.25,2.6,3.8,0.692,0.9,5.0,5.9,8.5,2.0,0.3,3.5,7.0,10.8,0.0,101.0,107.0
28,Jon Barry,SG,29.0,SAC,43.0,0.0,736.0,4.0,9.4,0.428,1.6,5.4,0.304,2.4,4.0,0.593,4.8,5.7,0.845,1.7,4.8,6.5,7.6,3.6,0.3,3.2,4.1,14.5,0.0,117.0,101.0
29,Tony Battie,C,22.0,BOS,50.0,15.0,1121.0,6.9,13.2,0.519,0.0,0.1,0.0,6.9,13.1,0.525,1.9,2.9,0.672,4.5,9.5,14.0,2.5,1.4,3.3,2.1,7.4,15.7,0.0,110.0,99.0
30,Corey Beck,PG,27.0,TOT,24.0,0.0,180.0,5.4,11.7,0.462,0.3,0.3,1.0,5.1,11.4,0.447,2.4,4.5,0.533,1.8,6.6,8.4,6.0,2.7,0.6,3.9,7.8,13.5,0.0,92.0,101.0
31,Corey Beck,PG,27.0,DET,8.0,0.0,30.0,7.4,14.8,0.5,0.0,0.0,0.0,7.4,14.8,0.5,3.7,3.7,1.0,5.6,3.7,9.3,0.0,3.7,0.0,3.7,9.3,18.5,0.0,103.0,100.0
32,Corey Beck,PG,27.0,CHH,16.0,0.0,150.0,5.0,11.1,0.452,0.4,0.4,1.0,4.6,10.7,0.433,2.1,4.6,0.462,1.1,7.1,8.2,7.1,2.5,0.7,3.9,7.5,12.5,0.0,90.0,101.0
33,Benoit Benjamin,C,34.0,PHI,6.0,0.0,33.0,3.3,11.5,0.286,0.0,0.0,0.0,3.3,11.5,0.286,0.0,0.0,0.0,4.9,8.2,13.1,1.6,0.0,0.0,4.9,9.8,6.6,0.0,60.0,102.0
34,Corey Benjamin,PG,20.0,CHI,31.0,1.0,320.0,7.5,19.9,0.376,0.5,2.4,0.214,7.0,17.5,0.398,4.6,6.8,0.675,2.6,4.3,6.8,1.7,1.9,1.4,3.6,7.8,20.1,0.0,85.0,104.0
35,Mario Bennett,PF,25.0,CHI,3.0,0.0,19.0,5.7,17.2,0.333,0.0,0.0,0.0,5.7,17.2,0.333,8.6,11.5,0.75,5.7,8.6,14.3,0.0,2.9,0.0,2.9,11.5,20.1,0.0,94.0,100.0
36,Travis Best,PG,26.0,IND,49.0,0.0,1043.0,6.8,16.2,0.416,1.2,3.1,0.373,5.6,13.1,0.427,3.7,4.4,0.843,1.0,3.2,4.3,9.0,2.2,0.2,3.3,5.9,18.4,0.0,106.0,106.0
37,Mike Bibby,PG,20.0,VAN,50.0,50.0,1758.0,8.0,18.6,0.43,0.5,2.3,0.203,7.5,16.3,0.461,3.9,5.2,0.751,0.9,3.3,4.2,10.0,2.4,0.2,4.5,3.7,20.3,0.0,99.0,110.0
38,Chauncey Billups,SG,22.0,DEN,45.0,41.0,1488.0,6.8,17.7,0.386,3.0,8.4,0.362,3.8,9.3,0.408,5.6,6.1,0.913,0.9,2.6,3.4,6.2,2.1,0.5,3.5,4.1,22.3,0.0,109.0,113.0
39,Mookie Blaylock,PG,31.0,ATL,48.0,48.0,1763.0,7.9,20.8,0.379,2.5,8.0,0.307,5.4,12.8,0.425,2.2,2.9,0.758,1.4,5.7,7.1,8.9,3.2,0.3,3.7,1.9,20.4,0.0,100.0,96.0
40,Corie Blount,PF,30.0,TOT,34.0,3.0,530.0,3.7,10.3,0.36,0.0,0.1,0.0,3.7,10.2,0.364,2.9,5.6,0.519,6.0,9.6,15.5,1.2,2.0,1.6,2.2,7.6,10.3,0.0,92.0,99.0
41,Corie Blount,PF,30.0,LAL,14.0,3.0,162.0,4.2,10.7,0.394,0.0,0.3,0.0,4.2,10.3,0.406,1.9,3.9,0.5,7.8,7.1,14.9,0.6,0.3,1.3,1.9,8.7,10.3,0.0,100.0,106.0
42,Corie Blount,PF,30.0,CLE,20.0,0.0,368.0,3.5,10.1,0.343,0.0,0.0,0.0,3.5,10.1,0.343,3.3,6.3,0.524,5.1,10.7,15.9,1.5,2.7,1.8,2.3,7.1,10.3,0.0,89.0,96.0
43,Muggsy Bogues,PG,34.0,GSW,36.0,5.0,714.0,5.7,11.6,0.494,0.0,0.5,0.0,5.7,11.2,0.514,2.3,2.7,0.861,1.2,4.3,5.5,10.1,3.3,0.1,3.6,3.3,13.8,0.0,107.0,101.0
44,Etdrick Bohannon,SF,25.0,WAS,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
45,Keith Booth,SF,24.0,CHI,39.0,4.0,432.0,6.2,19.0,0.325,0.1,1.3,0.1,6.1,17.8,0.34,2.6,5.3,0.5,3.2,8.6,11.7,4.8,2.8,1.4,4.9,7.6,15.1,0.0,72.0,99.0
46,Bruce Bowen,SF,27.0,BOS,30.0,1.0,494.0,2.8,9.9,0.28,0.7,2.8,0.269,2.0,7.1,0.284,1.2,2.5,0.458,1.6,3.9,5.5,3.0,2.2,1.0,1.4,5.4,7.4,0.0,82.0,104.0
48,Earl Boykins,PG,22.0,TOT,22.0,0.0,221.0,7.4,19.6,0.38,0.7,4.5,0.167,6.7,15.1,0.443,0.5,0.7,0.667,1.7,2.5,4.2,8.2,1.5,0.0,5.0,5.0,16.1,0.0,81.0,107.0
49,Earl Boykins,PG,22.0,NJN,5.0,0.0,51.0,10.3,21.6,0.476,1.0,5.1,0.2,9.3,16.5,0.563,0.0,0.0,0.0,1.0,3.1,4.1,6.2,1.0,0.0,7.2,3.1,21.6,0.0,84.0,110.0
50,Earl Boykins,PG,22.0,CLE,17.0,0.0,170.0,6.5,19.0,0.345,0.7,4.2,0.154,5.9,14.7,0.4,0.7,1.0,0.667,2.0,2.3,4.2,8.8,1.6,0.0,4.2,5.6,14.4,0.0,80.0,107.0
51,Shawn Bradley,C,26.0,DAL,49.0,33.0,1294.0,7.0,14.5,0.48,0.0,0.2,0.0,7.0,14.3,0.485,3.6,4.8,0.748,5.4,10.9,16.3,1.7,1.5,6.6,2.3,6.4,17.5,0.0,109.0,97.0
52,Terrell Brandon,PG,28.0,TOT,36.0,34.0,1217.0,9.4,22.4,0.418,0.5,2.1,0.255,8.8,20.3,0.435,2.9,3.4,0.833,1.2,4.7,5.9,13.6,2.8,0.4,3.3,3.6,22.1,0.0,105.0,102.0
53,Terrell Brandon,PG,28.0,MIL,15.0,14.0,505.0,9.3,22.7,0.409,0.8,3.1,0.25,8.5,19.7,0.433,2.8,3.4,0.839,1.2,4.6,5.8,11.4,2.6,0.3,3.9,2.7,22.2,0.0,100.0,104.0
54,Terrell Brandon,PG,28.0,MIN,21.0,20.0,712.0,9.4,22.1,0.425,0.4,1.4,0.263,9.0,20.7,0.436,2.9,3.5,0.83,1.2,4.8,6.0,15.2,2.9,0.5,2.8,4.2,22.1,0.0,108.0,101.0
55,Chucky Brown,PF,30.0,CHH,48.0,21.0,1192.0,7.9,16.7,0.472,0.7,1.8,0.375,7.2,14.9,0.483,1.8,2.6,0.678,1.6,6.2,7.8,2.6,0.7,0.9,1.7,4.8,18.3,0.0,101.0,106.0
56,Dee Brown,PG,30.0,TOR,49.0,0.0,1377.0,7.3,19.4,0.378,5.3,13.7,0.387,2.0,5.7,0.356,1.6,2.2,0.727,0.6,3.5,4.0,5.6,2.2,0.3,3.1,2.9,21.6,0.0,105.0,107.0
57,Gerald Brown,SG,23.0,PHO,33.0,0.0,236.0,7.5,20.1,0.371,0.7,2.3,0.3,6.8,17.9,0.38,2.5,3.2,0.786,1.1,3.8,5.0,7.0,1.1,0.2,5.0,4.7,18.1,0.0,83.0,107.0
58,P.J. Brown,PF,29.0,MIA,50.0,50.0,1611.0,8.0,16.8,0.48,0.0,0.0,0.0,8.0,16.8,0.48,4.0,5.1,0.774,4.0,8.1,12.2,2.3,1.6,1.7,2.4,5.8,20.1,0.0,108.0,98.0
59,Randy Brown,PG,30.0,CHI,39.0,32.0,1139.0,6.3,15.3,0.414,0.0,0.5,0.0,6.3,14.8,0.427,3.7,4.9,0.757,1.3,5.0,6.3,7.1,3.3,0.4,3.8,4.4,16.4,0.0,92.0,102.0
60,Rick Brunson,PG,26.0,NYK,17.0,0.0,95.0,3.5,12.2,0.286,0.0,2.9,0.0,3.5,9.3,0.375,2.9,10.5,0.278,1.7,4.1,5.8,11.1,5.2,0.0,7.0,4.7,9.9,0.0,65.0,94.0
61,Kobe Bryant,SG,20.0,LAL,50.0,50.0,1896.0,10.0,21.5,0.465,0.7,2.8,0.267,9.3,18.7,0.494,6.8,8.1,0.839,1.5,5.8,7.3,5.2,2.0,1.4,4.3,4.2,27.5,0.0,106.0,104.0
62,Mark Bryant,PF,33.0,CHI,45.0,29.0,1204.0,7.6,15.7,0.483,0.0,0.0,0.0,7.6,15.7,0.484,3.2,5.0,0.645,4.2,6.3,10.5,2.2,1.5,0.7,3.1,6.7,18.4,0.0,98.0,104.0
63,Jud Buechler,SF,30.0,DET,50.0,0.0,1056.0,5.3,12.6,0.417,3.2,7.8,0.412,2.1,4.8,0.424,0.7,0.9,0.722,1.5,5.5,7.0,3.0,1.9,0.7,1.1,4.4,14.4,0.0,116.0,102.0
64,Matt Bullard,PF,31.0,HOU,41.0,0.0,413.0,5.6,14.9,0.377,3.1,8.1,0.387,2.5,6.8,0.365,0.9,1.3,0.7,1.2,4.3,5.5,2.4,1.7,0.5,1.8,3.7,15.3,0.0,100.0,106.0
65,Scott Burrell,SF,28.0,NJN,32.0,10.0,706.0,5.6,15.5,0.361,2.1,5.4,0.389,3.5,10.1,0.346,2.5,3.1,0.81,2.4,6.5,8.8,3.3,3.0,0.8,1.7,6.1,15.8,0.0,103.0,102.0
66,Willie Burton,SF,30.0,CHH,3.0,0.0,18.0,3.0,20.8,0.143,0.0,3.0,0.0,3.0,17.8,0.167,5.9,11.9,0.5,11.9,5.9,17.8,0.0,0.0,0.0,3.0,5.9,11.9,0.0,69.0,108.0
