,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Zaid Abdul-Aziz,PF-C,31.0,TOT,16.0,0.0,158.0,6.8,17.9,0.383,0.0,0.0,0.0,6.8,17.9,0.383,5.1,6.8,0.739,5.7,9.2,14.9,3.0,0.9,0.9,4.2,8.6,18.8,0.0,93.0,104.0
1,Zaid Abdul-Aziz,C,31.0,BOS,2.0,0.0,24.0,5.7,24.5,0.231,0.0,0.0,0.0,5.7,24.5,0.231,3.8,5.7,0.667,11.3,17.0,28.3,5.7,1.9,1.9,5.7,7.6,15.1,0.0,74.0,92.0
2,Zaid Abdul-Aziz,PF,31.0,HOU,14.0,0.0,134.0,7.1,16.6,0.426,0.0,0.0,0.0,7.1,16.6,0.426,5.3,7.1,0.75,4.6,7.8,12.4,2.5,0.7,0.7,3.9,8.8,19.4,0.0,99.0,107.0
3,Kareem Abdul-Jabbar*,C,30.0,LAL,62.0,0.0,2265.0,13.2,24.1,0.55,0.0,0.0,0.0,13.2,24.1,0.55,5.5,7.0,0.783,3.7,12.3,16.0,5.4,2.1,3.7,4.2,3.6,32.0,0.0,113.0,94.0
4,Tom Abernethy,SF,23.0,LAL,73.0,0.0,1317.0,6.9,13.9,0.498,0.0,0.0,0.0,6.9,13.9,0.498,3.1,3.8,0.82,3.6,5.5,9.1,3.5,1.9,0.8,1.7,4.2,16.9,0.0,115.0,101.0
5,Alvan Adams,C,23.0,PHO,70.0,0.0,1914.0,9.8,20.1,0.485,0.0,0.0,0.0,9.8,20.1,0.485,4.8,6.6,0.73,3.6,9.2,12.7,5.1,1.9,1.4,5.3,5.4,24.4,0.0,98.0,95.0
6,Lucius Allen,PG,30.0,KCK,77.0,0.0,2147.0,7.7,17.5,0.441,0.0,0.0,0.0,7.7,17.5,0.441,3.6,4.5,0.791,1.4,3.4,4.7,7.4,1.9,0.6,4.5,3.7,19.0,0.0,95.0,104.0
7,Jim Ard,C,29.0,TOT,15.0,0.0,125.0,3.0,6.4,0.471,0.0,0.0,0.0,3.0,6.4,0.471,1.1,1.9,0.6,3.4,10.2,13.6,3.0,0.0,0.0,5.3,7.2,7.2,0.0,74.0,104.0
8,Jim Ard,C,29.0,BOS,1.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,10.1,0.5,5.0,15.1,20.1,5.0,0.0,0.0,0.0,5.0,5.0,0.0,99.0,99.0
9,Jim Ard,C,29.0,CHI,14.0,0.0,116.0,3.3,6.5,0.5,0.0,0.0,0.0,3.3,6.5,0.5,0.8,1.2,0.667,3.3,9.8,13.0,2.9,0.0,0.0,5.7,7.3,7.3,0.0,72.0,104.0
10,Tate Armstrong,SG,22.0,CHI,66.0,0.0,716.0,8.7,18.5,0.468,0.0,0.0,0.0,8.7,18.5,0.468,1.5,1.8,0.815,1.6,2.9,4.5,4.9,1.5,0.0,3.8,2.8,18.8,0.0,94.0,106.0
11,Bird Averitt,SG,25.0,TOT,55.0,0.0,1085.0,8.2,20.0,0.409,0.0,0.0,0.0,8.2,20.0,0.409,4.1,5.8,0.709,0.7,2.7,3.4,8.1,1.6,0.4,5.9,5.1,20.5,0.0,86.0,105.0
12,Bird Averitt,SG,25.0,NJN,21.0,0.0,409.0,7.3,19.9,0.367,0.0,0.0,0.0,7.3,19.9,0.367,3.8,4.8,0.8,0.7,2.8,3.5,7.2,1.8,0.1,5.8,3.9,18.4,0.0,80.0,104.0
13,Bird Averitt,SG,25.0,BUF,34.0,0.0,676.0,8.8,20.1,0.436,0.0,0.0,0.0,8.8,20.1,0.436,4.4,6.5,0.667,0.7,2.7,3.4,8.7,1.5,0.5,6.0,5.9,21.9,0.0,89.0,106.0
14,Dennis Awtrey,C,29.0,PHO,81.0,0.0,1623.0,3.0,7.0,0.424,0.0,0.0,0.0,3.0,7.0,0.424,1.8,2.9,0.633,2.6,5.4,8.0,4.3,0.5,0.7,3.4,4.1,7.8,0.0,88.0,101.0
15,Gus Bailey,SG,26.0,NOJ,48.0,0.0,449.0,5.8,13.7,0.424,0.0,0.0,0.0,5.8,13.7,0.424,3.7,6.6,0.552,4.3,3.8,8.1,3.9,1.8,1.5,3.3,4.5,15.3,0.0,95.0,102.0
16,Greg Ballard,SF,23.0,WSB,76.0,0.0,936.0,6.7,15.8,0.425,0.0,0.0,0.0,6.7,15.8,0.425,4.2,5.4,0.772,4.8,7.8,12.6,2.9,1.4,0.6,3.0,4.3,17.7,0.0,102.0,100.0
17,Mike Bantom,SF,26.0,IND,82.0,0.0,2775.0,8.0,16.7,0.479,0.0,0.0,0.0,8.0,16.7,0.479,4.1,5.5,0.743,2.9,6.8,9.8,3.8,1.6,0.8,3.5,5.3,20.1,0.0,103.0,102.0
18,Marvin Barnes,PF,25.0,TOT,60.0,0.0,1646.0,7.8,18.4,0.422,0.0,0.0,0.0,7.8,18.4,0.422,3.6,5.1,0.703,3.8,8.5,12.2,3.8,1.8,2.3,3.8,6.7,19.1,0.0,93.0,100.0
19,Marvin Barnes,PF,25.0,DET,12.0,0.0,269.0,8.8,19.6,0.449,0.0,0.0,0.0,8.8,19.6,0.449,2.3,4.8,0.483,4.6,10.4,15.1,3.1,1.2,1.8,4.8,7.1,19.9,0.0,89.0,99.0
20,Marvin Barnes,PF,25.0,BUF,48.0,0.0,1377.0,7.5,18.1,0.416,0.0,0.0,0.0,7.5,18.1,0.416,3.8,5.1,0.745,3.6,8.1,11.6,3.9,1.9,2.4,3.6,6.6,18.9,0.0,94.0,100.0
21,Rick Barry*,SF,33.0,GSW,82.0,0.0,3024.0,11.4,25.3,0.451,0.0,0.0,0.0,11.4,25.3,0.451,5.7,6.1,0.924,1.1,5.6,6.7,6.7,2.4,0.7,3.4,2.8,28.4,0.0,104.0,99.0
22,Tim Bassett,PF,26.0,NJN,65.0,0.0,1474.0,4.4,11.3,0.388,0.0,0.0,0.0,4.4,11.3,0.388,1.5,2.8,0.515,4.2,7.7,11.9,1.8,1.8,1.0,2.3,5.3,10.2,0.0,87.0,99.0
23,Butch Beard,PG,30.0,NYK,79.0,0.0,1979.0,6.8,13.6,0.502,0.0,0.0,0.0,6.8,13.6,0.502,2.9,3.5,0.806,1.7,4.2,5.8,7.5,2.6,0.1,3.4,4.4,16.5,0.0,106.0,103.0
24,Ron Behagen,PF,27.0,TOT,80.0,0.0,1735.0,9.0,20.9,0.43,0.0,0.0,0.0,9.0,20.9,0.43,4.7,6.4,0.725,5.2,8.1,13.3,2.6,1.6,0.8,4.5,6.8,22.6,0.0,94.0,100.0
25,Ron Behagen,PF,27.0,ATL,26.0,0.0,571.0,9.5,20.3,0.47,0.0,0.0,0.0,9.5,20.3,0.47,4.2,5.7,0.729,4.3,9.8,14.1,2.8,2.4,1.0,4.7,7.9,23.2,0.0,96.0,96.0
26,Ron Behagen,PF,27.0,HOU,3.0,0.0,33.0,10.0,15.8,0.636,0.0,0.0,0.0,10.0,15.8,0.636,0.0,1.4,0.0,2.9,7.2,10.0,2.9,0.0,0.0,4.3,8.6,20.1,0.0,101.0,109.0
27,Ron Behagen,PF,27.0,IND,51.0,0.0,1131.0,8.7,21.3,0.408,0.0,0.0,0.0,8.7,21.3,0.408,5.0,6.9,0.727,5.7,7.3,13.1,2.6,1.3,0.7,4.4,6.3,22.4,0.0,94.0,102.0
28,Mel Bennett,PF,23.0,IND,31.0,0.0,285.0,3.6,12.6,0.284,0.0,0.0,0.0,3.6,12.6,0.284,4.4,7.0,0.622,7.6,6.9,14.5,3.4,1.7,1.1,4.7,8.4,11.5,0.0,82.0,101.0
29,Kent Benson,C,23.0,MIL,69.0,0.0,1288.0,7.5,16.2,0.465,0.0,0.0,0.0,7.5,16.2,0.465,3.2,4.8,0.652,3.1,7.1,10.1,3.4,2.4,1.9,4.1,6.1,18.2,0.0,94.0,100.0
30,Henry Bibby,PG,28.0,PHI,82.0,0.0,2518.0,5.0,11.6,0.434,0.0,0.0,0.0,5.0,11.6,0.434,3.0,3.9,0.781,1.1,3.3,4.4,8.2,1.6,0.1,2.7,3.6,13.1,0.0,105.0,104.0
32,Bob Bigelow,SF,24.0,TOT,5.0,0.0,24.0,7.5,24.4,0.308,0.0,0.0,0.0,7.5,24.4,0.308,0.0,0.0,0.0,5.6,11.3,16.9,0.0,0.0,0.0,0.0,5.6,15.0,0.0,81.0,102.0
33,Bob Bigelow,SF,24.0,KCK,1.0,0.0,7.0,6.3,6.3,1.0,0.0,0.0,0.0,6.3,6.3,1.0,0.0,0.0,0.0,12.7,19.0,31.7,0.0,0.0,0.0,0.0,12.7,12.7,0.0,201.0,97.0
34,Bob Bigelow,SF,24.0,BOS,4.0,0.0,17.0,8.0,32.0,0.25,0.0,0.0,0.0,8.0,32.0,0.25,0.0,0.0,0.0,2.7,8.0,10.7,0.0,0.0,0.0,0.0,2.7,16.0,0.0,64.0,104.0
35,Dave Bing*,PG,34.0,BOS,80.0,0.0,2256.0,8.5,18.9,0.449,0.0,0.0,0.0,8.5,18.9,0.449,4.9,5.9,0.824,1.5,2.7,4.3,6.0,1.6,0.4,4.3,5.0,21.9,0.0,99.0,103.0
36,Otis Birdsong,SG,22.0,KCK,73.0,0.0,1878.0,11.1,22.6,0.492,0.0,0.0,0.0,11.1,22.6,0.492,5.1,7.3,0.697,1.7,2.5,4.1,4.1,1.7,0.3,3.4,4.2,27.3,0.0,104.0,105.0
37,Tom Boerwinkle,C,32.0,CHI,22.0,0.0,227.0,4.8,10.4,0.46,0.0,0.0,0.0,4.8,10.4,0.46,2.1,2.7,0.769,2.9,9.4,12.3,9.2,0.6,0.8,5.4,7.5,11.7,0.0,92.0,103.0
38,Phil Bond,SG,23.0,HOU,7.0,0.0,21.0,4.5,13.5,0.333,0.0,0.0,0.0,4.5,13.5,0.333,0.0,0.0,0.0,2.3,6.8,9.0,4.5,2.3,0.0,4.5,2.3,9.0,0.0,69.0,105.0
39,Ron Boone,SG,31.0,KCK,82.0,0.0,2653.0,9.4,21.3,0.443,0.0,0.0,0.0,9.4,21.3,0.443,5.4,6.3,0.854,1.9,2.6,4.5,5.2,1.8,0.2,5.1,3.9,24.2,0.0,96.0,105.0
40,Jim Bostic,PF,25.0,DET,4.0,0.0,48.0,11.1,20.4,0.545,0.0,0.0,0.0,11.1,20.4,0.545,1.9,4.6,0.4,7.4,7.4,14.9,2.8,0.0,0.0,2.8,4.6,24.1,0.0,111.0,105.0
41,Tom Boswell,PF,24.0,BOS,65.0,0.0,1149.0,7.3,14.1,0.518,0.0,0.0,0.0,7.3,14.1,0.518,3.7,4.9,0.756,4.6,6.7,11.4,2.8,1.0,0.6,3.7,8.0,18.3,0.0,105.0,102.0
42,Freddie Boyd,SG,27.0,NOJ,21.0,0.0,363.0,5.4,13.4,0.4,0.0,0.0,0.0,5.4,13.4,0.4,1.7,2.7,0.636,0.2,2.1,2.3,5.9,1.1,0.4,2.4,2.8,12.5,0.0,90.0,105.0
43,Alonzo Bradley,SF,24.0,HOU,43.0,0.0,798.0,7.7,18.0,0.428,0.0,0.0,0.0,7.7,18.0,0.428,2.6,3.5,0.729,1.4,4.5,5.9,3.2,0.9,0.4,3.3,4.9,18.0,0.0,92.0,109.0
44,Mike Bratz,PG,22.0,PHO,80.0,0.0,933.0,7.3,18.2,0.403,0.0,0.0,0.0,7.3,18.2,0.403,2.6,3.1,0.824,1.9,3.4,5.3,5.7,1.8,0.2,4.1,4.8,17.3,0.0,88.0,100.0
45,Jim Brewer,PF,26.0,CLE,80.0,0.0,1798.0,4.5,10.1,0.449,0.0,0.0,0.0,4.5,10.1,0.449,1.2,2.6,0.46,4.7,8.1,12.8,2.5,1.5,1.2,2.7,4.6,10.2,0.0,94.0,98.0
46,Junior Bridgeman,SF,24.0,MIL,82.0,0.0,1876.0,11.2,22.3,0.503,0.0,0.0,0.0,11.2,22.3,0.503,3.9,4.8,0.81,2.7,4.1,6.8,4.1,1.7,0.7,4.1,4.8,26.3,0.0,103.0,104.0
47,Allan Bristow,SF,26.0,SAS,82.0,0.0,1481.0,7.6,16.0,0.478,0.0,0.0,0.0,7.6,16.0,0.478,4.5,6.2,0.731,2.9,4.7,7.6,5.8,2.1,0.1,4.3,4.5,19.8,0.0,101.0,103.0
48,Wayman Britt,SG,25.0,DET,7.0,0.0,16.0,8.4,27.9,0.3,0.0,0.0,0.0,8.4,27.9,0.3,8.4,11.1,0.75,2.8,8.4,11.1,5.6,2.8,0.0,2.8,8.4,25.1,0.0,91.0,99.0
49,Gary Brokaw,SG,24.0,BUF,13.0,0.0,130.0,6.4,15.2,0.419,0.0,0.0,0.0,6.4,15.2,0.419,6.4,8.5,0.75,1.1,3.2,4.2,7.1,1.1,1.8,4.2,3.9,19.1,0.0,98.0,106.0
50,Fred Brown,SG,29.0,SEA,72.0,0.0,1965.0,11.8,24.3,0.488,0.0,0.0,0.0,11.8,24.3,0.488,4.1,4.6,0.898,1.4,3.0,4.4,5.6,2.6,0.6,3.8,3.4,27.8,0.0,106.0,99.0
51,John Brown,SF,26.0,ATL,75.0,0.0,1594.0,5.6,11.8,0.474,0.0,0.0,0.0,5.6,11.8,0.474,4.8,5.8,0.825,4.0,4.8,8.8,3.1,1.6,0.2,3.4,8.2,16.0,0.0,106.0,102.0
52,Joe Bryant,PF,23.0,PHI,81.0,0.0,1236.0,6.8,15.6,0.436,0.0,0.0,0.0,6.8,15.6,0.436,4.0,5.2,0.771,3.7,6.3,10.0,4.6,2.0,0.9,4.1,6.6,17.6,0.0,98.0,100.0
53,Quinn Buckner,PG,23.0,MIL,82.0,0.0,2072.0,6.7,14.3,0.468,0.0,0.0,0.0,6.7,14.3,0.468,2.8,4.3,0.645,1.7,3.6,5.3,9.7,4.0,0.4,4.9,6.1,16.2,0.0,96.0,100.0
55,Ticky Burden,SG,24.0,NYK,2.0,0.0,15.0,2.9,5.8,0.5,0.0,0.0,0.0,2.9,5.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,0.0,0.0,2.9,5.8,0.0,121.0,105.0
56,Tom Burleson,C,25.0,KCK,76.0,0.0,1525.0,6.6,15.3,0.434,0.0,0.0,0.0,6.6,15.3,0.434,5.7,7.2,0.794,4.9,9.1,14.0,3.8,1.8,2.4,3.6,7.5,19.0,0.0,104.0,98.0
57,Don Buse,PG,27.0,PHO,82.0,0.0,2547.0,4.9,10.6,0.458,0.0,0.0,0.0,4.9,10.6,0.458,1.9,2.3,0.824,1.0,3.2,4.2,6.6,3.1,0.2,2.1,2.4,11.6,0.0,105.0,98.0
58,Corky Calhoun,SF,27.0,POR,79.0,0.0,1370.0,5.9,12.3,0.479,0.0,0.0,0.0,5.9,12.3,0.479,2.2,2.6,0.868,2.5,4.8,7.2,2.9,1.4,0.5,2.2,4.7,14.0,0.0,106.0,100.0
59,Mack Calvin,PG,30.0,DEN,77.0,0.0,988.0,6.6,14.9,0.441,0.0,0.0,0.0,6.6,14.9,0.441,7.7,9.2,0.84,0.5,3.3,3.8,6.6,2.1,0.2,4.8,3.9,20.9,0.0,102.0,104.0
60,Austin Carr,SG,29.0,CLE,82.0,0.0,2186.0,8.8,20.1,0.438,0.0,0.0,0.0,8.8,20.1,0.438,3.9,4.8,0.813,1.6,2.4,4.0,4.8,1.4,0.4,3.1,3.6,21.5,0.0,99.0,103.0
