,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
554,Marcus Smart,SG,25.0,BOS,52.0,38.0,32.4,4.5,11.9,0.379,2.4,7.0,0.348,2.1,4.9,0.422,0.481,2.0,2.4,0.832,0.8,3.1,3.8,4.8,1.7,0.5,1.7,2.7,13.4
555,Dennis Smith,PG,22.0,NYK,34.0,3.0,15.8,2.1,6.2,0.341,0.5,1.6,0.296,1.6,4.6,0.357,0.379,0.8,1.6,0.509,0.6,1.7,2.3,2.9,0.8,0.2,1.7,1.9,5.5
556,Ish Smith,PG,31.0,WAS,60.0,19.0,26.2,4.4,9.7,0.451,0.9,2.5,0.367,3.5,7.2,0.48,0.498,0.8,1.2,0.686,0.5,2.7,3.2,4.8,0.9,0.4,1.3,1.4,10.5
557,Zhaire Smith,SG,20.0,PHI,7.0,0.0,4.6,0.4,1.6,0.273,0.0,0.4,0.0,0.4,1.1,0.375,0.273,0.3,0.6,0.5,0.0,0.3,0.3,0.3,0.4,0.0,0.3,0.6,1.1
558,Tony Snell,SF,28.0,DET,58.0,56.0,27.8,2.9,6.5,0.443,1.8,4.4,0.403,1.1,2.1,0.524,0.578,0.5,0.5,1.0,0.2,1.7,1.9,2.1,0.5,0.3,0.5,1.7,8.0
559,Omari Spellman,PF,22.0,GSW,49.0,3.0,18.1,2.6,6.0,0.431,0.9,2.2,0.391,1.7,3.8,0.454,0.503,1.5,1.9,0.793,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6
560,Max Strus,SG,23.0,CHI,2.0,0.0,3.0,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5
561,Edmond Sumner,PG,24.0,IND,24.0,2.0,13.7,1.9,4.5,0.421,0.4,1.6,0.263,1.5,2.9,0.507,0.467,0.4,0.6,0.667,0.4,1.0,1.4,1.6,0.6,0.3,0.8,1.4,4.6
562,Caleb Swanigan,PF,22.0,TOT,26.0,1.0,10.7,1.1,1.8,0.596,0.0,0.1,0.0,1.1,1.7,0.622,0.596,0.3,0.7,0.529,1.0,2.7,3.7,1.2,0.1,0.3,1.4,2.3,2.5
563,Caleb Swanigan,PF,22.0,SAC,7.0,0.0,3.3,0.3,0.6,0.5,0.0,0.0,0.0,0.3,0.6,0.5,0.5,0.1,0.3,0.5,0.3,0.7,1.0,0.3,0.1,0.3,0.9,1.1,0.7
564,Caleb Swanigan,PF,22.0,POR,19.0,1.0,13.4,1.4,2.3,0.605,0.0,0.1,0.0,1.4,2.2,0.634,0.605,0.4,0.8,0.533,1.3,3.4,4.6,1.5,0.1,0.3,1.6,2.8,3.2
565,Jayson Tatum,PF,21.0,BOS,58.0,58.0,34.6,8.4,18.8,0.447,2.8,7.1,0.399,5.6,11.7,0.476,0.522,3.8,4.7,0.806,1.0,6.1,7.1,3.0,1.4,0.9,2.3,2.1,23.4
566,Jeff Teague,PG,31.0,TOT,58.0,17.0,24.9,3.6,8.3,0.432,0.7,2.0,0.362,2.9,6.3,0.454,0.475,2.9,3.3,0.87,0.4,1.9,2.4,5.3,0.8,0.3,2.0,1.8,10.8
567,Jeff Teague,PG,31.0,MIN,34.0,13.0,27.8,4.3,9.5,0.448,1.0,2.6,0.379,3.3,7.0,0.473,0.498,3.7,4.2,0.868,0.4,2.1,2.6,6.1,0.7,0.4,2.2,2.1,13.2
568,Jeff Teague,PG,31.0,ATL,24.0,4.0,20.9,2.6,6.6,0.399,0.4,1.2,0.31,2.3,5.4,0.419,0.427,1.8,2.0,0.878,0.5,1.7,2.1,4.0,0.8,0.3,1.6,1.4,7.4
569,Garrett Temple,SG,33.0,BRK,55.0,31.0,28.1,3.6,9.5,0.378,2.0,6.3,0.324,1.6,3.2,0.483,0.485,1.0,1.3,0.767,0.5,2.9,3.5,2.6,0.8,0.5,1.0,1.7,10.3
570,Daniel Theis,C,27.0,BOS,57.0,56.0,23.7,3.6,6.5,0.562,0.4,1.4,0.304,3.2,5.1,0.632,0.595,1.4,1.8,0.76,2.2,4.3,6.6,1.6,0.6,1.3,0.8,3.4,9.1
571,Isaiah Thomas,PG,30.0,WAS,40.0,37.0,23.1,4.4,10.7,0.408,2.0,4.7,0.413,2.4,5.9,0.405,0.5,1.6,1.9,0.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
572,Khyri Thomas,SG,23.0,DET,7.0,0.0,6.7,0.6,2.0,0.286,0.6,1.6,0.364,0.0,0.4,0.0,0.429,0.1,0.3,0.5,0.1,0.0,0.1,0.3,0.3,0.0,0.4,0.7,1.9
573,Matt Thomas,SG,25.0,TOR,33.0,0.0,9.7,1.6,3.4,0.486,1.1,2.3,0.467,0.6,1.1,0.528,0.644,0.2,0.3,0.7,0.2,1.2,1.5,0.5,0.2,0.0,0.4,0.9,4.5
574,Tristan Thompson,C,28.0,CLE,57.0,51.0,30.2,5.1,9.9,0.512,0.2,0.4,0.391,4.9,9.5,0.518,0.52,1.7,2.8,0.615,4.0,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12.0
575,Matisse Thybulle,SG,22.0,PHI,56.0,13.0,19.5,1.6,4.1,0.402,0.9,2.5,0.35,0.8,1.6,0.483,0.509,0.4,0.7,0.61,0.6,0.9,1.5,1.2,1.4,0.7,0.8,2.1,4.6
576,Anthony Tolliver,PF,34.0,TOT,46.0,9.0,15.5,1.2,3.3,0.349,0.8,2.6,0.322,0.3,0.7,0.441,0.474,0.3,0.5,0.696,0.7,2.2,2.9,0.7,0.3,0.2,0.6,1.4,3.5
577,Anthony Tolliver,PF,34.0,POR,33.0,9.0,16.8,1.3,3.5,0.368,0.9,2.7,0.337,0.4,0.8,0.464,0.496,0.4,0.6,0.684,0.8,2.5,3.3,0.9,0.2,0.3,0.6,1.6,3.9
578,Anthony Tolliver,PF,34.0,SAC,9.0,0.0,9.1,0.3,1.9,0.176,0.2,1.7,0.133,0.1,0.2,0.5,0.235,0.1,0.2,0.5,0.2,1.0,1.2,0.3,0.4,0.1,0.4,0.7,1.0
579,Anthony Tolliver,PF,34.0,MEM,4.0,0.0,19.5,1.8,4.5,0.389,1.5,3.5,0.429,0.3,1.0,0.25,0.556,0.5,0.5,1.0,0.3,2.5,2.8,0.3,0.8,0.3,1.0,1.0,5.5
581,Juan Toscano-Anderson,SF,26.0,GSW,12.0,5.0,22.6,2.4,5.2,0.468,0.7,1.9,0.348,1.8,3.3,0.538,0.532,0.3,0.4,0.6,0.8,3.6,4.3,2.2,1.1,0.4,1.3,2.5,5.8
582,Karl-Anthony Towns,C,24.0,MIN,35.0,35.0,33.9,9.0,17.8,0.508,3.3,7.9,0.412,5.8,9.9,0.586,0.6,5.1,6.5,0.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,3.3,26.5
583,Gary Trent,SG,21.0,POR,52.0,8.0,20.0,2.9,6.6,0.432,1.5,3.8,0.394,1.4,2.8,0.483,0.545,0.6,0.7,0.833,0.4,1.3,1.7,0.9,0.8,0.2,0.4,1.3,7.8
584,Allonzo Trier,PG,24.0,NYK,24.0,1.0,12.1,2.1,4.4,0.481,0.8,2.2,0.358,1.3,2.2,0.604,0.571,1.4,1.8,0.791,0.3,1.0,1.2,1.2,0.1,0.2,0.9,1.2,6.5
585,P.J. Tucker,PF,34.0,HOU,63.0,63.0,34.4,2.6,5.9,0.433,1.5,4.0,0.369,1.1,1.9,0.573,0.559,0.6,0.7,0.841,1.6,5.3,6.8,1.6,1.1,0.5,1.0,3.3,7.2
586,Rayjon Tucker,SG,22.0,UTA,14.0,0.0,5.6,0.6,1.4,0.421,0.0,0.4,0.0,0.6,0.9,0.615,0.421,0.2,0.4,0.6,0.1,0.8,0.9,0.1,0.1,0.0,0.2,0.5,1.4
587,Evan Turner,PG,31.0,ATL,19.0,0.0,13.2,1.3,3.5,0.373,0.0,0.3,0.0,1.3,3.3,0.403,0.373,0.6,0.7,0.857,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1,3.3
588,Myles Turner,C,23.0,IND,54.0,54.0,29.5,4.2,9.4,0.447,1.4,4.2,0.336,2.8,5.2,0.536,0.522,2.0,2.6,0.754,1.3,5.2,6.5,1.1,0.8,2.1,1.2,2.5,11.8
589,Jarrod Uthoff,SF,26.0,MEM,4.0,0.0,3.5,0.3,1.8,0.143,0.0,1.0,0.0,0.3,0.8,0.333,0.143,0.5,0.5,1.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,1.0
590,Jonas Valanciunas,C,27.0,MEM,61.0,61.0,26.1,6.2,10.6,0.581,0.5,1.3,0.367,5.7,9.3,0.611,0.604,1.9,2.5,0.735,3.0,8.1,11.1,1.8,0.4,1.1,1.7,2.6,14.7
591,Denzel Valentine,SF,26.0,CHI,35.0,4.0,13.3,2.6,6.4,0.404,1.2,3.7,0.328,1.4,2.7,0.511,0.5,0.2,0.2,0.75,0.3,1.8,2.1,1.2,0.7,0.2,0.7,1.4,6.6
592,Jarred Vanderbilt,SF-PF,20.0,TOT,11.0,0.0,4.2,0.5,0.7,0.625,0.0,0.1,0.0,0.5,0.6,0.714,0.625,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1
593,Jarred Vanderbilt,SF,20.0,DEN,9.0,0.0,4.6,0.6,0.8,0.714,0.0,0.0,0.0,0.6,0.8,0.714,0.714,0.0,0.0,0.0,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1
594,Jarred Vanderbilt,PF,20.0,MIN,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
595,Fred VanVleet,PG,25.0,TOR,48.0,48.0,35.8,6.0,14.6,0.409,2.7,7.0,0.388,3.3,7.6,0.43,0.503,2.9,3.5,0.843,0.4,3.4,3.8,6.6,1.9,0.3,2.3,2.5,17.6
596,Gabe Vincent,PG,23.0,MIA,6.0,0.0,7.0,0.7,3.2,0.211,0.7,2.7,0.25,0.0,0.5,0.0,0.316,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.2,0.0,0.0,0.3,2.0
597,Noah Vonleh,C-PF,24.0,TOT,33.0,1.0,11.0,1.5,2.7,0.562,0.1,0.5,0.2,1.4,2.2,0.635,0.579,0.7,0.9,0.8,1.1,2.6,3.7,0.8,0.3,0.2,0.6,1.2,3.8
598,Noah Vonleh,C,24.0,MIN,29.0,1.0,12.0,1.6,3.0,0.547,0.1,0.5,0.143,1.6,2.5,0.625,0.558,0.8,1.0,0.821,1.2,2.8,4.0,0.9,0.4,0.2,0.7,1.2,4.1
599,Noah Vonleh,PF,24.0,DEN,4.0,0.0,4.3,0.8,0.8,1.0,0.3,0.3,1.0,0.5,0.5,1.0,1.167,0.3,0.5,0.5,0.8,1.0,1.8,0.3,0.0,0.0,0.5,0.5,2.0
600,Nikola Vucevic,C,29.0,ORL,53.0,53.0,32.6,7.9,16.9,0.468,1.5,4.6,0.331,6.4,12.3,0.52,0.513,2.2,2.8,0.781,2.4,8.6,11.0,3.7,0.9,0.9,1.4,2.2,19.5
