,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Quincy Acy,PF,25.0,SAC,59.0,29.0,876.0,6.5,11.7,0.556,1.0,2.7,0.388,5.5,9.0,0.606,2.7,3.7,0.735,3.6,6.7,10.3,1.5,1.6,1.3,1.5,5.6,16.8,0.0,124.0,108.0
1,Jordan Adams,SG,21.0,MEM,2.0,0.0,15.0,6.9,20.6,0.333,0.0,3.4,0.0,6.9,17.2,0.4,10.3,17.2,0.6,0.0,6.9,6.9,10.3,10.3,0.0,6.9,6.9,24.0,0.0,84.0,90.0
2,Steven Adams,C,22.0,OKC,80.0,80.0,2014.0,6.4,10.5,0.613,0.0,0.0,0.0,6.4,10.5,0.613,2.8,4.8,0.582,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,0.0,123.0,105.0
3,Arron Afflalo,SG,30.0,NYK,71.0,57.0,2371.0,7.7,17.3,0.443,2.0,5.2,0.382,5.7,12.2,0.469,2.4,2.8,0.84,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,0.0,105.0,112.0
4,Alexis Ajinca,C,27.0,NOP,59.0,17.0,861.0,8.6,18.1,0.476,0.0,0.1,0.0,8.6,18.1,0.478,3.0,3.6,0.839,4.3,11.2,15.5,1.8,1.1,2.1,3.1,7.7,20.3,0.0,100.0,107.0
5,Cole Aldrich,C,27.0,LAC,60.0,5.0,800.0,8.4,14.1,0.596,0.0,0.0,0.0,8.4,14.1,0.596,3.8,5.3,0.714,5.4,12.7,18.0,3.1,2.9,4.3,4.0,8.7,20.5,0.0,113.0,94.0
6,LaMarcus Aldridge,PF,30.0,SAS,74.0,74.0,2261.0,12.1,23.7,0.513,0.0,0.4,0.0,12.1,23.3,0.521,5.9,6.8,0.858,4.0,10.3,14.3,2.5,0.9,1.8,2.2,3.4,30.1,0.0,114.0,99.0
7,Cliff Alexander,PF,20.0,POR,8.0,0.0,36.0,6.9,13.9,0.5,0.0,0.0,0.0,6.9,13.9,0.5,0.0,0.0,0.0,2.8,5.6,8.3,0.0,1.4,2.8,1.4,1.4,13.9,0.0,100.0,107.0
8,Lavoy Allen,PF,26.0,IND,79.0,28.0,1599.0,5.9,11.5,0.516,0.0,0.0,0.0,5.9,11.5,0.516,1.4,2.3,0.63,5.0,8.1,13.2,2.4,0.8,1.3,2.1,4.6,13.3,0.0,110.0,104.0
9,Tony Allen,SG,34.0,MEM,64.0,57.0,1620.0,6.8,14.9,0.458,0.5,1.3,0.357,6.4,13.6,0.468,2.9,4.4,0.652,3.3,6.1,9.4,2.2,3.5,0.6,2.5,5.6,17.0,0.0,101.0,105.0
10,Al-Farouq Aminu,SF,25.0,POR,82.0,82.0,2341.0,6.4,15.4,0.416,2.7,7.5,0.361,3.7,7.9,0.468,2.5,3.3,0.737,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,0.0,105.0,107.0
