,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,TOR,Andrea Bargnani,,10.0,550.0,15806.0,7873.0,2541.0,653.0,0.439,0.354,0.824,28.7,14.3,4.6,1.2,18.9,0.057,-1.6,1.5
2,2.0,CHI,LaMarcus Aldridge,Texas,14.0,1002.0,34481.0,19575.0,8358.0,1983.0,0.491,0.312,0.811,34.4,19.5,8.3,2.0,111.5,0.155,1.7,32.4
3,3.0,CHA,Adam Morrison,Gonzaga,3.0,161.0,3278.0,1200.0,342.0,222.0,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5.0,-2.4
4,4.0,POR,Tyrus Thomas,LSU,8.0,402.0,7932.0,3093.0,1938.0,347.0,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13.0,0.078,-1.2,1.7
5,5.0,ATL,Shelden Williams,Duke,6.0,361.0,5586.0,1618.0,1562.0,163.0,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-3.0,-1.5
6,6.0,MIN,Brandon Roy,Washington,6.0,326.0,11561.0,6136.0,1388.0,1517.0,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.6,16.3
7,7.0,BOS,Randy Foye,Villanova,11.0,752.0,19279.0,7729.0,1686.0,2112.0,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.2,3.8
8,8.0,HOU,Rudy Gay,UConn,14.0,936.0,31096.0,16011.0,5516.0,2064.0,0.455,0.346,0.798,33.2,17.1,5.9,2.2,56.2,0.087,0.8,21.6
9,9.0,GSW,Patrick O'Bryant,Bradley,4.0,90.0,524.0,186.0,127.0,25.0,0.494,0.0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-4.6,-0.3
10,10.0,SEA,Mouhamed Sene,,3.0,47.0,260.0,103.0,75.0,1.0,0.427,0.0,0.589,5.5,2.2,1.6,0.0,0.3,0.052,-5.1,-0.2
11,11.0,ORL,J.J. Redick,Duke,14.0,890.0,23085.0,11589.0,1828.0,1800.0,0.448,0.416,0.891,25.9,13.0,2.1,2.0,62.6,0.13,0.8,16.1
12,12.0,NOK,Hilton Armstrong,UConn,6.0,292.0,3378.0,880.0,766.0,102.0,0.501,0.286,0.582,11.6,3.0,2.6,0.3,3.9,0.055,-4.1,-1.8
13,13.0,PHI,Thabo Sefolosha,,14.0,868.0,19054.0,4994.0,3252.0,1196.0,0.449,0.349,0.732,22.0,5.8,3.7,1.4,39.4,0.099,0.6,12.4
14,14.0,UTA,Ronnie Brewer,Arkansas,8.0,502.0,11539.0,3940.0,1427.0,828.0,0.49,0.254,0.675,23.0,7.8,2.8,1.6,30.4,0.127,1.6,10.6
15,15.0,NOK,Cedric Simmons,NC State,3.0,75.0,705.0,163.0,141.0,14.0,0.409,0.0,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5.0,-0.5
16,16.0,CHI,Rodney Carney,Memphis,5.0,299.0,4600.0,1778.0,588.0,132.0,0.422,0.338,0.704,15.4,5.9,2.0,0.4,6.2,0.064,-1.6,0.5
17,17.0,IND,Shawne Williams,Memphis,7.0,314.0,5368.0,1769.0,945.0,220.0,0.403,0.339,0.755,17.1,5.6,3.0,0.7,6.7,0.06,-2.2,-0.3
18,18.0,WAS,Oleksiy Pecherov,,3.0,111.0,1044.0,438.0,266.0,20.0,0.386,0.29,0.793,9.4,3.9,2.4,0.2,0.5,0.025,-4.8,-0.7
19,19.0,SAC,Quincy Douby,Rutgers University,3.0,143.0,1535.0,588.0,152.0,93.0,0.389,0.312,0.884,10.7,4.1,1.1,0.7,0.0,0.0,-3.5,-0.6
20,20.0,NYK,Renaldo Balkman,South Carolina,6.0,221.0,3064.0,894.0,769.0,132.0,0.51,0.172,0.542,13.9,4.0,3.5,0.6,7.2,0.113,0.1,1.6
21,21.0,PHO,Rajon Rondo,Kentucky,14.0,870.0,27053.0,8897.0,4126.0,7202.0,0.459,0.317,0.606,31.1,10.2,4.7,8.3,59.9,0.106,1.4,22.9
22,22.0,NJN,Marcus Williams,UConn,4.0,203.0,3095.0,1128.0,361.0,574.0,0.386,0.321,0.767,15.2,5.6,1.8,2.8,0.0,-0.001,-3.3,-1.0
23,23.0,NJN,Josh Boone,UConn,4.0,256.0,4482.0,1340.0,1258.0,125.0,0.544,0.0,0.445,17.5,5.2,4.9,0.5,9.1,0.097,-2.0,0.0
24,24.0,MEM,Kyle Lowry,Villanova,14.0,906.0,28603.0,13330.0,3895.0,5608.0,0.423,0.366,0.809,31.6,14.7,4.3,6.2,93.1,0.156,3.2,37.8
25,25.0,CLE,Shannon Brown,Michigan State,9.0,408.0,7329.0,3118.0,760.0,458.0,0.42,0.332,0.807,18.0,7.6,1.9,1.1,9.2,0.06,-1.5,1.0
