,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Kareem Abdul-Jabbar*,C,33.0,LAL,80.0,0.0,2976.0,13.1,22.9,0.574,0.0,0.0,0.0,13.1,22.9,0.574,6.6,8.7,0.766,3.1,9.8,12.9,4.3,0.9,3.6,3.9,3.8,32.9,0.0,118.0,101.0
1,Tom Abernethy,SF,26.0,TOT,39.0,0.0,298.0,4.0,9.4,0.424,0.0,0.2,0.0,4.0,9.3,0.431,2.1,3.5,0.591,3.2,4.5,7.7,3.0,1.1,0.5,1.3,5.4,10.1,0.0,107.0,109.0
2,Tom Abernethy,SF,26.0,GSW,10.0,0.0,39.0,1.2,3.7,0.333,0.0,0.0,0.0,1.2,3.7,0.333,2.4,3.7,0.667,1.2,8.5,9.8,1.2,1.2,0.0,2.4,6.1,4.9,0.0,80.0,109.0
3,Tom Abernethy,SF,26.0,IND,29.0,0.0,259.0,4.4,10.3,0.429,0.0,0.2,0.0,4.4,10.1,0.436,2.0,3.5,0.579,3.5,3.9,7.3,3.3,1.1,0.6,1.1,5.3,10.8,0.0,109.0,108.0
4,Alvan Adams,C,26.0,PHO,75.0,0.0,2054.0,10.2,19.4,0.526,0.0,0.0,0.0,10.2,19.4,0.526,4.4,5.8,0.768,3.5,8.7,12.2,7.7,2.4,1.5,5.0,5.0,24.9,0.0,108.0,96.0
5,Darrell Allums,PF,22.0,DAL,22.0,0.0,276.0,4.1,11.8,0.343,0.0,0.2,0.0,4.1,11.6,0.348,2.3,3.9,0.591,3.3,8.1,11.5,4.4,0.9,1.4,4.1,9.0,10.4,0.0,79.0,109.0
6,Tiny Archibald*,PG,32.0,BOS,80.0,72.0,2820.0,6.5,12.9,0.499,0.0,0.2,0.0,6.5,12.8,0.505,5.8,7.1,0.816,0.6,2.4,3.0,10.4,1.3,0.3,4.5,3.4,18.7,0.0,111.0,107.0
7,Dennis Awtrey,C,32.0,SEA,47.0,0.0,607.0,3.5,7.3,0.473,0.0,0.0,0.0,3.5,7.3,0.473,1.1,1.6,0.7,2.6,5.9,8.5,4.3,0.9,0.6,2.6,6.7,8.0,0.0,98.0,106.0
8,James Bailey,PF,23.0,SEA,82.0,0.0,2539.0,8.4,16.8,0.499,0.0,0.0,0.5,8.4,16.7,0.499,4.8,6.8,0.709,3.6,7.8,11.4,1.8,1.4,2.7,4.1,6.3,21.6,0.0,101.0,102.0
9,Greg Ballard,SF,26.0,WSB,82.0,0.0,2610.0,9.9,21.3,0.463,0.1,0.6,0.219,9.7,20.7,0.47,3.0,3.5,0.847,3.0,7.4,10.4,3.5,2.1,0.7,2.1,3.5,22.8,0.0,105.0,101.0
10,Mike Bantom,SF,29.0,IND,76.0,0.0,2375.0,8.6,17.7,0.489,0.0,0.1,0.0,8.6,17.5,0.492,4.0,5.6,0.708,3.0,5.5,8.5,4.8,1.6,1.7,3.9,5.7,21.2,0.0,103.0,105.0
11,Billy Ray Bates,SG,24.0,POR,77.0,0.0,1560.0,13.1,26.9,0.487,0.4,1.6,0.259,12.7,25.3,0.501,5.1,5.9,0.854,2.1,2.6,4.7,5.9,2.4,0.2,4.5,3.6,31.7,0.0,106.0,107.0
12,Mel Bennett,PF,26.0,UTA,28.0,0.0,313.0,4.1,9.4,0.433,0.0,0.3,0.0,4.1,9.1,0.448,8.3,12.7,0.654,5.2,9.4,14.6,2.4,0.5,1.7,4.9,8.8,16.5,0.0,99.0,108.0
13,Kent Benson,C,26.0,DET,59.0,0.0,1956.0,8.8,18.7,0.473,0.0,0.1,0.0,8.8,18.6,0.475,4.8,6.2,0.772,3.0,6.7,9.7,4.2,1.7,1.6,4.6,4.5,22.4,0.0,99.0,104.0
14,Henry Bibby,PG,31.0,SDC,73.0,0.0,1112.0,5.1,13.2,0.386,1.4,4.1,0.337,3.7,9.1,0.408,2.9,4.2,0.684,1.1,2.1,3.2,8.6,2.0,0.1,3.3,3.7,14.4,0.0,101.0,110.0
15,Larry Bird*,PF,24.0,BOS,82.0,82.0,3239.0,10.6,22.1,0.478,0.3,1.1,0.27,10.3,21.0,0.489,4.2,4.8,0.863,2.8,10.4,13.2,6.6,2.4,0.9,4.2,3.5,25.6,0.0,107.0,99.0
16,Otis Birdsong,SG,25.0,KCK,71.0,0.0,2593.0,13.0,23.9,0.544,0.2,0.6,0.286,12.8,23.2,0.551,5.8,8.3,0.697,2.2,2.5,4.7,4.3,1.7,0.3,3.2,3.1,31.9,0.0,113.0,108.0
17,Norman Black,SG,23.0,DET,3.0,0.0,28.0,5.1,16.9,0.3,0.0,0.0,0.0,5.1,16.9,0.3,3.4,13.5,0.25,0.0,3.4,3.4,3.4,1.7,0.0,1.7,3.4,13.5,0.0,68.0,107.0
18,Ron Boone,SG,34.0,UTA,52.0,0.0,1146.0,6.9,15.9,0.431,0.5,1.7,0.282,6.4,14.2,0.449,3.2,4.0,0.798,0.7,2.9,3.6,6.9,1.4,0.3,4.8,5.4,17.4,0.0,91.0,112.0
19,Winford Boynes,SG,23.0,DAL,44.0,0.0,757.0,7.8,20.1,0.387,0.0,0.0,0.0,7.8,20.1,0.387,2.9,3.5,0.818,1.5,3.3,4.8,2.4,1.5,1.0,4.4,5.1,18.4,0.0,80.0,112.0
20,Dudley Bradley,SG,23.0,IND,82.0,0.0,1867.0,6.7,14.2,0.474,0.1,0.4,0.125,6.7,13.8,0.484,3.2,4.5,0.702,1.8,3.1,4.9,4.8,4.7,0.9,3.1,6.0,16.7,0.0,103.0,101.0
21,Mike Bratz,PG,25.0,CLE,80.0,0.0,2595.0,5.9,15.0,0.39,1.0,3.1,0.337,4.8,11.9,0.404,2.0,2.4,0.811,1.2,2.4,3.6,8.3,2.5,0.3,3.0,3.6,14.7,0.0,100.0,110.0
23,Jim Brewer,PF,29.0,LAL,78.0,0.0,1107.0,4.3,8.3,0.513,0.0,0.1,0.0,4.3,8.2,0.518,0.6,1.7,0.375,5.4,6.5,11.9,2.3,1.8,2.4,2.0,6.7,9.2,0.0,107.0,103.0
24,Ron Brewer,SG,25.0,TOT,75.0,0.0,1452.0,8.8,20.3,0.436,0.0,0.2,0.143,8.8,20.0,0.439,2.9,3.7,0.798,1.1,1.7,2.8,4.8,2.0,1.1,3.0,3.1,20.6,0.0,99.0,108.0
25,Ron Brewer,SG,25.0,POR,29.0,0.0,548.0,8.1,20.9,0.386,0.1,0.3,0.333,8.0,20.7,0.387,2.2,2.9,0.765,1.1,1.7,2.8,4.7,2.9,0.8,3.2,3.6,18.5,0.0,88.0,107.0
26,Ron Brewer,SG,25.0,SAS,46.0,0.0,904.0,9.3,19.9,0.468,0.0,0.2,0.0,9.3,19.7,0.472,3.4,4.1,0.813,1.1,1.7,2.7,4.8,1.4,1.3,2.8,2.7,21.9,0.0,106.0,109.0
27,Junior Bridgeman,SF,27.0,MIL,77.0,0.0,2215.0,11.2,23.0,0.487,0.1,0.4,0.143,11.2,22.6,0.494,4.5,5.0,0.884,1.6,4.4,6.0,4.9,1.8,0.6,3.1,3.8,27.0,0.0,110.0,104.0
28,Allan Bristow,SF,29.0,UTA,82.0,0.0,2001.0,6.7,15.0,0.444,0.1,0.4,0.278,6.5,14.6,0.449,4.1,4.9,0.838,2.5,8.0,10.6,9.4,1.5,0.1,4.2,4.7,17.5,0.0,103.0,109.0
29,Dave Britton,PG,22.0,WSB,2.0,0.0,9.0,10.4,15.6,0.667,0.0,0.0,0.0,10.4,15.6,0.667,0.0,0.0,0.0,0.0,10.4,10.4,15.6,5.2,0.0,10.4,10.4,20.8,0.0,93.0,93.0
30,Michael Brooks,SF,22.0,SDC,82.0,0.0,2479.0,9.4,19.7,0.479,0.0,0.1,0.0,9.4,19.5,0.482,4.4,6.2,0.706,4.1,4.5,8.5,4.0,1.9,0.6,3.1,4.5,23.2,0.0,107.0,108.0
