,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Stacey Arceneaux,F,25.0,STL,7.0,110.0,10.4,0.405,0.0,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.036,0.0,0.0,0.0,0.0
1,Paul Arizin*,SF,33.0,PHW,78.0,2785.0,14.8,0.486,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.5,6.3,0.109,0.0,0.0,0.0,0.0
2,Al Attles*,PG,25.0,PHW,75.0,2468.0,10.8,0.501,0.0,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.4,5.2,0.101,0.0,0.0,0.0,0.0
3,Elgin Baylor*,SF,27.0,LAL,48.0,2129.0,26.5,0.492,0.0,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.0,7.9,0.179,0.0,0.0,0.0,0.0
4,Walt Bellamy*,C,22.0,CHP,79.0,3344.0,26.3,0.554,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,2.8,16.3,0.233,0.0,0.0,0.0,0.0
5,Al Bianchi,PG,29.0,SYR,80.0,1925.0,11.4,0.437,0.0,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.059,0.0,0.0,0.0,0.0
6,George Blaney,PG,22.0,NYK,36.0,363.0,7.8,0.391,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.3,-0.1,-0.014,0.0,0.0,0.0,0.0
7,Bucky Bockhorn,SG,28.0,CIN,80.0,3062.0,11.0,0.469,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1,3.1,0.049,0.0,0.0,0.0,0.0
8,George Bon Salle,PF,26.0,CHP,3.0,9.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.429,0.0,0.0,0.0,0.0
9,Bob Boozer,PF,24.0,CIN,79.0,2488.0,13.3,0.492,0.0,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.1,3.9,0.075,0.0,0.0,0.0,0.0
10,Carl Braun*,PG,34.0,BOS,48.0,414.0,10.7,0.402,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.9,0.5,0.053,0.0,0.0,0.0,0.0
11,Joe Buckhalter,PF,24.0,CIN,63.0,728.0,14.5,0.489,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,1.2,0.082,0.0,0.0,0.0,0.0
12,Cleveland Buckner,PF,23.0,NYK,62.0,696.0,15.7,0.469,0.0,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,1.3,0.087,0.0,0.0,0.0,0.0
13,Dave Budd,SF,23.0,NYK,79.0,1370.0,11.6,0.483,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1,2.3,0.081,0.0,0.0,0.0,0.0
14,Ed Burton,F,22.0,NYK,8.0,28.0,12.6,0.476,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0
15,Donnie Butcher,PG,25.0,NYK,47.0,479.0,6.8,0.372,0.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.4,-0.3,-0.026,0.0,0.0,0.0,0.0
16,Al Butler,PG,23.0,TOT,59.0,2016.0,13.0,0.496,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,4.1,0.098,0.0,0.0,0.0,0.0
