,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
39,Bob Harrison,PG,28.0,STL,72.0,0.0,2219.0,4.2,11.8,0.359,0.0,0.0,0.0,4.2,11.8,0.359,1.6,2.4,0.664,0.0,0.0,3.2,4.5,0.0,0.0,0.0,4.0,10.0
40,Dick Hemric,PF,22.0,BOS,71.0,0.0,1329.0,4.4,10.8,0.403,0.0,0.0,0.0,4.4,10.8,0.403,4.8,7.4,0.648,0.0,0.0,10.8,1.6,0.0,0.0,0.0,3.8,13.5
41,Larry Hennessy,SG,26.0,PHW,53.0,0.0,444.0,6.9,20.0,0.344,0.0,0.0,0.0,6.9,20.0,0.344,2.1,2.6,0.813,0.0,0.0,4.0,3.7,0.0,0.0,0.0,3.0,15.9
42,Lew Hitch,PF,26.0,MNL,69.0,0.0,1129.0,3.0,7.5,0.4,0.0,0.0,0.0,3.0,7.5,0.4,3.2,4.2,0.758,0.0,0.0,9.0,2.5,0.0,0.0,0.0,2.7,9.2
43,Jim Holstein,F-G,25.0,TOT,27.0,0.0,352.0,2.5,9.1,0.27,0.0,0.0,0.0,2.5,9.1,0.27,2.5,3.8,0.649,0.0,0.0,7.8,3.9,0.0,0.0,0.0,5.2,7.4
44,Jim Holstein,SF,25.0,MNL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Jim Holstein,SF,25.0,FTW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Johnny Horan,F,23.0,TOT,19.0,0.0,93.0,4.6,16.3,0.286,0.0,0.0,0.0,4.6,16.3,0.286,3.9,4.3,0.909,0.0,0.0,3.9,0.8,0.0,0.0,0.0,8.1,13.2
47,Johnny Horan,F,23.0,FTW,7.0,0.0,43.0,6.7,21.8,0.308,0.0,0.0,0.0,6.7,21.8,0.308,5.0,5.0,1.0,0.0,0.0,3.3,0.8,0.0,0.0,0.0,11.7,18.4
48,Johnny Horan,F,23.0,MNL,12.0,0.0,50.0,2.9,11.5,0.25,0.0,0.0,0.0,2.9,11.5,0.25,2.9,3.6,0.8,0.0,0.0,4.3,0.7,0.0,0.0,0.0,5.0,8.6
49,Bob Houbregs*,C,23.0,FTW,70.0,0.0,1535.0,5.8,13.5,0.43,0.0,0.0,0.0,5.8,13.5,0.43,6.6,9.0,0.739,0.0,0.0,9.7,3.7,0.0,0.0,0.0,3.4,18.2
50,Mel Hutchins,PF,27.0,FTW,66.0,0.0,2240.0,5.2,12.3,0.425,0.0,0.0,0.0,5.2,12.3,0.425,2.3,3.6,0.643,0.0,0.0,8.0,2.9,0.0,0.0,0.0,2.7,12.7
52,Neil Johnston*,C,26.0,PHW,70.0,0.0,2594.0,6.9,15.2,0.457,0.0,0.0,0.0,6.9,15.2,0.457,7.6,9.5,0.801,0.0,0.0,12.1,3.1,0.0,0.0,0.0,3.5,21.5
53,Ed Kalafat,SF,23.0,MNL,72.0,0.0,1639.0,4.3,11.9,0.359,0.0,0.0,0.0,4.3,11.9,0.359,4.1,5.5,0.738,0.0,0.0,9.7,2.9,0.0,0.0,0.0,5.2,12.6
54,Billy Kenville,PG,25.0,SYR,72.0,0.0,1278.0,4.8,12.6,0.379,0.0,0.0,0.0,4.8,12.6,0.379,5.5,7.2,0.759,0.0,0.0,6.1,4.5,0.0,0.0,0.0,3.7,15.1
55,Red Kerr,C,23.0,SYR,72.0,0.0,2114.0,6.4,15.9,0.403,0.0,0.0,0.0,6.4,15.9,0.403,3.5,5.4,0.655,0.0,0.0,10.3,1.4,0.0,0.0,0.0,2.9,16.4
56,George King,PG,27.0,SYR,72.0,0.0,2343.0,4.4,11.7,0.372,0.0,0.0,0.0,4.4,11.7,0.372,2.7,4.2,0.64,0.0,0.0,3.8,6.3,0.0,0.0,0.0,2.3,11.4
57,Earl Lloyd*,SF,27.0,SYR,72.0,0.0,1837.0,4.2,12.5,0.335,0.0,0.0,0.0,4.2,12.5,0.335,3.6,4.7,0.772,0.0,0.0,9.6,2.3,0.0,0.0,0.0,5.2,12.0
58,Jim Loscutoff,SF,25.0,BOS,71.0,0.0,1582.0,5.1,14.3,0.36,0.0,0.0,0.0,5.1,14.3,0.36,3.2,4.7,0.671,0.0,0.0,14.2,1.5,0.0,0.0,0.0,4.8,13.4
59,Clyde Lovellette*,C,26.0,MNL,71.0,0.0,2518.0,8.5,19.6,0.434,0.0,0.0,0.0,8.5,19.6,0.434,4.8,6.7,0.721,0.0,0.0,14.2,2.3,0.0,0.0,0.0,3.5,21.8
60,Ed Macauley*,C,27.0,BOS,71.0,0.0,2354.0,6.4,15.2,0.422,0.0,0.0,0.0,6.4,15.2,0.422,6.1,7.7,0.794,0.0,0.0,6.5,3.2,0.0,0.0,0.0,2.4,19.0
61,Slater Martin*,PG,30.0,MNL,72.0,0.0,2838.0,3.9,10.9,0.358,0.0,0.0,0.0,3.9,10.9,0.358,4.2,5.0,0.833,0.0,0.0,3.3,5.6,0.0,0.0,0.0,2.6,12.0
62,Dick McGuire*,PG,30.0,NYK,62.0,0.0,1685.0,3.2,9.4,0.347,0.0,0.0,0.0,3.2,9.4,0.347,2.6,4.1,0.627,0.0,0.0,4.7,7.7,0.0,0.0,0.0,3.1,9.1
63,Jack McMahon,PG,27.0,TOT,70.0,0.0,1713.0,4.2,12.9,0.328,0.0,0.0,0.0,4.2,12.9,0.328,2.3,3.9,0.595,0.0,0.0,3.8,4.7,0.0,0.0,0.0,3.6,10.8
64,Jack McMahon,G,27.0,ROC,34.0,0.0,856.0,4.2,12.9,0.326,0.0,0.0,0.0,4.2,12.9,0.326,2.3,3.8,0.611,0.0,0.0,3.6,4.8,0.0,0.0,0.0,3.6,10.7
65,Jack McMahon,PG,27.0,STL,36.0,0.0,857.0,4.3,12.9,0.331,0.0,0.0,0.0,4.3,12.9,0.331,2.3,4.0,0.579,0.0,0.0,4.0,4.5,0.0,0.0,0.0,3.6,10.9
66,Monk Meineke,PF,25.0,ROC,69.0,0.0,1248.0,4.4,11.9,0.372,0.0,0.0,0.0,4.4,11.9,0.372,5.2,6.7,0.78,0.0,0.0,9.1,2.9,0.0,0.0,0.0,5.5,14.1
67,Chuck Mencel,PG,22.0,MNL,69.0,0.0,973.0,4.4,13.9,0.32,0.0,0.0,0.0,4.4,13.9,0.32,2.9,3.6,0.813,0.0,0.0,4.1,4.9,0.0,0.0,0.0,2.7,11.8
68,George Mikan*,C,31.0,MNL,37.0,0.0,765.0,7.0,17.6,0.395,0.0,0.0,0.0,7.0,17.6,0.395,4.4,5.7,0.77,0.0,0.0,14.5,2.5,0.0,0.0,0.0,7.2,18.4
69,Vern Mikkelsen*,PF,27.0,MNL,72.0,0.0,2100.0,5.4,14.1,0.386,0.0,0.0,0.0,5.4,14.1,0.386,5.6,7.0,0.804,0.0,0.0,10.4,3.0,0.0,0.0,0.0,5.5,16.5
70,Jackie Moore,SF,23.0,PHW,54.0,0.0,402.0,4.5,11.6,0.388,0.0,0.0,0.0,4.5,11.6,0.388,2.9,4.7,0.604,0.0,0.0,10.5,2.3,0.0,0.0,0.0,7.2,11.8
71,Red Morrison,C,23.0,BOS,71.0,0.0,910.0,3.5,9.5,0.371,0.0,0.0,0.0,3.5,9.5,0.371,1.7,3.5,0.494,0.0,0.0,13.6,2.1,0.0,0.0,0.0,6.3,8.8
72,Jack Nichols,PF,29.0,BOS,60.0,0.0,1964.0,6.0,14.6,0.413,0.0,0.0,0.0,6.0,14.6,0.413,3.7,4.6,0.791,0.0,0.0,11.5,2.9,0.0,0.0,0.0,4.2,15.8
73,Chuck Noble,SG,24.0,FTW,72.0,0.0,2013.0,4.8,13.7,0.352,0.0,0.0,0.0,4.8,13.7,0.352,2.6,3.5,0.749,0.0,0.0,4.7,5.0,0.0,0.0,0.0,4.5,12.3
75,Togo Palazzi,SF,23.0,BOS,63.0,0.0,703.0,7.4,19.1,0.389,0.0,0.0,0.0,7.4,19.1,0.389,4.4,6.3,0.685,0.0,0.0,9.3,2.2,0.0,0.0,0.0,4.5,19.2
76,Med Park,SF,22.0,STL,40.0,0.0,424.0,4.5,12.9,0.349,0.0,0.0,0.0,4.5,12.9,0.349,3.7,5.9,0.629,0.0,0.0,8.0,3.4,0.0,0.0,0.0,5.4,12.7
77,Bob Peterson,SF,24.0,NYK,58.0,0.0,779.0,5.6,14.0,0.399,0.0,0.0,0.0,5.6,14.0,0.399,3.1,4.8,0.654,0.0,0.0,10.3,2.0,0.0,0.0,0.0,5.7,14.3
78,Bob Pettit*,C,23.0,STL,72.0,0.0,2794.0,8.3,19.4,0.429,0.0,0.0,0.0,8.3,19.4,0.429,7.2,9.8,0.736,0.0,0.0,15.0,2.4,0.0,0.0,0.0,2.6,23.8
