,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New Jersey Nets,52.0,30.0,0.634,—,96.2,92.0,3.67
1,Boston Celtics,49.0,33.0,0.598,3.0,96.4,94.1,1.75
2,Orlando Magic,44.0,38.0,0.537,8.0,100.5,98.9,1.25
3,Philadelphia 76ers,43.0,39.0,0.524,9.0,91.0,89.4,1.27
4,Washington Wizards,37.0,45.0,0.451,15.0,92.8,94.2,-1.58
5,Miami Heat,36.0,46.0,0.439,16.0,87.2,88.7,-1.84
6,New York Knicks,30.0,52.0,0.366,22.0,91.6,95.6,-4.15
7,Detroit Pistons,50.0,32.0,0.61,—,94.3,92.2,1.69
8,Charlotte Hornets,44.0,38.0,0.537,6.0,93.9,92.9,0.57
9,Toronto Raptors,42.0,40.0,0.512,8.0,91.4,91.8,-0.71
10,Indiana Pacers,42.0,40.0,0.512,8.0,96.8,96.5,-0.07
11,Milwaukee Bucks,41.0,41.0,0.5,9.0,97.5,97.7,-0.62
12,Atlanta Hawks,33.0,49.0,0.402,17.0,94.0,98.3,-4.41
13,Cleveland Cavaliers,29.0,53.0,0.354,21.0,95.3,98.6,-3.52
14,Chicago Bulls,21.0,61.0,0.256,29.0,89.5,98.0,-8.52
15,San Antonio Spurs,58.0,24.0,0.707,—,96.7,90.5,6.28
16,Dallas Mavericks,57.0,25.0,0.695,1.0,105.2,101.0,4.41
17,Minnesota Timberwolves,50.0,32.0,0.61,8.0,99.3,96.0,3.58
18,Utah Jazz,44.0,38.0,0.537,14.0,96.0,95.1,1.21
19,Houston Rockets,28.0,54.0,0.341,30.0,92.3,97.2,-4.31
20,Denver Nuggets,27.0,55.0,0.329,31.0,92.2,98.0,-5.19
21,Memphis Grizzlies,23.0,59.0,0.28,35.0,89.9,97.3,-6.74
22,Sacramento Kings,61.0,21.0,0.744,—,104.6,97.0,7.61
23,Los Angeles Lakers,58.0,24.0,0.707,3.0,101.3,94.1,7.15
24,Portland Trail Blazers,49.0,33.0,0.598,12.0,96.6,93.7,3.21
25,Seattle SuperSonics,45.0,37.0,0.549,16.0,97.7,94.7,3.24
26,Los Angeles Clippers,39.0,43.0,0.476,22.0,95.7,96.1,-0.09
27,Phoenix Suns,36.0,46.0,0.439,25.0,95.1,95.8,-0.3
28,Golden State Warriors,21.0,61.0,0.256,40.0,97.7,103.1,-4.8
