,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Kareem Abdul-Jabbar*,C,35.0,LAL,79.0,2554.0,23.6,0.619,0.002,0.302,7.6,17.6,12.8,10.8,1.1,3.5,12.6,24.6,0.0,8.0,2.9,10.9,0.205,4.0,0.5,4.5,4.2
1,Alvan Adams,C,28.0,PHO,80.0,2447.0,16.8,0.527,0.003,0.221,7.6,16.7,12.4,21.8,2.2,1.7,18.4,22.0,0.0,2.0,4.5,6.5,0.128,0.8,1.7,2.5,2.8
2,Mark Aguirre,SF,23.0,DAL,81.0,2784.0,20.5,0.535,0.048,0.371,7.3,12.5,9.8,18.2,1.3,0.5,12.4,30.0,0.0,5.9,1.0,6.9,0.118,3.6,-1.9,1.7,2.6
3,Danny Ainge,SG,23.0,BOS,80.0,2048.0,13.2,0.519,0.04,0.135,4.4,6.8,5.6,16.1,2.5,0.2,11.4,16.5,0.0,2.8,2.4,5.2,0.121,-1.0,1.2,0.2,1.2
4,Dwight Anderson,PG,22.0,DEN,5.0,33.0,10.6,0.571,0.0,0.714,0.0,6.1,3.1,11.5,1.3,0.0,21.4,26.2,0.0,0.0,0.0,0.0,0.001,-4.3,-0.5,-4.8,0.0
5,J.J. Anderson,SF,22.0,TOT,65.0,1202.0,13.7,0.526,0.011,0.462,10.4,14.4,12.5,7.6,2.3,0.9,14.8,17.4,0.0,0.9,1.4,2.3,0.094,-1.0,0.0,-0.9,0.3
6,J.J. Anderson,SF,22.0,PHI,13.0,48.0,3.9,0.364,0.045,0.136,9.2,16.9,13.2,2.8,1.0,0.0,17.7,23.4,0.0,-0.1,0.1,-0.1,-0.082,-5.1,-0.8,-5.9,-0.1
7,J.J. Anderson,SF,22.0,UTA,52.0,1154.0,14.2,0.535,0.008,0.482,10.5,14.3,12.5,7.8,2.4,0.9,14.6,17.2,0.0,1.0,1.4,2.4,0.101,-0.8,0.1,-0.7,0.4
8,Richard Anderson,C,22.0,SDC,78.0,1274.0,10.4,0.437,0.044,0.16,9.2,15.6,12.2,12.1,2.1,1.2,16.8,16.9,0.0,-0.3,0.8,0.5,0.017,-2.1,-0.5,-2.6,-0.2
9,Tiny Archibald*,PG,34.0,BOS,66.0,1811.0,12.3,0.509,0.043,0.535,1.5,3.9,2.7,28.0,1.0,0.1,19.3,18.3,0.0,1.7,1.2,2.9,0.077,0.0,-2.0,-2.0,0.0
10,John Bagley,PG,22.0,CLE,68.0,990.0,11.7,0.471,0.038,0.225,1.9,9.3,5.5,25.5,2.7,0.3,22.4,22.4,0.0,-1.1,0.8,-0.2,-0.011,-2.3,-0.4,-2.7,-0.2
11,James Bailey,PF,25.0,TOT,75.0,1765.0,15.6,0.544,0.001,0.416,9.8,19.6,14.4,6.0,1.1,1.9,17.6,25.2,0.0,0.6,1.4,2.0,0.055,-1.4,-1.2,-2.6,-0.3
12,James Bailey,PF,25.0,NJN,6.0,50.0,5.0,0.53,0.0,0.111,6.9,6.7,6.8,5.6,0.9,1.2,24.1,19.6,0.0,0.0,0.1,0.0,0.018,-4.9,-0.1,-5.0,-0.1
13,James Bailey,PF,25.0,HOU,69.0,1715.0,16.0,0.544,0.001,0.423,9.9,20.0,14.6,6.0,1.2,1.9,17.5,25.3,0.0,0.6,1.4,2.0,0.056,-1.3,-1.2,-2.6,-0.2
14,Greg Ballard,SF,28.0,WSB,78.0,2840.0,16.8,0.509,0.029,0.183,4.7,15.2,9.9,14.8,2.3,0.5,10.2,22.4,0.0,2.8,5.1,7.9,0.133,0.8,1.7,2.5,3.2
15,Gene Banks,PF,23.0,SAS,81.0,2722.0,16.7,0.579,0.005,0.303,9.2,15.1,12.3,13.7,1.3,0.4,14.1,17.7,0.0,5.9,2.0,7.9,0.14,2.2,-0.5,1.7,2.5
16,Billy Ray Bates,SG,26.0,TOT,19.0,304.0,8.4,0.398,0.034,0.152,4.0,2.9,3.5,7.2,2.2,0.6,7.2,22.6,0.0,-0.4,0.4,0.0,-0.005,-3.2,0.3,-2.9,-0.2
17,Billy Ray Bates,SG,26.0,WSB,15.0,277.0,9.9,0.428,0.039,0.155,4.0,3.2,3.6,7.9,2.3,0.6,8.0,22.4,0.0,-0.2,0.4,0.1,0.023,-2.9,0.4,-2.5,0.0
18,Billy Ray Bates,SG,26.0,LAL,4.0,27.0,-7.3,0.148,0.0,0.125,4.3,0.0,2.1,0.0,1.7,0.0,0.0,24.7,0.0,-0.2,0.0,-0.2,-0.287,-5.6,-1.2,-6.8,-0.1
19,Dave Batton,C,26.0,WSB,54.0,558.0,10.4,0.448,0.016,0.089,8.8,14.8,11.8,7.6,1.3,1.3,12.4,16.8,0.0,-0.2,0.9,0.7,0.062,-2.5,0.7,-1.8,0.0
20,Kent Benson,C,28.0,DET,21.0,599.0,13.2,0.51,0.005,0.275,9.0,18.1,13.5,10.6,1.1,1.5,14.6,15.4,0.0,0.6,0.6,1.1,0.092,-0.5,-0.1,-0.6,0.2
