,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
512,Josh Richardson,SG,26.0,PHI,47.0,45.0,1445.0,244.0,568.0,0.43,69.0,212.0,0.325,175.0,356.0,0.492,0.49,98.0,124.0,0.79,37.0,124.0,161.0,147.0,45.0,32.0,91.0,118.0,655.0
513,Austin Rivers,SG,27.0,HOU,57.0,4.0,1324.0,174.0,413.0,0.421,77.0,222.0,0.347,97.0,191.0,0.508,0.515,59.0,84.0,0.702,23.0,112.0,135.0,91.0,39.0,9.0,32.0,102.0,484.0
514,Duncan Robinson,SF,25.0,MIA,62.0,57.0,1836.0,267.0,574.0,0.465,225.0,505.0,0.446,42.0,69.0,0.609,0.661,45.0,50.0,0.9,9.0,187.0,196.0,83.0,32.0,13.0,53.0,172.0,804.0
515,Glenn Robinson,SF,26.0,TOT,58.0,52.0,1699.0,276.0,570.0,0.484,72.0,188.0,0.383,204.0,382.0,0.534,0.547,67.0,78.0,0.859,76.0,175.0,251.0,93.0,52.0,15.0,53.0,93.0,691.0
516,Glenn Robinson,SF,26.0,GSW,48.0,48.0,1516.0,244.0,507.0,0.481,68.0,170.0,0.4,176.0,337.0,0.522,0.548,63.0,74.0,0.851,66.0,160.0,226.0,85.0,45.0,14.0,50.0,82.0,619.0
517,Glenn Robinson,SF,26.0,PHI,10.0,4.0,183.0,32.0,63.0,0.508,4.0,18.0,0.222,28.0,45.0,0.622,0.54,4.0,4.0,1.0,10.0,15.0,25.0,8.0,7.0,1.0,3.0,11.0,72.0
518,Jerome Robinson,SG,22.0,TOT,53.0,2.0,698.0,71.0,205.0,0.346,29.0,97.0,0.299,42.0,108.0,0.389,0.417,16.0,25.0,0.64,8.0,91.0,99.0,59.0,19.0,13.0,32.0,79.0,187.0
519,Jerome Robinson,SG,22.0,LAC,42.0,1.0,476.0,46.0,136.0,0.338,19.0,67.0,0.284,27.0,69.0,0.391,0.408,11.0,19.0,0.579,5.0,55.0,60.0,46.0,13.0,8.0,26.0,55.0,122.0
520,Jerome Robinson,SG,22.0,WAS,11.0,1.0,222.0,25.0,69.0,0.362,10.0,30.0,0.333,15.0,39.0,0.385,0.435,5.0,6.0,0.833,3.0,36.0,39.0,13.0,6.0,5.0,6.0,24.0,65.0
521,Justin Robinson,PG,22.0,WAS,9.0,0.0,49.0,5.0,12.0,0.417,3.0,5.0,0.6,2.0,7.0,0.286,0.542,0.0,0.0,0.0,1.0,4.0,5.0,7.0,0.0,1.0,3.0,2.0,13.0
522,Mitchell Robinson,C,21.0,NYK,57.0,7.0,1312.0,232.0,318.0,0.73,0.0,0.0,0.0,232.0,318.0,0.73,0.73,75.0,133.0,0.564,174.0,230.0,404.0,36.0,50.0,111.0,36.0,184.0,539.0
523,Isaiah Roby,SF,21.0,OKC,3.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
524,Rajon Rondo,PG,33.0,LAL,45.0,3.0,934.0,132.0,311.0,0.424,40.0,119.0,0.336,92.0,192.0,0.479,0.489,26.0,39.0,0.667,22.0,115.0,137.0,227.0,40.0,2.0,87.0,54.0,330.0
525,Derrick Rose,PG,31.0,DET,50.0,15.0,1298.0,369.0,753.0,0.49,45.0,147.0,0.306,324.0,606.0,0.535,0.52,121.0,139.0,0.871,27.0,94.0,121.0,278.0,40.0,16.0,126.0,49.0,904.0
526,Terrence Ross,SG,28.0,ORL,60.0,0.0,1629.0,296.0,738.0,0.401,151.0,432.0,0.35,145.0,306.0,0.474,0.503,131.0,156.0,0.84,13.0,181.0,194.0,69.0,65.0,19.0,57.0,86.0,874.0
528,Terry Rozier,PG,25.0,CHO,61.0,61.0,2083.0,375.0,900.0,0.417,158.0,401.0,0.394,217.0,499.0,0.435,0.504,162.0,184.0,0.88,48.0,221.0,269.0,250.0,59.0,10.0,137.0,124.0,1070.0
529,Ricky Rubio,PG,29.0,PHO,54.0,54.0,1695.0,235.0,575.0,0.409,60.0,175.0,0.343,175.0,400.0,0.438,0.461,155.0,185.0,0.838,40.0,202.0,242.0,475.0,83.0,9.0,148.0,134.0,685.0
530,D'Angelo Russell,PG,23.0,TOT,42.0,42.0,1359.0,344.0,799.0,0.431,153.0,408.0,0.375,191.0,391.0,0.488,0.526,146.0,181.0,0.807,16.0,144.0,160.0,272.0,43.0,12.0,136.0,81.0,987.0
531,D'Angelo Russell,PG,23.0,GSW,33.0,33.0,1060.0,273.0,635.0,0.43,120.0,321.0,0.374,153.0,314.0,0.487,0.524,113.0,144.0,0.785,14.0,108.0,122.0,206.0,31.0,9.0,101.0,64.0,779.0
532,D'Angelo Russell,PG,23.0,MIN,9.0,9.0,299.0,71.0,164.0,0.433,33.0,87.0,0.379,38.0,77.0,0.494,0.534,33.0,37.0,0.892,2.0,36.0,38.0,66.0,12.0,3.0,35.0,17.0,208.0
533,Domantas Sabonis,C,23.0,IND,59.0,59.0,2040.0,427.0,798.0,0.535,15.0,63.0,0.238,412.0,735.0,0.561,0.544,206.0,284.0,0.725,179.0,554.0,733.0,293.0,44.0,30.0,159.0,191.0,1075.0
534,JaKarr Sampson,SF,26.0,IND,23.0,10.0,297.0,41.0,70.0,0.586,2.0,12.0,0.167,39.0,58.0,0.672,0.6,6.0,12.0,0.5,13.0,36.0,49.0,5.0,8.0,9.0,6.0,39.0,90.0
