,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Milwaukee Bucks,60.0,22.0,0.732,—,118.1,109.3,8.04
1,Toronto Raptors,58.0,24.0,0.707,2.0,114.4,108.4,5.49
2,Philadelphia 76ers,51.0,31.0,0.622,9.0,115.2,112.5,2.25
3,Boston Celtics,49.0,33.0,0.598,11.0,112.4,108.0,3.9
4,Indiana Pacers,48.0,34.0,0.585,12.0,108.0,104.7,2.76
5,Brooklyn Nets,42.0,40.0,0.512,18.0,112.2,112.3,-0.4
6,Orlando Magic,42.0,40.0,0.512,18.0,107.3,106.6,0.28
7,Detroit Pistons,41.0,41.0,0.5,19.0,107.0,107.3,-0.56
8,Charlotte Hornets,39.0,43.0,0.476,21.0,110.7,111.8,-1.32
9,Miami Heat,39.0,43.0,0.476,21.0,105.7,105.9,-0.45
10,Washington Wizards,32.0,50.0,0.39,28.0,114.0,116.9,-3.3
11,Atlanta Hawks,29.0,53.0,0.354,31.0,113.3,119.4,-6.06
12,Chicago Bulls,22.0,60.0,0.268,38.0,104.9,113.4,-8.32
13,Cleveland Cavaliers,19.0,63.0,0.232,41.0,104.5,114.1,-9.39
14,New York Knicks,17.0,65.0,0.207,43.0,104.6,113.8,-8.93
15,Golden State Warriors,57.0,25.0,0.695,—,117.7,111.2,6.42
16,Denver Nuggets,54.0,28.0,0.659,3.0,110.7,106.7,4.19
17,Portland Trail Blazers,53.0,29.0,0.646,4.0,114.7,110.5,4.43
18,Houston Rockets,53.0,29.0,0.646,4.0,113.9,109.1,4.96
19,Utah Jazz,50.0,32.0,0.61,7.0,111.7,106.5,5.28
20,Oklahoma City Thunder,49.0,33.0,0.598,8.0,114.5,111.1,3.56
21,San Antonio Spurs,48.0,34.0,0.585,9.0,111.7,110.0,1.8
22,Los Angeles Clippers,48.0,34.0,0.585,9.0,115.1,114.3,1.09
23,Sacramento Kings,39.0,43.0,0.476,18.0,114.2,115.3,-0.81
24,Los Angeles Lakers,37.0,45.0,0.451,20.0,111.8,113.5,-1.33
25,Minnesota Timberwolves,36.0,46.0,0.439,21.0,112.5,114.0,-1.02
26,Memphis Grizzlies,33.0,49.0,0.402,24.0,103.5,106.1,-2.08
27,New Orleans Pelicans,33.0,49.0,0.402,24.0,115.4,116.8,-1.1
28,Dallas Mavericks,33.0,49.0,0.402,24.0,108.9,110.1,-0.87
29,Phoenix Suns,19.0,63.0,0.232,38.0,107.5,116.8,-8.61
