,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Shareef Abdur-Rahim,C,30.0,SAC,80.0,2015.0,13.1,0.524,0.031,0.358,7.0,16.4,11.6,9.2,1.3,1.5,13.3,19.5,0.0,1.1,1.7,2.8,0.067,-2.0,-0.5,-2.5,-0.2
1,Hassan Adams,SG,22.0,NJN,61.0,495.0,13.0,0.577,0.007,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.0,0.5,0.5,1.0,0.095,-1.3,-0.2,-1.5,0.1
2,Maurice Ager,SG,22.0,DAL,32.0,214.0,2.9,0.408,0.214,0.471,0.6,11.0,5.9,5.0,1.0,1.1,15.1,21.7,0.0,-0.5,0.2,-0.3,-0.06,-7.4,-1.3,-8.7,-0.4
3,LaMarcus Aldridge,C,21.0,POR,63.0,1392.0,17.1,0.533,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,0.0,2.5,1.0,3.4,0.118,-0.4,-1.0,-1.4,0.2
4,Malik Allen,PF,28.0,CHI,60.0,638.0,10.4,0.443,0.004,0.132,7.6,13.7,10.6,4.2,1.4,2.0,7.1,20.5,0.0,-0.2,1.1,1.0,0.073,-3.9,0.5,-3.4,-0.2
5,Ray Allen*,SG,31.0,SEA,55.0,2219.0,21.6,0.564,0.384,0.268,3.1,10.4,6.7,19.0,1.9,0.4,10.7,29.5,0.0,5.4,0.9,6.3,0.136,5.0,-1.3,3.7,3.2
6,Tony Allen,SG,25.0,BOS,33.0,805.0,17.0,0.596,0.127,0.517,5.1,13.6,9.2,12.5,3.2,1.2,19.1,22.1,0.0,0.8,1.1,1.9,0.111,-0.2,1.2,1.0,0.6
7,Rafer Alston,PG,30.0,HOU,82.0,3040.0,12.9,0.496,0.519,0.174,1.1,9.5,5.3,24.1,2.2,0.3,13.4,19.4,0.0,1.7,4.9,6.6,0.104,-0.7,1.3,0.6,2.0
8,Lou Amundson,PF,24.0,TOT,11.0,89.0,9.6,0.412,0.0,0.667,17.6,20.2,18.9,1.7,0.6,6.9,20.5,12.7,0.0,-0.1,0.1,0.1,0.039,-4.6,-0.3,-4.8,-0.1
9,Lou Amundson,PF,24.0,UTA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,-4.1,-3.1,-7.3,0.0
10,Lou Amundson,PF,24.0,PHI,10.0,87.0,9.8,0.412,0.0,0.667,18.0,20.6,19.3,1.7,0.6,7.1,20.5,13.0,0.0,-0.1,0.1,0.1,0.04,-4.6,-0.2,-4.8,-0.1
11,Alan Anderson,SG,24.0,CHA,17.0,256.0,10.1,0.538,0.247,0.284,4.9,10.0,7.4,13.8,1.4,0.0,19.4,20.1,0.0,0.0,0.1,0.1,0.024,-3.4,-1.1,-4.5,-0.2
