,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar*,C,37.0,LAL,79.0,79.0,2630.0,9.9,16.5,0.599,0.0,0.0,0.0,9.9,16.5,0.6,4.0,5.4,0.732,2.2,6.3,8.5,3.4,0.9,2.2,2.7,3.3,23.7
1,Alvan Adams,PF,30.0,PHO,82.0,69.0,2136.0,8.0,15.4,0.52,0.0,0.0,0.0,8.0,15.4,0.52,4.2,4.8,0.883,2.6,5.8,8.4,5.2,1.9,0.8,3.3,4.3,20.3
2,Mark Aguirre,SF,25.0,DAL,80.0,79.0,2699.0,10.6,20.9,0.506,0.4,1.1,0.318,10.2,19.8,0.517,5.9,7.7,0.759,2.5,3.9,6.4,3.3,0.8,0.3,3.4,3.3,27.4
3,Danny Ainge,SG,25.0,BOS,75.0,73.0,2564.0,5.9,11.1,0.529,0.2,0.8,0.268,5.7,10.3,0.549,1.7,1.9,0.868,1.1,2.7,3.8,5.6,1.7,0.1,2.1,3.2,13.6
4,Chuck Aleksinas,C,25.0,GSW,74.0,4.0,1114.0,5.2,10.9,0.478,0.0,0.0,0.0,5.2,10.9,0.479,1.8,2.4,0.733,2.8,5.9,8.7,1.2,0.5,0.5,2.3,5.5,12.2
5,J.J. Anderson,SF,24.0,UTA,44.0,0.0,457.0,4.8,11.7,0.409,0.0,0.2,0.0,4.8,11.6,0.415,2.1,3.5,0.6,2.3,4.2,6.5,1.7,2.3,0.7,2.5,5.5,11.7
6,Ron Anderson,SF,26.0,CLE,36.0,7.0,520.0,5.8,13.5,0.431,0.1,0.1,0.5,5.7,13.4,0.43,2.8,3.5,0.82,2.7,3.4,6.1,2.4,0.6,0.5,2.4,2.8,14.5
7,John Bagley,PG,24.0,CLE,81.0,65.0,2401.0,5.1,10.4,0.488,0.0,0.4,0.115,5.0,10.0,0.502,1.9,2.5,0.749,0.8,3.6,4.4,10.5,1.9,0.1,3.1,2.0,12.1
8,James Bailey,PF,27.0,NYK,74.0,28.0,1297.0,4.3,9.7,0.447,0.0,0.0,0.0,4.3,9.7,0.448,2.0,3.0,0.676,3.4,6.2,9.5,1.1,0.8,1.4,2.8,7.9,10.7
9,Thurl Bailey,PF,23.0,UTA,80.0,68.0,2481.0,7.4,15.0,0.49,0.0,0.0,1.0,7.3,15.0,0.49,2.9,3.4,0.842,2.2,5.4,7.6,2.0,0.7,1.5,2.2,3.1,17.6
10,Greg Ballard,SF,30.0,WSB,82.0,77.0,2664.0,6.3,13.2,0.48,0.2,0.6,0.304,6.1,12.6,0.488,1.6,2.0,0.795,2.0,5.1,7.2,2.8,1.4,0.4,1.4,3.0,14.5
11,Gene Banks,SF,25.0,SAS,82.0,41.0,2091.0,5.0,8.5,0.586,0.0,0.1,0.333,5.0,8.4,0.588,3.4,4.4,0.774,2.3,5.4,7.7,4.0,1.1,0.2,2.4,3.8,13.4
12,Ken Bannister,PF,24.0,NYK,75.0,50.0,1404.0,5.4,11.4,0.47,0.0,0.0,0.0,5.4,11.4,0.47,2.3,4.9,0.474,2.8,5.7,8.5,1.0,1.0,1.0,3.6,7.2,13.1
13,Charles Barkley*,PF,21.0,PHI,82.0,60.0,2347.0,6.5,12.0,0.545,0.0,0.1,0.167,6.5,11.9,0.548,4.5,6.1,0.733,4.1,6.7,10.8,2.4,1.5,1.2,3.2,4.6,17.6
14,Kent Benson,C,30.0,DET,72.0,35.0,1401.0,5.2,10.2,0.506,0.0,0.1,0.0,5.2,10.1,0.51,2.0,2.4,0.809,2.6,5.7,8.3,2.4,1.4,1.1,1.7,5.3,12.3
15,Larry Bird*,SF,28.0,BOS,80.0,77.0,3161.0,10.5,20.0,0.522,0.6,1.5,0.427,9.8,18.6,0.529,4.6,5.2,0.882,1.9,7.7,9.6,6.0,1.5,1.1,2.8,2.4,26.1
16,Otis Birdsong,SG,29.0,NJN,56.0,45.0,1842.0,9.7,18.9,0.511,0.1,0.4,0.19,9.6,18.5,0.518,3.1,5.1,0.622,1.2,1.7,2.9,4.5,1.6,0.1,2.3,2.8,22.6
17,Rolando Blackman,SG,25.0,DAL,81.0,80.0,2834.0,7.9,15.6,0.508,0.1,0.3,0.3,7.9,15.4,0.512,4.3,5.2,0.828,1.4,2.5,3.8,3.7,0.8,0.2,2.1,1.2,20.3
18,Cory Blackwell,SF,21.0,SEA,60.0,0.0,551.0,5.7,15.5,0.367,0.0,0.1,0.0,5.7,15.4,0.37,1.8,3.6,0.509,2.7,3.5,6.3,1.7,1.6,0.2,2.9,3.6,13.2
19,Sam Bowie,C,23.0,POR,76.0,62.0,2216.0,4.9,9.0,0.537,0.0,0.0,0.0,4.9,9.0,0.537,2.6,3.7,0.711,3.4,7.3,10.7,3.5,0.9,3.3,2.8,4.5,12.3
21,Dudley Bradley,SG,27.0,WSB,73.0,24.0,1232.0,4.1,8.7,0.475,0.6,1.9,0.313,3.6,6.9,0.519,1.6,2.3,0.684,1.0,2.9,3.9,5.1,2.8,0.6,2.5,4.4,10.5
22,Mike Bratz,PG,29.0,GSW,56.0,6.0,746.0,5.1,12.1,0.424,0.3,1.3,0.231,4.8,10.8,0.446,3.3,4.0,0.841,0.5,2.3,2.8,5.9,2.3,0.2,2.6,3.7,13.8
23,Randy Breuer,C,24.0,MIL,78.0,0.0,1083.0,5.4,10.5,0.511,0.0,0.0,0.0,5.4,10.5,0.511,3.0,4.2,0.701,3.1,5.5,8.5,1.3,0.7,2.7,2.1,6.0,13.7
24,Ron Brewer,SG,29.0,TOT,20.0,0.0,326.0,6.8,13.0,0.525,0.0,0.2,0.0,6.8,12.8,0.534,2.5,2.8,0.92,1.0,1.3,2.3,1.9,0.7,0.7,1.0,2.5,16.2
25,Ron Brewer,SG,29.0,SAS,9.0,0.0,81.0,5.8,15.1,0.382,0.0,0.0,0.0,5.8,15.1,0.382,3.1,3.1,1.0,0.4,0.9,1.3,2.7,0.4,0.4,1.8,3.6,14.7
26,Ron Brewer,SG,29.0,NJN,11.0,0.0,245.0,7.2,12.3,0.583,0.0,0.3,0.0,7.2,12.0,0.598,2.4,2.6,0.889,1.2,1.5,2.6,1.6,0.7,0.7,0.7,2.2,16.8
27,Frank Brickowski,C,25.0,SEA,78.0,9.0,1115.0,4.8,9.8,0.492,0.0,0.1,0.0,4.8,9.7,0.498,2.7,4.1,0.669,2.5,5.9,8.4,3.2,1.1,0.5,3.2,5.5,12.4
28,Junior Bridgeman,SF,31.0,LAC,80.0,15.0,2042.0,8.1,17.5,0.465,0.2,0.7,0.359,7.9,16.8,0.469,3.2,3.6,0.879,1.0,3.1,4.1,3.0,0.8,0.3,2.0,2.3,19.7
29,Rickey Brown,C,26.0,ATL,69.0,5.0,814.0,3.4,8.5,0.406,0.0,0.0,0.0,3.4,8.5,0.406,1.7,3.0,0.574,3.4,6.5,9.9,1.1,0.8,1.0,2.3,5.2,8.6
30,Tony Brown,SF,24.0,IND,82.0,26.0,1586.0,4.9,10.6,0.46,0.0,0.1,0.0,4.9,10.4,0.466,2.6,3.9,0.678,3.3,3.2,6.5,3.6,1.3,0.3,2.6,4.8,12.3
31,Wallace Bryant,C,25.0,DAL,56.0,35.0,860.0,2.8,6.2,0.453,0.0,0.0,0.0,2.8,6.2,0.453,1.3,1.8,0.682,3.1,7.0,10.1,3.5,0.9,1.0,1.9,4.6,6.9
32,Quinn Buckner,PG,30.0,BOS,75.0,6.0,858.0,3.1,8.1,0.383,0.0,0.0,0.0,3.1,8.1,0.385,1.3,2.1,0.64,1.1,2.6,3.7,6.2,2.6,0.1,2.8,6.0,7.6
33,Steve Burtt,SG,22.0,GSW,47.0,0.0,418.0,6.2,16.2,0.383,0.0,0.1,0.0,6.2,16.1,0.385,4.6,6.6,0.688,0.9,1.6,2.4,1.7,1.8,0.3,2.8,6.5,17.0
34,Don Buse,PG,34.0,KCK,65.0,14.0,939.0,3.1,7.8,0.404,1.2,3.3,0.356,2.0,4.4,0.44,0.9,1.2,0.767,0.8,1.5,2.3,7.8,1.5,0.0,1.7,2.9,8.4
35,Michael Cage,PF,23.0,LAC,75.0,41.0,1610.0,4.8,8.9,0.543,0.0,0.0,0.0,4.8,8.9,0.543,2.3,3.1,0.737,2.8,5.9,8.8,1.1,0.9,0.7,1.8,3.7,11.9
36,Tony Campbell,SF,22.0,DET,56.0,0.0,625.0,7.5,15.1,0.496,0.0,0.1,0.0,7.5,15.0,0.498,3.2,4.0,0.8,2.4,2.8,5.1,1.4,1.6,0.2,4.0,6.2,18.2
37,Rick Carlisle,SG,25.0,BOS,38.0,0.0,179.0,5.2,13.5,0.388,0.0,0.4,0.0,5.2,13.1,0.4,3.0,3.4,0.882,1.6,2.6,4.2,5.0,0.6,0.0,3.8,4.2,13.5
