,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,54.0,28.0,0.659,—,106.2,103.9,2.25
1,Philadelphia 76ers,46.0,36.0,0.561,8.0,106.5,106.3,0.33
2,Buffalo Braves,46.0,36.0,0.561,8.0,107.3,106.4,0.85
3,New York Knicks,38.0,44.0,0.463,16.0,102.7,103.9,-1.05
4,Cleveland Cavaliers,49.0,33.0,0.598,—,101.7,99.2,2.34
5,Washington Bullets,48.0,34.0,0.585,1.0,102.8,100.4,2.2
6,Houston Rockets,40.0,42.0,0.488,9.0,106.2,107.0,-0.71
7,New Orleans Jazz,38.0,44.0,0.463,11.0,104.1,105.0,-0.74
8,Atlanta Hawks,29.0,53.0,0.354,20.0,102.6,105.5,-2.66
9,Milwaukee Bucks,38.0,44.0,0.463,—,101.8,103.3,-1.55
10,Detroit Pistons,36.0,46.0,0.439,2.0,104.9,106.0,-1.18
11,Kansas City Kings,31.0,51.0,0.378,7.0,103.3,106.2,-2.83
12,Chicago Bulls,24.0,58.0,0.293,14.0,95.9,98.8,-2.89
13,Golden State Warriors,59.0,23.0,0.72,—,109.8,103.1,6.23
14,Seattle SuperSonics,43.0,39.0,0.524,16.0,106.4,106.7,-0.15
15,Phoenix Suns,42.0,40.0,0.512,17.0,105.1,104.5,0.59
16,Los Angeles Lakers,40.0,42.0,0.488,19.0,106.9,106.8,0.18
17,Portland Trail Blazers,37.0,45.0,0.451,22.0,104.1,105.3,-1.11
