b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Oct 28, 1977",/boxscores/197710280NJN.html,Boston Celtics,109,New Jersey Nets,116,Box Score,,,
"Fri, Oct 28, 1977",/boxscores/197710280IND.html,Washington Bullets,127,Indiana Pacers,136,Box Score,,,
"Fri, Oct 28, 1977",/boxscores/197710280GSW.html,Buffalo Braves,97,Golden State Warriors,104,Box Score,,,
"Sat, Oct 29, 1977",/boxscores/197710290CHI.html,Seattle SuperSonics,97,Chicago Bulls,101,Box Score,,,
"Sat, Oct 29, 1977",/boxscores/197710290CLE.html,Boston Celtics,98,Cleveland Cavaliers,103,Box Score,,,
"Sat, Oct 29, 1977",/boxscores/197710290DEN.html,Buffalo Braves,111,Denver Nuggets,127,Box Score,,,
"Sat, Oct 29, 1977",/boxscores/197710290GSW.html,Philadelphia 76ers,110,Golden State Warriors,113,Box Score,,,
"Sat, Oct 29, 1977",/boxscores/197710290HOU.html,Phoenix Suns,112,Houston Rockets,125,Box Score,,,
"Sat, Oct 29, 1977",/boxscores/197710290KCK.html,Washington Bullets,106,Kansas City Kings,120,Box Score,,,
"Sat, Oct 29, 1977",/boxscores/197710290NYK.html,Detroit Pistons,117,New York Knicks,124,Box Score,,,
"Sat, Oct 29, 1977",/boxscores/197710290SAS.html,Los Angeles Lakers,118,San Antonio Spurs,129,Box Score,,,
"Sun, Oct 30, 1977",/boxscores/197710300MIL.html,Seattle SuperSonics,95,Milwaukee Bucks,108,Box Score,,,
"Mon, Oct 31, 1977",/boxscores/197710310PHO.html,San Antonio Spurs,145,Phoenix Suns,143,Box Score,,,
"Tue, Nov 1, 1977",/boxscores/197711010ATL.html,Seattle SuperSonics,99,Atlanta Hawks,102,Box Score,,,
"Tue, Nov 1, 1977",/boxscores/197711010CLE.html,Denver Nuggets,93,Cleveland Cavaliers,110,Box Score,,,
"Tue, Nov 1, 1977",/boxscores/197711010MIL.html,Kansas City Kings,95,Milwaukee Bucks,115,Box Score,,,
"Tue, Nov 1, 1977",/boxscores/197711010NOJ.html,Chicago Bulls,88,New Orleans Jazz,99,Box Score,,,
"Tue, Nov 1, 1977",/boxscores/197711010POR.html,New York Knicks,104,Portland Trail Blazers,113,Box Score,,,
"Tue, Nov 1, 1977",/boxscores/197711010SAS.html,Golden State Warriors,108,San Antonio Spurs,97,Box Score,,,
"Wed, Nov 2, 1977",/boxscores/197711020BOS.html,Cleveland Cavaliers,104,Boston Celtics,101,Box Score,,,
"Wed, Nov 2, 1977",/boxscores/197711020BUF.html,Denver Nuggets,100,Buffalo Braves,104,Box Score,,,
"Wed, Nov 2, 1977",/boxscores/197711020DET.html,Atlanta Hawks,102,Detroit Pistons,89,Box Score,,,
"Wed, Nov 2, 1977",/boxscores/197711020IND.html,Seattle SuperSonics,106,Indiana Pacers,104,Box Score,OT,,
"Wed, Nov 2, 1977",/boxscores/197711020KCK.html,New Orleans Jazz,102,Kansas City Kings,104,Box Score,,,
"Wed, Nov 2, 1977",/boxscores/197711020NJN.html,Los Angeles Lakers,107,New Jersey Nets,102,Box Score,,,
"Wed, Nov 2, 1977",/boxscores/197711020PHI.html,Chicago Bulls,103,Philadelphia 76ers,102,Box Score,,,
"Thu, Nov 3, 1977",/boxscores/197711030CLE.html,Milwaukee Bucks,91,Cleveland Cavaliers,100,Box Score,,,
"Thu, Nov 3, 1977",/boxscores/197711030HOU.html,Golden State Warriors,111,Houston Rockets,113,Box Score,OT,,
"Thu, Nov 3, 1977",/boxscores/197711030SAS.html,Phoenix Suns,110,San Antonio Spurs,89,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040BOS.html,Denver Nuggets,109,Boston Celtics,107,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040CHI.html,Buffalo Braves,100,Chicago Bulls,92,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040KCK.html,Atlanta Hawks,111,Kansas City Kings,110,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040LAL.html,Indiana Pacers,99,Los Angeles Lakers,111,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040MIL.html,Houston Rockets,108,Milwaukee Bucks,110,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040NJN.html,Philadelphia 76ers,107,New Jersey Nets,104,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040NOJ.html,Golden State Warriors,102,New Orleans Jazz,105,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040SEA.html,New York Knicks,95,Seattle SuperSonics,92,Box Score,,,
"Fri, Nov 4, 1977",/boxscores/197711040WSB.html,Phoenix Suns,96,Washington Bullets,113,Box Score,,,
"Sat, Nov 5, 1977",/boxscores/197711050ATL.html,Golden State Warriors,94,Atlanta Hawks,100,Box Score,,,
"Sat, Nov 5, 1977",/boxscores/197711050BUF.html,San Antonio Spurs,111,Buffalo Braves,101,Box Score,,,
"Sat, Nov 5, 1977",/boxscores/197711050CHI.html,Phoenix Suns,94,Chicago Bulls,111,Box Score,,,
"Sat, Nov 5, 1977",/boxscores/197711050CLE.html,New Jersey Nets,93,Cleveland Cavaliers,105,Box Score,,,
"Sat, Nov 5, 1977",/boxscores/197711050HOU.html,Washington Bullets,105,Houston Rockets,116,Box Score,,,
"Sat, Nov 5, 1977",/boxscores/197711050PHI.html,Denver Nuggets,101,Philadelphia 76ers,132,Box Score,,,
"Sat, Nov 5, 1977",/boxscores/197711050POR.html,Seattle SuperSonics,94,Portland Trail Blazers,116,Box Score,,,
"Sun, Nov 6, 1977",/boxscores/197711060LAL.html,New York Knicks,106,Los Angeles Lakers,102,Box Score,,,
"Sun, Nov 6, 1977",/boxscores/197711060NOJ.html,Washington Bullets,108,New Orleans Jazz,97,Box Score,,,
"Sun, Nov 6, 1977",/boxscores/197711060POR.html,Indiana Pacers,106,Portland Trail Blazers,108,Box Score,,,
"Sun, Nov 6, 1977",/boxscores/197711060SEA.html,Kansas City Kings,99,Seattle SuperSonics,83,Box Score,,,
"Tue, Nov 8, 1977",/boxscores/197711080CHI.html,Houston Rockets,104,Chicago Bulls,117,Box Score,,,
