b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Sun, Nov 3, 2013",/boxscores/201311030NYK.html,7:30p,Minnesota Timberwolves,109,New York Knicks,100,Box Score,,"19,812",
"Sun, Nov 3, 2013",/boxscores/201311030LAL.html,9:30p,Atlanta Hawks,103,Los Angeles Lakers,105,Box Score,,"18,997",
"Mon, Nov 4, 2013",/boxscores/201311040CLE.html,7:00p,Minnesota Timberwolves,92,Cleveland Cavaliers,93,Box Score,,"17,892",
"Mon, Nov 4, 2013",/boxscores/201311040PHI.html,7:00p,Golden State Warriors,110,Philadelphia 76ers,90,Box Score,,"11,089",
"Mon, Nov 4, 2013",/boxscores/201311040MEM.html,8:00p,Boston Celtics,88,Memphis Grizzlies,95,Box Score,,"15,872",
"Mon, Nov 4, 2013",/boxscores/201311040LAC.html,10:30p,Houston Rockets,118,Los Angeles Clippers,137,Box Score,,"19,404",
"Tue, Nov 5, 2013",/boxscores/201311050TOR.html,7:00p,Miami Heat,104,Toronto Raptors,95,Box Score,,"18,470",
"Tue, Nov 5, 2013",/boxscores/201311050BRK.html,7:30p,Utah Jazz,88,Brooklyn Nets,104,Box Score,,"17,732",
"Tue, Nov 5, 2013",/boxscores/201311050DET.html,7:30p,Indiana Pacers,99,Detroit Pistons,91,Box Score,,"13,401",
"Tue, Nov 5, 2013",/boxscores/201311050NYK.html,7:30p,Charlotte Bobcats,102,New York Knicks,97,Box Score,,"19,812",
"Tue, Nov 5, 2013",/boxscores/201311050NOP.html,8:00p,Phoenix Suns,104,New Orleans Pelicans,98,Box Score,,"13,404",
"Tue, Nov 5, 2013",/boxscores/201311050DAL.html,8:30p,Los Angeles Lakers,104,Dallas Mavericks,123,Box Score,,"19,670",
"Tue, Nov 5, 2013",/boxscores/201311050DEN.html,9:00p,San Antonio Spurs,102,Denver Nuggets,94,Box Score,,"15,721",
