,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Toronto Raptors,48.0,34.0,0.585,—,101.3,98.0,2.55
1,Brooklyn Nets,44.0,38.0,0.537,4.0,98.5,99.5,-1.58
2,New York Knicks,37.0,45.0,0.451,11.0,98.6,99.4,-1.4
3,Boston Celtics,25.0,57.0,0.305,23.0,96.2,100.7,-4.97
4,Philadelphia 76ers,19.0,63.0,0.232,29.0,99.5,109.9,-10.66
5,Indiana Pacers,56.0,26.0,0.683,—,96.7,92.3,3.63
6,Chicago Bulls,48.0,34.0,0.585,8.0,93.7,91.8,1.2
7,Cleveland Cavaliers,33.0,49.0,0.402,23.0,98.2,101.5,-3.86
8,Detroit Pistons,29.0,53.0,0.354,27.0,101.0,104.7,-4.13
9,Milwaukee Bucks,15.0,67.0,0.183,41.0,95.5,103.7,-8.41
10,Miami Heat,54.0,28.0,0.659,—,102.2,97.4,4.15
11,Washington Wizards,44.0,38.0,0.537,10.0,100.7,99.4,0.48
12,Charlotte Bobcats,43.0,39.0,0.524,11.0,96.9,97.1,-0.89
13,Atlanta Hawks,38.0,44.0,0.463,16.0,101.0,101.5,-0.88
14,Orlando Magic,23.0,59.0,0.28,31.0,96.5,102.0,-5.88
15,Oklahoma City Thunder,59.0,23.0,0.72,—,106.2,99.8,6.66
16,Portland Trail Blazers,54.0,28.0,0.659,5.0,106.7,102.8,4.44
17,Minnesota Timberwolves,40.0,42.0,0.488,19.0,106.9,104.3,3.1
18,Denver Nuggets,36.0,46.0,0.439,23.0,104.4,106.5,-1.4
19,Utah Jazz,25.0,57.0,0.305,34.0,95.0,102.2,-6.27
20,Los Angeles Clippers,57.0,25.0,0.695,—,107.9,101.0,7.27
21,Golden State Warriors,51.0,31.0,0.622,6.0,104.3,99.5,5.15
22,Phoenix Suns,48.0,34.0,0.585,9.0,105.2,102.6,3.02
23,Sacramento Kings,28.0,54.0,0.341,29.0,100.5,103.4,-2.08
24,Los Angeles Lakers,27.0,55.0,0.329,30.0,103.0,109.2,-5.33
25,San Antonio Spurs,62.0,20.0,0.756,—,105.4,97.6,8.0
26,Houston Rockets,54.0,28.0,0.659,8.0,107.7,103.1,5.06
27,Memphis Grizzlies,50.0,32.0,0.61,12.0,96.1,94.6,2.18
28,Dallas Mavericks,49.0,33.0,0.598,13.0,104.8,102.4,2.91
29,New Orleans Pelicans,34.0,48.0,0.415,28.0,99.7,102.4,-1.98
