,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Shareef Abdur-Rahim,PF,28.0,POR,54.0,1867.0,18.7,0.581,0.058,0.379,7.9,16.0,12.1,10.7,1.4,1.0,13.0,22.1,0.0,3.9,1.5,5.4,0.139,1.6,-0.6,0.9,1.4
1,Cory Alexander,SG,31.0,CHA,16.0,201.0,8.8,0.451,0.388,0.245,4.3,12.6,8.2,27.7,2.3,0.4,25.9,16.2,0.0,-0.2,0.2,0.0,0.002,-3.6,0.2,-3.4,-0.1
2,Malik Allen,PF,26.0,TOT,36.0,519.0,14.2,0.512,0.0,0.158,9.0,13.3,11.0,5.7,0.9,3.2,8.7,18.1,0.0,0.6,0.5,1.1,0.1,-1.0,-0.7,-1.8,0.0
3,Malik Allen,PF,26.0,MIA,14.0,248.0,13.6,0.505,0.0,0.184,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,0.0,0.3,0.3,0.6,0.113,-1.3,-0.3,-1.6,0.0
4,Malik Allen,PF,26.0,CHA,22.0,271.0,14.8,0.518,0.0,0.139,6.4,13.8,9.9,4.6,1.0,3.1,6.1,18.7,0.0,0.3,0.2,0.5,0.088,-0.8,-1.2,-2.0,0.0
5,Ray Allen*,SG,29.0,SEA,78.0,3064.0,20.9,0.555,0.372,0.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28.0,0.0,9.7,1.0,10.7,0.168,5.3,-1.2,4.1,4.8
6,Tony Allen,SG,23.0,BOS,77.0,1262.0,14.7,0.542,0.08,0.393,8.0,12.3,10.2,8.2,3.1,1.4,14.5,18.9,0.0,1.2,1.6,2.7,0.103,-0.7,0.8,0.1,0.7
7,Rafer Alston,PG,28.0,TOR,80.0,2717.0,16.5,0.522,0.399,0.265,1.7,10.1,5.8,31.7,2.2,0.2,13.5,21.2,0.0,3.8,1.7,5.5,0.098,1.4,-0.5,0.9,2.0
8,Chris Andersen,C,26.0,NOH,67.0,1430.0,18.5,0.581,0.008,0.531,10.9,23.6,17.0,9.1,0.5,5.6,12.7,16.4,0.0,2.7,1.8,4.5,0.152,0.5,1.1,1.6,1.3
9,Derek Anderson,SG,30.0,POR,47.0,1239.0,11.7,0.503,0.386,0.223,2.4,9.2,6.0,18.9,1.6,0.2,14.0,18.5,0.0,0.7,0.6,1.3,0.052,-0.6,-0.6,-1.2,0.2
10,Kenny Anderson,PG,34.0,TOT,43.0,743.0,10.1,0.467,0.065,0.184,3.6,10.5,6.9,22.2,2.3,0.0,18.4,16.1,0.0,-0.1,0.3,0.2,0.011,-3.6,-0.4,-3.9,-0.4
11,Kenny Anderson,PG,34.0,ATL,39.0,717.0,10.4,0.473,0.068,0.195,3.6,10.3,6.7,21.8,2.4,0.0,18.2,15.8,0.0,0.0,0.3,0.2,0.016,-3.4,-0.3,-3.7,-0.3
12,Kenny Anderson,PG,34.0,LAC,4.0,26.0,2.9,0.364,0.0,0.0,4.8,17.9,11.5,33.4,0.0,0.0,21.4,24.9,0.0,-0.1,0.0,-0.1,-0.125,-8.5,-3.1,-11.6,-0.1
13,Shandon Anderson,SF-SG,31.0,TOT,66.0,1171.0,9.0,0.518,0.134,0.304,4.3,14.4,9.5,8.7,1.8,0.9,16.9,11.8,0.0,0.5,1.6,2.1,0.085,-3.1,1.5,-1.6,0.1
