,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,66.0,16.0,0.805,—,100.5,90.3,9.3
1,Toronto Raptors,41.0,41.0,0.5,25.0,100.2,97.3,2.47
2,Philadelphia 76ers,40.0,42.0,0.488,26.0,96.6,96.2,0.19
3,New Jersey Nets,34.0,48.0,0.415,32.0,95.8,100.9,-5.15
4,New York Knicks,23.0,59.0,0.28,43.0,96.9,103.5,-6.55
5,Detroit Pistons,59.0,23.0,0.72,—,97.5,90.1,6.67
6,Cleveland Cavaliers,45.0,37.0,0.549,14.0,96.4,96.7,-0.53
7,Indiana Pacers,36.0,46.0,0.439,23.0,104.0,105.4,-1.87
8,Chicago Bulls,33.0,49.0,0.402,26.0,97.3,100.4,-3.19
9,Milwaukee Bucks,26.0,56.0,0.317,33.0,97.0,103.9,-6.92
10,Orlando Magic,52.0,30.0,0.634,—,104.5,99.0,4.79
11,Washington Wizards,43.0,39.0,0.524,9.0,98.8,99.2,-0.61
12,Atlanta Hawks,37.0,45.0,0.451,15.0,98.2,100.0,-2.23
13,Charlotte Bobcats,32.0,50.0,0.39,20.0,97.1,101.4,-4.49
14,Miami Heat,15.0,67.0,0.183,37.0,91.4,100.0,-8.53
15,Utah Jazz,54.0,28.0,0.659,—,106.2,99.3,6.86
16,Denver Nuggets,50.0,32.0,0.61,4.0,110.7,107.0,3.74
17,Portland Trail Blazers,41.0,41.0,0.5,13.0,95.4,96.3,-0.52
18,Minnesota Timberwolves,22.0,60.0,0.268,32.0,95.6,102.4,-6.26
19,Seattle SuperSonics,20.0,62.0,0.244,34.0,97.5,106.3,-8.04
20,Los Angeles Lakers,57.0,25.0,0.695,—,108.6,101.3,7.34
21,Phoenix Suns,55.0,27.0,0.671,2.0,110.1,105.0,5.14
22,Golden State Warriors,48.0,34.0,0.585,9.0,111.0,108.8,2.38
23,Sacramento Kings,38.0,44.0,0.463,19.0,102.5,104.8,-1.86
24,Los Angeles Clippers,23.0,59.0,0.28,34.0,93.8,101.1,-6.56
25,New Orleans Hornets,56.0,26.0,0.683,—,100.9,95.6,5.46
26,San Antonio Spurs,56.0,26.0,0.683,—,95.4,90.6,5.1
27,Houston Rockets,55.0,27.0,0.671,1.0,96.7,92.0,4.83
28,Dallas Mavericks,51.0,31.0,0.622,5.0,100.4,95.9,4.7
29,Memphis Grizzlies,22.0,60.0,0.268,34.0,100.7,106.9,-5.76
