b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Oct 24, 1972",/boxscores/197210240PHO.html,Chicago Bulls,107,Phoenix Suns,106,Box Score,,,
"Tue, Oct 24, 1972",/boxscores/197210240POR.html,Atlanta Hawks,118,Portland Trail Blazers,110,Box Score,,,
"Wed, Oct 25, 1972",/boxscores/197210250DET.html,Baltimore Bullets,115,Detroit Pistons,105,Box Score,,,
"Wed, Oct 25, 1972",/boxscores/197210250HOU.html,Los Angeles Lakers,112,Houston Rockets,107,Box Score,,,"at San Antonio, TX"
"Wed, Oct 25, 1972",/boxscores/197210250MIL.html,Buffalo Braves,92,Milwaukee Bucks,109,Box Score,,,
"Wed, Oct 25, 1972",/boxscores/197210250PHI.html,Cleveland Cavaliers,113,Philadelphia 76ers,108,Box Score,,,
"Wed, Oct 25, 1972",/boxscores/197210250SEA.html,Atlanta Hawks,118,Seattle SuperSonics,115,Box Score,,,
"Thu, Oct 26, 1972",/boxscores/197210260KCO.html,Milwaukee Bucks,114,Kansas City-Omaha Kings,107,Box Score,,,
"Thu, Oct 26, 1972",/boxscores/197210260GSW.html,Chicago Bulls,94,Golden State Warriors,93,Box Score,,,
"Fri, Oct 27, 1972",/boxscores/197210270BAL.html,New York Knicks,92,Baltimore Bullets,88,Box Score,,,
"Fri, Oct 27, 1972",/boxscores/197210270BOS.html,Cleveland Cavaliers,97,Boston Celtics,123,Box Score,,,
"Fri, Oct 27, 1972",/boxscores/197210270HOU.html,Detroit Pistons,118,Houston Rockets,130,Box Score,,,
"Fri, Oct 27, 1972",/boxscores/197210270LAL.html,Golden State Warriors,119,Los Angeles Lakers,91,Box Score,,,
"Fri, Oct 27, 1972",/boxscores/197210270POR.html,Chicago Bulls,118,Portland Trail Blazers,95,Box Score,,,
"Fri, Oct 27, 1972",/boxscores/197210270SEA.html,Phoenix Suns,115,Seattle SuperSonics,120,Box Score,,,
"Sat, Oct 28, 1972",/boxscores/197210280NYK.html,Baltimore Bullets,90,New York Knicks,94,Box Score,,,
"Sat, Oct 28, 1972",/boxscores/197210280PHI.html,Milwaukee Bucks,96,Philadelphia 76ers,92,Box Score,,,
"Sat, Oct 28, 1972",/boxscores/197210280GSW.html,Atlanta Hawks,107,Golden State Warriors,122,Box Score,,,
"Sat, Oct 28, 1972",/boxscores/197210280BUF.html,Kansas City-Omaha Kings,113,Buffalo Braves,102,Box Score,,,
"Sun, Oct 29, 1972",/boxscores/197210290CLE.html,Kansas City-Omaha Kings,97,Cleveland Cavaliers,115,Box Score,,,
"Sun, Oct 29, 1972",/boxscores/197210290LAL.html,Phoenix Suns,123,Los Angeles Lakers,133,Box Score,,,
"Sun, Oct 29, 1972",/boxscores/197210290POR.html,Detroit Pistons,119,Portland Trail Blazers,111,Box Score,,,
"Sun, Oct 29, 1972",/boxscores/197210290SEA.html,Chicago Bulls,95,Seattle SuperSonics,94,Box Score,,,
"Tue, Oct 31, 1972",/boxscores/197210310ATL.html,Houston Rockets,106,Atlanta Hawks,105,Box Score,,,
"Tue, Oct 31, 1972",/boxscores/197210310CHI.html,Kansas City-Omaha Kings,95,Chicago Bulls,104,Box Score,,,
"Tue, Oct 31, 1972",/boxscores/197210310CLE.html,Philadelphia 76ers,116,Cleveland Cavaliers,126,Box Score,,,
"Tue, Oct 31, 1972",/boxscores/197210310GSW.html,Detroit Pistons,104,Golden State Warriors,112,Box Score,,,
"Wed, Nov 1, 1972",/boxscores/197211010KCO.html,New York Knicks,122,Kansas City-Omaha Kings,85,Box Score,,,"at Omaha, NE"
"Wed, Nov 1, 1972",/boxscores/197211010PHI.html,Houston Rockets,108,Philadelphia 76ers,104,Box Score,,,
"Wed, Nov 1, 1972",/boxscores/197211010SEA.html,Detroit Pistons,116,Seattle SuperSonics,106,Box Score,,,
"Thu, Nov 2, 1972",/boxscores/197211020GSW.html,Portland Trail Blazers,104,Golden State Warriors,118,Box Score,,,
"Fri, Nov 3, 1972",/boxscores/197211030BOS.html,Baltimore Bullets,96,Boston Celtics,109,Box Score,,,
"Fri, Nov 3, 1972",/boxscores/197211030CHI.html,Phoenix Suns,100,Chicago Bulls,115,Box Score,,,
"Fri, Nov 3, 1972",/boxscores/197211030CLE.html,Buffalo Braves,97,Cleveland Cavaliers,124,Box Score,,,
"Fri, Nov 3, 1972",/boxscores/197211030HOU.html,Atlanta Hawks,114,Houston Rockets,108,Box Score,,,
"Fri, Nov 3, 1972",/boxscores/197211030LAL.html,Detroit Pistons,107,Los Angeles Lakers,116,Box Score,,,
"Fri, Nov 3, 1972",/boxscores/197211030PHI.html,Kansas City-Omaha Kings,114,Philadelphia 76ers,101,Box Score,,,
"Fri, Nov 3, 1972",/boxscores/197211030SEA.html,New York Knicks,105,Seattle SuperSonics,80,Box Score,,,
"Sat, Nov 4, 1972",/boxscores/197211040ATL.html,Philadelphia 76ers,120,Atlanta Hawks,128,Box Score,,,
"Sat, Nov 4, 1972",/boxscores/197211040BAL.html,Cleveland Cavaliers,98,Baltimore Bullets,108,Box Score,,,"at College Park, MD"
"Sat, Nov 4, 1972",/boxscores/197211040BOS.html,Kansas City-Omaha Kings,118,Boston Celtics,107,Box Score,,,
"Sat, Nov 4, 1972",/boxscores/197211040BUF.html,Chicago Bulls,99,Buffalo Braves,101,Box Score,,,
"Sat, Nov 4, 1972",/boxscores/197211040DET.html,Houston Rockets,118,Detroit Pistons,108,Box Score,,,"at San Antonio, TX"
"Sat, Nov 4, 1972",/boxscores/197211040GSW.html,New York Knicks,104,Golden State Warriors,127,Box Score,,,
"Sat, Nov 4, 1972",/boxscores/197211040MIL.html,Phoenix Suns,105,Milwaukee Bucks,104,Box Score,,,
"Sat, Nov 4, 1972",/boxscores/197211040POR.html,Los Angeles Lakers,134,Portland Trail Blazers,120,Box Score,,,
"Sun, Nov 5, 1972",/boxscores/197211050CLE.html,Phoenix Suns,107,Cleveland Cavaliers,106,Box Score,,,
"Sun, Nov 5, 1972",/boxscores/197211050MIL.html,Philadelphia 76ers,113,Milwaukee Bucks,131,Box Score,,,
"Sun, Nov 5, 1972",/boxscores/197211050SEA.html,Los Angeles Lakers,124,Seattle SuperSonics,115,Box Score,,,
"Mon, Nov 6, 1972",/boxscores/197211060POR.html,New York Knicks,111,Portland Trail Blazers,95,Box Score,,,
"Tue, Nov 7, 1972",/boxscores/197211070ATL.html,Baltimore Bullets,107,Atlanta Hawks,109,Box Score,OT,,
"Tue, Nov 7, 1972",/boxscores/197211070BUF.html,Golden State Warriors,105,Buffalo Braves,91,Box Score,,,
"Tue, Nov 7, 1972",/boxscores/197211070LAL.html,Houston Rockets,109,Los Angeles Lakers,122,Box Score,,,
"Wed, Nov 8, 1972",/boxscores/197211080BAL.html,Buffalo Braves,94,Baltimore Bullets,126,Box Score,,,
"Wed, Nov 8, 1972",/boxscores/197211080BOS.html,Golden State Warriors,111,Boston Celtics,128,Box Score,,,
"Wed, Nov 8, 1972",/boxscores/197211080KCO.html,Philadelphia 76ers,107,Kansas City-Omaha Kings,125,Box Score,,,"at Omaha, NE"
"Wed, Nov 8, 1972",/boxscores/197211080MIL.html,Seattle SuperSonics,103,Milwaukee Bucks,116,Box Score,,,
"Wed, Nov 8, 1972",/boxscores/197211080PHO.html,Cleveland Cavaliers,99,Phoenix Suns,107,Box Score,,,
"Thu, Nov 9, 1972",/boxscores/197211090NYK.html,Atlanta Hawks,99,New York Knicks,101,Box Score,,,
"Fri, Nov 10, 1972",/boxscores/197211100BUF.html,Boston Celtics,106,Buffalo Braves,104,Box Score,,,
"Fri, Nov 10, 1972",/boxscores/197211100DET.html,Golden State Warriors,96,Detroit Pistons,121,Box Score,,,
"Fri, Nov 10, 1972",/boxscores/197211100LAL.html,Cleveland Cavaliers,88,Los Angeles Lakers,118,Box Score,,,
"Fri, Nov 10, 1972",/boxscores/197211100MIL.html,Baltimore Bullets,82,Milwaukee Bucks,120,Box Score,,,
"Fri, Nov 10, 1972",/boxscores/197211100PHI.html,New York Knicks,125,Philadelphia 76ers,106,Box Score,,,
"Fri, Nov 10, 1972",/boxscores/197211100PHO.html,Houston Rockets,109,Phoenix Suns,115,Box Score,,,
"Fri, Nov 10, 1972",/boxscores/197211100SEA.html,Kansas City-Omaha Kings,111,Seattle SuperSonics,106,Box Score,,,
"Sat, Nov 11, 1972",/boxscores/197211110ATL.html,Milwaukee Bucks,102,Atlanta Hawks,111,Box Score,,,
"Sat, Nov 11, 1972",/boxscores/197211110BAL.html,Chicago Bulls,111,Baltimore Bullets,106,Box Score,,,
"Sat, Nov 11, 1972",/boxscores/197211110BOS.html,Detroit Pistons,118,Boston Celtics,121,Box Score,,,
"Sat, Nov 11, 1972",/boxscores/197211110HOU.html,Philadelphia 76ers,114,Houston Rockets,112,Box Score,,,"at San Antonio, TX"
"Sat, Nov 11, 1972",/boxscores/197211110NYK.html,Golden State Warriors,103,New York Knicks,102,Box Score,OT,,
"Sun, Nov 12, 1972",/boxscores/197211120PHO.html,Philadelphia 76ers,108,Phoenix Suns,119,Box Score,,,
"Sun, Nov 12, 1972",/boxscores/197211120POR.html,Kansas City-Omaha Kings,100,Portland Trail Blazers,102,Box Score,,,
"Sun, Nov 12, 1972",/boxscores/197211120SEA.html,Cleveland Cavaliers,113,Seattle SuperSonics,107,Box Score,,,
"Tue, Nov 14, 1972",/boxscores/197211140ATL.html,Golden State Warriors,114,Atlanta Hawks,105,Box Score,,,
"Tue, Nov 14, 1972",/boxscores/197211140BAL.html,Houston Rockets,103,Baltimore Bullets,104,Box Score,,,
"Tue, Nov 14, 1972",/boxscores/197211140CHI.html,Seattle SuperSonics,80,Chicago Bulls,97,Box Score,,,
"Tue, Nov 14, 1972",/boxscores/197211140KCO.html,Buffalo Braves,100,Kansas City-Omaha Kings,106,Box Score,,,"at Omaha, NE"
"Tue, Nov 14, 1972",/boxscores/197211140MIL.html,Los Angeles Lakers,95,Milwaukee Bucks,92,Box Score,,,
"Tue, Nov 14, 1972",/boxscores/197211140NYK.html,Phoenix Suns,97,New York Knicks,103,Box Score,,,
"Tue, Nov 14, 1972",/boxscores/197211140POR.html,Cleveland Cavaliers,91,Portland Trail Blazers,100,Box Score,,,
"Wed, Nov 15, 1972",/boxscores/197211150BOS.html,Phoenix Suns,94,Boston Celtics,113,Box Score,,,
"Wed, Nov 15, 1972",/boxscores/197211150DET.html,Los Angeles Lakers,110,Detroit Pistons,99,Box Score,,,
"Wed, Nov 15, 1972",/boxscores/197211150KCO.html,Seattle SuperSonics,97,Kansas City-Omaha Kings,106,Box Score,,,
"Thu, Nov 16, 1972",/boxscores/197211160GSW.html,Philadelphia 76ers,106,Golden State Warriors,128,Box Score,,,
"Thu, Nov 16, 1972",/boxscores/197211160NYK.html,Houston Rockets,100,New York Knicks,119,Box Score,,,
"Fri, Nov 17, 1972",/boxscores/197211170BAL.html,Phoenix Suns,106,Baltimore Bullets,117,Box Score,,,
"Fri, Nov 17, 1972",/boxscores/197211170BOS.html,Milwaukee Bucks,95,Boston Celtics,88,Box Score,,,
"Fri, Nov 17, 1972",/boxscores/197211170DET.html,Chicago Bulls,96,Detroit Pistons,109,Box Score,,,
"Fri, Nov 17, 1972",/boxscores/197211170KCO.html,Cleveland Cavaliers,96,Kansas City-Omaha Kings,115,Box Score,,,
"Fri, Nov 17, 1972",/boxscores/197211170LAL.html,Buffalo Braves,100,Los Angeles Lakers,103,Box Score,,,
"Fri, Nov 17, 1972",/boxscores/197211170POR.html,Golden State Warriors,97,Portland Trail Blazers,105,Box Score,,,
"Fri, Nov 17, 1972",/boxscores/197211170SEA.html,Philadelphia 76ers,92,Seattle SuperSonics,105,Box Score,,,
"Sat, Nov 18, 1972",/boxscores/197211180ATL.html,Phoenix Suns,122,Atlanta Hawks,126,Box Score,,,
"Sat, Nov 18, 1972",/boxscores/197211180CHI.html,Baltimore Bullets,79,Chicago Bulls,95,Box Score,,,
"Sat, Nov 18, 1972",/boxscores/197211180GSW.html,Buffalo Braves,92,Golden State Warriors,120,Box Score,,,
"Sat, Nov 18, 1972",/boxscores/197211180KCO.html,Houston Rockets,117,Kansas City-Omaha Kings,127,Box Score,,,"at Omaha, NE"
"Sat, Nov 18, 1972",/boxscores/197211180NYK.html,Milwaukee Bucks,86,New York Knicks,87,Box Score,,,
"Sat, Nov 18, 1972",/boxscores/197211180POR.html,Seattle SuperSonics,102,Portland Trail Blazers,100,Box Score,,,
"Sun, Nov 19, 1972",/boxscores/197211190CLE.html,Atlanta Hawks,98,Cleveland Cavaliers,109,Box Score,,,
"Sun, Nov 19, 1972",/boxscores/197211190LAL.html,Philadelphia 76ers,95,Los Angeles Lakers,135,Box Score,,,
"Sun, Nov 19, 1972",/boxscores/197211190SEA.html,Buffalo Braves,84,Seattle SuperSonics,107,Box Score,,,
"Tue, Nov 21, 1972",/boxscores/197211210BUF.html,Baltimore Bullets,124,Buffalo Braves,88,Box Score,,,
"Tue, Nov 21, 1972",/boxscores/197211210CHI.html,Houston Rockets,105,Chicago Bulls,113,Box Score,,,
"Tue, Nov 21, 1972",/boxscores/197211210CLE.html,Seattle SuperSonics,88,Cleveland Cavaliers,98,Box Score,,,
