,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,26.0,OKC,58.0,58.0,1564.0,6.0,10.2,0.591,0.0,0.1,0.333,6.0,10.1,0.593,2.5,4.2,0.59,4.5,8.0,12.5,3.2,1.2,1.5,2.0,2.6,14.6
1,Bam Adebayo,PF,22.0,MIA,64.0,64.0,2200.0,6.5,11.5,0.565,0.0,0.2,0.077,6.5,11.3,0.575,3.8,5.6,0.691,2.7,8.4,11.1,5.3,1.3,1.4,3.0,2.6,16.9
2,LaMarcus Aldridge,C,34.0,SAS,52.0,52.0,1717.0,8.0,16.1,0.495,1.3,3.2,0.392,6.7,12.9,0.52,3.2,3.9,0.829,2.2,6.0,8.2,2.7,0.7,1.7,1.5,2.7,20.5
3,Nickeil Alexander-Walker,SG,21.0,NOP,41.0,0.0,501.0,5.5,16.3,0.339,2.9,8.4,0.342,2.7,7.9,0.336,1.2,2.0,0.607,0.6,5.2,5.7,5.3,0.8,0.5,2.9,3.3,15.2
4,Grayson Allen,SG,24.0,MEM,30.0,0.0,498.0,5.7,12.7,0.449,2.4,6.6,0.363,3.3,6.1,0.541,2.2,2.5,0.857,0.4,4.4,4.8,3.1,0.4,0.1,1.7,2.6,16.0
5,Jarrett Allen,C,21.0,BRK,63.0,58.0,1627.0,5.9,9.1,0.647,0.0,0.1,0.0,5.9,9.0,0.655,3.2,5.2,0.627,4.2,9.0,13.2,1.9,0.8,1.9,1.6,3.1,15.0
6,Kadeem Allen,SG,27.0,NYK,10.0,0.0,117.0,5.8,13.5,0.432,1.5,4.9,0.313,4.3,8.6,0.5,2.2,3.4,0.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
7,Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,380.0,2.4,8.1,0.291,0.9,3.4,0.25,1.5,4.7,0.32,1.8,2.7,0.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4
8,Justin Anderson,SF,26.0,BRK,3.0,0.0,17.0,2.1,12.7,0.167,0.0,6.4,0.0,2.1,6.4,0.333,2.1,4.2,0.5,0.0,4.2,4.2,0.0,0.0,2.1,0.0,4.2,6.4
9,Kyle Anderson,PF,26.0,MEM,58.0,19.0,1114.0,4.5,9.0,0.495,0.5,2.0,0.258,3.9,7.0,0.562,1.3,2.0,0.645,1.7,6.4,8.2,4.2,1.5,1.0,1.8,2.7,10.7
10,Ryan Anderson,PF,31.0,HOU,2.0,0.0,14.0,5.1,18.0,0.286,2.6,12.9,0.2,2.6,5.1,0.5,0.0,0.0,0.0,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9
11,Giannis Antetokounmpo,PF,25.0,MIL,57.0,57.0,1763.0,12.7,23.3,0.547,1.7,5.5,0.306,11.0,17.7,0.622,7.4,11.6,0.633,2.7,13.3,16.0,6.7,1.2,1.2,4.3,3.5,34.5
12,Kostas Antetokounmpo,PF,22.0,LAL,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0
13,Thanasis Antetokounmpo,SF,27.0,MIL,18.0,2.0,93.0,7.4,13.9,0.528,0.0,2.7,0.0,7.4,11.2,0.655,2.7,5.8,0.467,4.3,3.1,7.4,3.5,2.3,0.8,4.3,5.0,17.4
14,Carmelo Anthony,PF,35.0,POR,49.0,49.0,1591.0,6.3,15.0,0.422,1.6,4.3,0.366,4.8,10.7,0.445,2.5,3.0,0.848,1.4,5.6,7.0,1.7,0.9,0.5,1.9,3.1,16.8
15,OG Anunoby,SF,22.0,TOR,63.0,62.0,1897.0,5.1,10.0,0.507,1.6,4.1,0.381,3.5,5.9,0.593,1.1,1.6,0.686,1.4,5.1,6.5,1.9,1.7,0.8,1.4,2.9,12.8
16,Ryan Arcidiacono,PG,25.0,CHI,58.0,4.0,930.0,3.5,8.5,0.409,2.1,5.3,0.391,1.4,3.2,0.439,1.0,1.5,0.711,0.8,3.5,4.3,3.7,1.0,0.1,1.4,3.7,10.1
17,Trevor Ariza,SF,34.0,TOT,52.0,20.0,1456.0,3.3,7.7,0.433,1.8,4.9,0.362,1.6,2.8,0.558,1.5,1.7,0.843,0.8,5.1,5.9,2.3,1.7,0.3,1.3,2.7,9.9
18,Trevor Ariza,SF,34.0,SAC,32.0,0.0,791.0,2.9,7.5,0.388,2.0,5.6,0.352,1.0,2.0,0.488,1.0,1.2,0.778,1.0,5.7,6.6,2.3,1.6,0.3,1.3,2.9,8.7
19,Trevor Ariza,SF,34.0,POR,20.0,20.0,665.0,3.8,8.0,0.483,1.6,4.2,0.377,2.3,3.8,0.6,2.1,2.3,0.884,0.6,4.4,5.1,2.2,1.8,0.4,1.4,2.5,11.3
20,D.J. Augustin,PG,32.0,ORL,48.0,6.0,1191.0,4.6,11.6,0.392,1.8,5.1,0.341,2.8,6.5,0.433,4.1,4.6,0.882,0.5,2.7,3.2,6.6,0.9,0.0,2.0,1.5,15.0
21,Deandre Ayton,C,21.0,PHO,30.0,25.0,996.0,9.2,16.8,0.548,0.0,0.1,0.0,9.2,16.7,0.552,2.2,2.8,0.769,4.4,8.6,13.0,2.1,0.8,1.8,2.6,3.5,20.6
23,Dwayne Bacon,SG,24.0,CHO,39.0,11.0,687.0,4.5,12.8,0.348,1.0,3.5,0.284,3.5,9.3,0.373,1.8,2.8,0.66,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
24,Marvin Bagley,PF,20.0,SAC,13.0,6.0,334.0,8.4,18.0,0.467,0.4,2.4,0.182,8.0,15.6,0.51,2.7,3.3,0.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
25,Lonzo Ball,PG,22.0,NOP,56.0,47.0,1817.0,5.1,12.4,0.412,2.8,7.2,0.383,2.4,5.3,0.453,0.8,1.3,0.567,1.2,5.6,6.9,7.8,1.6,0.6,3.4,2.2,13.8
26,Mo Bamba,C,21.0,ORL,59.0,0.0,855.0,5.5,11.7,0.468,1.5,4.3,0.353,4.0,7.4,0.534,1.3,1.9,0.689,4.0,8.3,12.3,1.7,0.8,3.6,1.8,4.8,13.8
27,J.J. Barea,PG,35.0,DAL,25.0,4.0,374.0,7.0,17.0,0.412,2.8,7.3,0.382,4.2,9.7,0.436,1.6,1.7,0.944,1.0,3.6,4.5,9.1,0.4,0.2,3.3,2.1,18.5
28,Harrison Barnes,PF,27.0,SAC,64.0,64.0,2231.0,5.3,11.5,0.459,1.5,3.9,0.383,3.8,7.6,0.498,3.2,3.9,0.803,1.0,4.0,4.9,2.5,0.6,0.2,1.3,1.3,15.2
29,RJ Barrett,SG,19.0,NYK,54.0,53.0,1635.0,6.1,15.4,0.398,1.3,4.1,0.321,4.8,11.3,0.427,3.2,5.3,0.602,1.1,4.8,5.9,3.0,1.1,0.4,2.6,2.6,16.8
30,Will Barton,SF,29.0,DEN,57.0,57.0,1878.0,6.2,13.8,0.448,2.0,5.3,0.373,4.2,8.5,0.495,1.9,2.5,0.771,1.5,5.4,6.9,4.0,1.2,0.5,1.7,2.3,16.3
31,Keita Bates-Diop,SF,24.0,TOT,39.0,0.0,665.0,4.8,11.3,0.428,1.7,5.1,0.33,3.1,6.2,0.509,2.7,3.7,0.71,1.1,4.9,6.1,1.6,0.9,1.1,0.8,2.1,14.0
32,Keita Bates-Diop,SF,24.0,MIN,37.0,0.0,646.0,4.8,11.5,0.422,1.7,5.2,0.33,3.1,6.2,0.5,2.6,3.6,0.708,1.2,5.0,6.1,1.7,0.9,1.1,0.8,2.0,14.0
33,Keita Bates-Diop,SF,24.0,DEN,2.0,0.0,19.0,3.8,3.8,1.0,0.0,0.0,0.0,3.8,3.8,1.0,5.7,7.6,0.75,0.0,3.8,3.8,0.0,0.0,1.9,0.0,3.8,13.3
34,Nicolas Batum,SF,31.0,CHO,22.0,3.0,505.0,2.0,5.8,0.346,1.0,3.5,0.286,1.0,2.3,0.438,0.6,0.7,0.9,1.8,5.3,7.1,4.7,1.2,0.6,1.6,2.9,5.6
35,Aron Baynes,C,33.0,PHO,41.0,27.0,901.0,7.2,14.7,0.49,2.3,6.4,0.36,4.9,8.2,0.592,2.2,3.0,0.747,2.8,6.6,9.4,2.6,0.4,0.9,1.9,5.6,18.9
36,Kent Bazemore,SF-SG,30.0,TOT,64.0,21.0,1604.0,4.2,11.1,0.374,1.8,5.1,0.342,2.4,6.0,0.401,2.4,3.2,0.768,0.5,5.7,6.2,1.9,1.6,0.9,1.9,4.1,12.5
37,Kent Bazemore,SF,30.0,POR,43.0,21.0,1111.0,3.7,10.6,0.347,1.8,5.5,0.327,1.8,5.0,0.368,1.9,2.3,0.806,0.4,5.2,5.6,2.0,1.5,1.0,1.9,3.9,11.0
38,Kent Bazemore,SG,30.0,SAC,21.0,0.0,493.0,5.3,12.3,0.426,1.6,4.2,0.386,3.7,8.2,0.446,3.7,5.1,0.729,0.8,6.9,7.7,1.8,1.8,0.6,1.8,4.5,15.8
39,Darius Bazley,PF,19.0,OKC,53.0,8.0,909.0,3.5,9.1,0.383,1.2,4.0,0.3,2.3,5.1,0.446,1.3,1.9,0.681,0.8,6.9,7.8,1.1,0.8,1.4,1.6,1.8,9.4
40,Bradley Beal,SG,26.0,WAS,56.0,56.0,2015.0,10.4,22.8,0.455,3.0,8.4,0.352,7.4,14.4,0.515,6.6,7.9,0.842,0.9,3.3,4.3,6.1,1.2,0.4,3.4,2.2,30.4
41,Malik Beasley,SG,23.0,TOT,54.0,13.0,1176.0,6.9,16.0,0.43,3.2,8.3,0.391,3.6,7.7,0.472,1.7,2.0,0.818,0.6,3.9,4.4,2.3,1.2,0.2,1.7,2.3,18.7
42,Malik Beasley,SG,23.0,DEN,41.0,0.0,746.0,5.6,14.5,0.389,2.8,7.8,0.36,2.8,6.8,0.421,1.6,1.8,0.868,0.4,3.3,3.7,2.3,1.5,0.3,1.7,2.4,15.7
43,Malik Beasley,SG,23.0,MIN,13.0,13.0,430.0,9.0,18.6,0.486,4.0,9.2,0.436,5.0,9.4,0.536,1.8,2.3,0.75,0.8,4.9,5.7,2.2,0.7,0.2,1.6,2.2,23.9
44,Marco Belinelli,SG,33.0,SAS,51.0,0.0,757.0,4.8,12.5,0.38,2.5,7.1,0.356,2.2,5.4,0.412,1.5,1.9,0.78,0.2,3.9,4.1,3.0,0.5,0.0,0.8,1.9,13.6
45,Jordan Bell,C-PF,25.0,TOT,29.0,0.0,256.0,4.9,9.4,0.522,0.6,1.7,0.333,4.4,7.7,0.564,2.7,4.4,0.613,4.2,7.2,11.4,2.3,0.4,1.4,3.0,2.7,13.1
46,Jordan Bell,C,25.0,MIN,27.0,0.0,235.0,4.9,9.2,0.533,0.3,1.4,0.222,4.6,7.8,0.588,2.6,4.4,0.586,4.3,7.7,11.9,2.1,0.3,1.5,2.8,2.6,12.7
47,Jordan Bell,PF,25.0,MEM,2.0,0.0,21.0,5.1,12.0,0.429,3.4,5.1,0.667,1.7,6.9,0.25,3.4,3.4,1.0,3.4,1.7,5.1,3.4,1.7,0.0,5.1,3.4,17.1
48,DeAndre' Bembry,SG,25.0,ATL,43.0,4.0,915.0,4.1,9.0,0.456,0.6,2.6,0.231,3.5,6.4,0.546,1.0,1.9,0.542,1.3,4.6,6.0,3.2,2.2,0.7,2.4,3.3,9.8
49,Dragan Bender,SF,22.0,TOT,15.0,3.0,260.0,4.6,11.1,0.413,1.8,5.3,0.342,2.8,5.8,0.476,0.7,1.2,0.556,2.1,7.1,9.1,3.5,0.6,1.2,2.5,5.4,11.6
50,Dragan Bender,SF,22.0,MIL,7.0,0.0,91.0,4.0,8.3,0.476,1.6,3.6,0.444,2.4,4.7,0.5,0.8,1.2,0.667,0.0,7.9,7.9,3.6,0.0,2.0,2.0,6.3,10.3
51,Dragan Bender,SF,22.0,GSW,8.0,3.0,169.0,4.9,12.6,0.39,1.9,6.2,0.31,3.0,6.4,0.467,0.6,1.3,0.5,3.2,6.6,9.8,3.4,0.9,0.9,2.8,4.9,12.4
52,Davis Bertans,PF,27.0,WAS,53.0,4.0,1554.0,6.1,13.9,0.436,4.6,10.7,0.425,1.5,3.2,0.471,2.4,2.8,0.857,0.8,4.8,5.6,2.1,0.9,0.8,1.3,3.1,19.1
