,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
27,Maceo Baston,PF,27.0,TOR,16.0,106.0,18.0,0.661,0.0,0.48,4.1,21.3,12.4,0.0,2.0,7.3,16.5,15.6,0.0,0.2,0.2,0.3,0.153,-1.6,2.7,1.0,0.1
28,Mengke Bateer,C,27.0,SAS,12.0,46.0,-8.4,0.252,0.176,0.118,5.3,19.2,12.6,13.5,0.0,0.0,25.1,24.1,0.0,-0.3,0.1,-0.2,-0.248,-14.7,-2.0,-16.7,-0.2
29,Mike Batiste,PF,25.0,MEM,75.0,1248.0,12.2,0.476,0.173,0.188,7.5,15.6,11.6,6.9,1.7,0.9,12.0,20.7,0.0,0.0,0.7,0.8,0.029,-2.1,-1.4,-3.5,-0.5
30,Tony Battie,C,26.0,BOS,67.0,1683.0,15.2,0.578,0.014,0.32,9.7,19.7,14.6,5.2,1.0,3.8,10.2,12.9,0.0,3.3,2.5,5.8,0.164,-1.0,0.8,-0.3,0.7
31,Shane Battier,SF,24.0,MEM,78.0,2383.0,15.0,0.597,0.38,0.255,6.1,10.1,8.1,6.8,2.2,2.5,9.7,13.2,0.0,4.8,1.5,6.2,0.126,1.4,0.8,2.3,2.5
32,Lonny Baxter,C,24.0,CHI,55.0,682.0,11.3,0.521,0.01,0.5,10.7,16.0,13.4,3.8,0.7,2.3,15.5,19.3,0.0,0.4,0.5,0.9,0.063,-4.0,-1.4,-5.4,-0.6
33,Raja Bell,SG,26.0,DAL,75.0,1173.0,7.9,0.509,0.242,0.161,4.4,9.2,6.8,6.8,2.3,0.5,16.0,10.4,0.0,0.5,1.2,1.7,0.069,-3.1,1.4,-1.8,0.1
34,Jonathan Bender,SF,22.0,IND,46.0,819.0,13.3,0.521,0.209,0.331,5.9,12.2,9.1,8.6,0.5,5.0,12.6,18.4,0.0,0.7,1.0,1.7,0.099,-0.9,0.7,-0.3,0.4
35,Corey Benjamin,SG,24.0,ATL,9.0,152.0,7.3,0.4,0.302,0.372,7.8,15.1,11.6,10.4,0.3,0.9,10.7,16.9,0.0,0.0,0.1,0.0,0.004,-4.6,-2.0,-6.6,-0.2
36,Travis Best,PG,30.0,MIA,72.0,1807.0,11.2,0.473,0.187,0.211,1.6,8.0,4.7,25.7,1.3,0.3,14.3,19.4,0.0,0.5,1.4,1.8,0.048,-2.1,-0.3,-2.4,-0.2
37,Mike Bibby,PG,24.0,SAC,55.0,1835.0,17.6,0.559,0.196,0.267,2.1,6.3,4.3,24.3,2.0,0.3,14.0,21.9,0.0,3.5,2.0,5.6,0.146,1.8,-0.1,1.8,1.8
38,Chauncey Billups,PG,26.0,DET,74.0,2327.0,20.4,0.582,0.437,0.416,1.9,12.2,7.0,23.7,1.5,0.5,11.5,24.1,0.0,7.0,2.9,9.9,0.204,4.3,0.3,4.6,3.8
39,Corie Blount,C,34.0,CHI,50.0,836.0,9.6,0.502,0.0,0.261,9.1,17.9,13.5,8.9,2.0,1.7,22.3,10.2,0.0,0.2,0.9,1.1,0.064,-2.9,0.8,-2.2,0.0
40,Mark Blount,C,27.0,TOT,81.0,1403.0,10.6,0.491,0.0,0.401,8.8,16.9,12.6,7.0,1.6,3.8,20.2,16.4,0.0,-0.4,2.1,1.7,0.059,-4.2,1.2,-3.0,-0.4
41,Mark Blount,C,27.0,DEN,54.0,885.0,9.6,0.452,0.0,0.371,7.8,16.7,12.0,7.0,1.3,4.6,18.4,19.1,0.0,-0.9,1.3,0.4,0.02,-4.7,1.0,-3.7,-0.4
42,Mark Blount,C,27.0,BOS,27.0,518.0,12.2,0.615,0.0,0.5,10.4,17.1,13.7,6.8,2.0,2.6,25.3,11.7,0.0,0.6,0.8,1.4,0.126,-3.4,1.6,-1.8,0.0
43,Calvin Booth,C,26.0,SEA,47.0,575.0,9.9,0.494,0.017,0.395,6.5,16.0,11.2,3.3,1.0,4.5,13.6,13.2,0.0,0.2,0.7,0.8,0.071,-4.0,0.6,-3.3,-0.2
44,Carlos Boozer,PF,21.0,CLE,81.0,2049.0,17.9,0.577,0.002,0.311,10.8,22.7,16.6,9.3,1.5,1.7,12.8,17.1,0.0,4.2,1.8,5.9,0.139,0.6,-0.6,0.0,1.0
45,Ruben Boumtje-Boumtje,C,24.0,POR,2.0,5.0,18.4,0.0,0.0,0.0,24.2,0.0,12.1,26.6,10.7,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.114,2.2,4.5,6.7,0.0
46,Bruce Bowen,SF,31.0,SAS,82.0,2566.0,9.1,0.563,0.478,0.186,2.8,7.8,5.4,6.8,1.4,1.1,12.2,10.7,0.0,2.4,2.7,5.1,0.096,-0.7,1.0,0.2,1.4
48,Ryan Bowen,SG,27.0,DEN,62.0,996.0,12.7,0.519,0.036,0.208,8.7,9.7,9.2,9.3,3.4,2.3,16.7,11.5,0.0,0.6,1.6,2.1,0.102,-1.3,3.1,1.8,1.0
49,Earl Boykins,PG,26.0,GSW,68.0,1321.0,17.6,0.543,0.166,0.431,2.9,4.2,3.5,26.8,1.5,0.2,11.7,20.1,0.0,3.9,-0.4,3.5,0.127,2.6,-2.1,0.6,0.9
50,Michael Bradley,PF,23.0,TOR,67.0,1314.0,12.8,0.492,0.019,0.213,13.5,22.4,17.7,8.4,0.7,1.7,18.1,14.6,0.0,0.7,0.9,1.5,0.056,-1.7,-1.8,-3.4,-0.5
51,Shawn Bradley,C,30.0,DAL,81.0,1731.0,18.3,0.601,0.003,0.467,9.6,20.7,15.1,4.6,1.9,7.3,12.9,13.6,0.0,3.9,3.5,7.4,0.204,-0.4,3.0,2.6,2.0
52,Elton Brand,PF,23.0,LAC,62.0,2454.0,21.7,0.543,0.001,0.396,13.1,19.3,16.2,12.0,1.5,4.6,13.2,22.4,0.0,4.9,2.7,7.6,0.149,2.5,0.5,3.0,3.1
53,J.R. Bremer,PG,22.0,BOS,64.0,1503.0,12.7,0.515,0.616,0.239,1.3,9.8,5.5,19.2,1.3,0.2,10.3,17.7,0.0,1.8,1.2,3.0,0.096,0.0,-0.5,-0.5,0.6
54,Jamison Brewer,PG,22.0,IND,10.0,80.0,13.4,0.525,0.118,0.529,7.2,5.5,6.3,36.4,1.3,0.9,22.3,15.2,0.0,0.1,0.1,0.2,0.106,-0.6,-0.3,-0.9,0.0
55,Primoz Brezec,C,23.0,IND,22.0,111.0,10.9,0.449,0.026,0.526,13.5,9.9,11.6,6.0,0.9,2.6,13.0,21.9,0.0,0.0,0.1,0.1,0.047,-3.7,-1.8,-5.5,-0.1
56,Damone Brown,PF,23.0,TOR,5.0,115.0,1.6,0.363,0.057,0.229,2.9,12.4,7.4,4.2,0.5,0.0,13.5,17.7,0.0,-0.3,0.0,-0.2,-0.102,-7.4,-1.8,-9.2,-0.2
57,Devin Brown,SG,24.0,TOT,10.0,93.0,6.9,0.389,0.029,0.229,10.0,12.8,11.2,13.5,2.3,0.9,18.9,23.0,0.0,-0.2,0.1,-0.1,-0.043,-6.6,0.1,-6.5,-0.1
58,Devin Brown,SG,24.0,SAS,7.0,22.0,13.8,0.551,0.0,0.2,22.1,15.1,18.4,18.0,0.0,0.0,31.5,33.5,0.0,0.0,0.0,0.0,-0.023,-3.2,-3.0,-6.2,0.0
59,Devin Brown,SG,24.0,DEN,3.0,71.0,4.8,0.326,0.04,0.24,6.3,12.1,9.0,12.1,3.0,1.1,12.6,19.8,0.0,-0.2,0.1,-0.1,-0.05,-7.7,1.1,-6.6,-0.1
60,Kedrick Brown,SF,21.0,BOS,51.0,666.0,8.8,0.392,0.228,0.187,7.4,16.6,11.9,5.1,2.7,1.5,11.1,14.5,0.0,-0.5,1.1,0.5,0.037,-4.6,0.6,-4.0,-0.3
61,Kwame Brown,C,20.0,WAS,80.0,1773.0,13.6,0.496,0.006,0.432,8.5,19.9,14.2,5.6,1.5,3.4,15.5,18.8,0.0,0.2,2.3,2.5,0.069,-2.1,-0.1,-2.2,-0.1
62,P.J. Brown,PF,33.0,NOH,78.0,2609.0,17.6,0.592,0.005,0.386,10.7,20.7,15.6,9.2,1.4,2.2,12.2,14.0,0.0,6.4,3.8,10.2,0.188,1.6,1.0,2.5,3.0
63,Randy Brown,PG,34.0,PHO,32.0,262.0,7.2,0.425,0.0,0.279,1.3,10.0,5.6,19.2,3.4,0.6,26.0,11.2,0.0,-0.2,0.4,0.2,0.031,-6.0,2.8,-3.2,-0.1
64,Tierre Brown,PG,23.0,CLE,15.0,168.0,17.4,0.499,0.017,0.237,5.2,14.9,10.0,41.6,4.0,0.0,25.2,22.5,0.0,0.0,0.2,0.2,0.044,-0.9,1.1,0.3,0.1
65,Rick Brunson,PG,30.0,CHI,17.0,196.0,13.4,0.543,0.12,0.24,2.3,8.3,5.4,29.0,2.6,1.1,23.5,16.4,0.0,0.1,0.1,0.3,0.07,-1.4,0.4,-1.0,0.1
66,Kobe Bryant,SG,24.0,LAL,82.0,3401.0,26.2,0.55,0.168,0.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,0.0,11.0,4.0,14.9,0.21,6.3,0.7,7.1,7.7
