,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New Jersey Nets,49.0,33.0,0.598,—,93.8,92.4,1.11
1,Philadelphia 76ers,38.0,44.0,0.463,11.0,99.4,101.3,-2.1
2,Boston Celtics,33.0,49.0,0.402,16.0,98.0,99.5,-1.59
3,Toronto Raptors,27.0,55.0,0.329,22.0,101.1,104.0,-3.03
4,New York Knicks,23.0,59.0,0.28,26.0,95.6,102.0,-6.3
5,Detroit Pistons,64.0,18.0,0.78,—,96.8,90.2,6.24
6,Cleveland Cavaliers,50.0,32.0,0.61,14.0,97.6,95.4,2.17
7,Indiana Pacers,41.0,41.0,0.5,23.0,93.9,92.0,1.62
8,Chicago Bulls,41.0,41.0,0.5,23.0,97.8,97.2,0.51
9,Milwaukee Bucks,40.0,42.0,0.488,24.0,97.8,98.8,-1.07
10,Miami Heat,52.0,30.0,0.634,—,99.9,96.0,3.59
11,Washington Wizards,42.0,40.0,0.512,10.0,101.7,99.8,1.57
12,Orlando Magic,36.0,46.0,0.439,16.0,94.9,96.0,-1.26
13,Charlotte Bobcats,26.0,56.0,0.317,26.0,96.9,100.9,-3.9
14,Atlanta Hawks,26.0,56.0,0.317,26.0,97.2,102.0,-4.69
15,Denver Nuggets,44.0,38.0,0.537,—,100.3,100.1,0.36
16,Utah Jazz,41.0,41.0,0.5,3.0,92.4,95.0,-2.49
17,Seattle SuperSonics,35.0,47.0,0.427,9.0,102.6,105.6,-2.88
18,Minnesota Timberwolves,33.0,49.0,0.402,11.0,91.7,93.6,-1.75
19,Portland Trail Blazers,21.0,61.0,0.256,23.0,88.8,98.3,-8.91
20,Phoenix Suns,54.0,28.0,0.659,—,108.4,102.8,5.48
21,Los Angeles Clippers,47.0,35.0,0.573,7.0,97.2,95.6,1.75
22,Los Angeles Lakers,45.0,37.0,0.549,9.0,99.4,96.9,2.53
23,Sacramento Kings,44.0,38.0,0.537,10.0,98.9,97.3,1.61
24,Golden State Warriors,34.0,48.0,0.415,20.0,98.5,99.8,-1.11
25,San Antonio Spurs,63.0,19.0,0.768,—,95.6,88.8,6.69
26,Dallas Mavericks,60.0,22.0,0.732,3.0,99.1,93.1,5.96
27,Memphis Grizzlies,49.0,33.0,0.598,14.0,92.2,88.5,3.74
28,New Orleans,38.0,44.0,0.463,25.0,92.8,95.6,-2.51
29,Houston Rockets,34.0,48.0,0.415,29.0,90.1,91.7,-1.3
