,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,PHO,Deandre Ayton,Arizona,2.0,101.0,3179.0,1729.0,1089.0,182.0,0.572,0.0,0.753,31.5,17.1,10.8,1.8,8.3,0.125,0.3,1.9
2,2.0,SAC,Marvin Bagley,Duke,2.0,75.0,1901.0,1108.0,568.0,72.0,0.497,0.288,0.703,25.3,14.8,7.6,1.0,4.0,0.101,-1.4,0.3
3,3.0,ATL,Luka Dončić,,2.0,122.0,3975.0,2952.0,1038.0,868.0,0.443,0.322,0.736,32.6,24.2,8.5,7.1,12.4,0.149,5.8,7.8
4,4.0,MEM,Jaren Jackson,Michigan State,2.0,112.0,3027.0,1712.0,526.0,140.0,0.485,0.386,0.755,27.0,15.3,4.7,1.3,6.5,0.103,-0.1,1.5
5,5.0,DAL,Trae Young,Oklahoma,2.0,138.0,4513.0,3238.0,545.0,1182.0,0.428,0.343,0.849,32.7,23.5,3.9,8.6,9.0,0.096,1.5,4.0
6,6.0,ORL,Mohamed Bamba,Texas,2.0,104.0,1600.0,611.0,518.0,78.0,0.477,0.333,0.632,15.4,5.9,5.0,0.8,4.1,0.122,-0.4,0.7
7,7.0,CHI,Wendell Carter,Duke,2.0,84.0,2285.0,907.0,697.0,126.0,0.506,0.2,0.758,27.2,10.8,8.3,1.5,5.0,0.106,-1.9,0.0
8,8.0,CLE,Collin Sexton,Alabama,2.0,144.0,4631.0,2643.0,430.0,421.0,0.447,0.395,0.842,32.2,18.4,3.0,2.9,1.9,0.019,-3.4,-1.7
9,9.0,NYK,Kevin Knox,Kentucky,2.0,136.0,3265.0,1360.0,507.0,141.0,0.367,0.336,0.698,24.0,10.0,3.7,1.0,-1.3,-0.019,-5.3,-2.7
10,10.0,PHI,Mikal Bridges,Villanova,2.0,144.0,4065.0,1202.0,503.0,280.0,0.461,0.341,0.819,28.2,8.3,3.5,1.9,6.7,0.079,-0.5,1.5
11,11.0,CHO,Shai Gilgeous-Alexander,Kentucky,2.0,144.0,4367.0,2087.0,613.0,473.0,0.473,0.358,0.8,30.3,14.5,4.3,3.3,8.7,0.095,0.5,2.8
12,12.0,LAC,Miles Bridges,Michigan State,2.0,142.0,3603.0,1410.0,670.0,202.0,0.445,0.335,0.783,25.4,9.9,4.7,1.4,4.6,0.062,-1.6,0.4
13,13.0,LAC,Jerome Robinson,Boston College,2.0,86.0,1018.0,299.0,140.0,78.0,0.365,0.305,0.647,11.8,3.5,1.6,0.9,0.0,0.001,-4.9,-0.7
14,14.0,DEN,Michael Porter,Missouri,1.0,45.0,638.0,351.0,195.0,34.0,0.504,0.429,0.767,14.2,7.8,4.3,0.8,2.0,0.151,1.4,0.5
15,15.0,WAS,Troy Brown,Oregon,2.0,110.0,2167.0,815.0,454.0,215.0,0.443,0.329,0.725,19.7,7.4,4.1,2.0,2.7,0.06,-1.7,0.2
16,16.0,PHO,Zhaire Smith,Texas Tech,2.0,13.0,143.0,48.0,15.0,12.0,0.378,0.316,0.667,11.0,3.7,1.2,0.9,0.0,0.012,-6.2,-0.2
17,17.0,MIL,Donte DiVincenzo,Villanova,2.0,84.0,1719.0,652.0,344.0,159.0,0.444,0.318,0.775,20.5,7.8,4.1,1.9,4.9,0.136,0.9,1.3
18,18.0,SAS,Lonnie Walker,Miami (FL),2.0,69.0,869.0,342.0,131.0,53.0,0.425,0.415,0.73,12.6,5.0,1.9,0.8,0.6,0.031,-3.0,-0.2
19,19.0,ATL,Kevin Huerter,Maryland,2.0,127.0,3658.0,1368.0,460.0,398.0,0.417,0.387,0.783,28.8,10.8,3.6,3.1,2.9,0.039,-1.9,0.1
20,20.0,MIN,Josh Okogie,Georgia Tech,2.0,133.0,3218.0,1081.0,473.0,183.0,0.404,0.271,0.762,24.2,8.1,3.6,1.4,3.3,0.049,-2.8,-0.6
21,21.0,UTA,Grayson Allen,Duke,2.0,68.0,914.0,432.0,89.0,68.0,0.412,0.342,0.789,13.4,6.4,1.3,1.0,0.7,0.039,-4.3,-0.5
22,22.0,CHI,Chandler Hutchison,Boise State,2.0,72.0,1422.0,447.0,293.0,60.0,0.458,0.295,0.595,19.8,6.2,4.1,0.8,1.2,0.041,-3.4,-0.5
23,23.0,IND,Aaron Holiday,UCLA,2.0,105.0,1914.0,820.0,193.0,270.0,0.408,0.38,0.852,18.2,7.8,1.8,2.6,2.6,0.066,-1.5,0.2
24,24.0,POR,Anfernee Simons,,2.0,82.0,1500.0,632.0,158.0,107.0,0.405,0.342,0.783,18.3,7.7,1.9,1.3,0.4,0.012,-4.4,-0.9
25,25.0,LAL,Moritz Wagner,Michigan,2.0,77.0,1095.0,535.0,266.0,70.0,0.499,0.313,0.803,14.2,6.9,3.5,0.9,1.7,0.075,-2.7,-0.2
26,26.0,PHI,Landry Shamet,Wichita State,2.0,124.0,3061.0,1166.0,222.0,198.0,0.429,0.413,0.841,24.7,9.4,1.8,1.6,6.3,0.099,-1.6,0.3
27,27.0,BOS,Robert Williams,Texas A&M,2.0,53.0,576.0,171.0,176.0,28.0,0.694,0.0,0.553,10.9,3.2,3.3,0.5,2.4,0.201,2.9,0.7
28,28.0,GSW,Jacob Evans,Cincinnati,2.0,59.0,622.0,168.0,66.0,54.0,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.046,-7.5,-0.9
29,29.0,BRK,Džanan Musa,,2.0,44.0,443.0,167.0,76.0,33.0,0.366,0.213,0.717,10.1,3.8,1.7,0.8,-0.1,-0.009,-5.0,-0.3
30,30.0,ATL,Omari Spellman,Villanova,2.0,95.0,1691.0,642.0,413.0,94.0,0.417,0.366,0.766,17.8,6.8,4.3,1.0,2.4,0.069,-1.5,0.2
33,31.0,PHO,Élie Okobo,,2.0,105.0,1651.0,519.0,185.0,237.0,0.397,0.318,0.728,15.7,4.9,1.8,2.3,0.4,0.012,-4.1,-0.9
34,32.0,MEM,Jevon Carter,West Virginia,2.0,86.0,1261.0,376.0,151.0,132.0,0.352,0.369,0.804,14.7,4.4,1.8,1.5,0.9,0.036,-2.2,0.0
35,33.0,DAL,Jalen Brunson,Villanova,2.0,130.0,2613.0,1144.0,303.0,418.0,0.467,0.352,0.759,20.1,8.8,2.3,3.2,4.9,0.089,-1.3,0.4
36,34.0,ATL,Devonte' Graham,Kansas,2.0,106.0,2773.0,1282.0,270.0,570.0,0.37,0.351,0.803,26.2,12.1,2.5,5.4,3.4,0.058,-0.9,0.8
37,35.0,ORL,Melvin Frazier,Tulane,2.0,25.0,95.0,33.0,9.0,2.0,0.342,0.308,0.375,3.8,1.3,0.4,0.1,-0.1,-0.061,-9.1,-0.2
38,36.0,NYK,Mitchell Robinson,,2.0,123.0,2672.0,1024.0,827.0,73.0,0.713,0.0,0.582,21.7,8.3,6.7,0.6,12.3,0.221,2.7,3.2
39,37.0,SAC,Gary Trent,Duke,2.0,65.0,1110.0,423.0,96.0,53.0,0.415,0.388,0.769,17.1,6.5,1.5,0.8,1.4,0.061,-1.8,0.1
40,38.0,PHI,Khyri Thomas,Creighton,2.0,32.0,229.0,68.0,20.0,10.0,0.312,0.286,0.615,7.2,2.1,0.6,0.3,0.0,-0.007,-5.5,-0.2
41,39.0,PHI,Isaac Bonga,,2.0,78.0,1118.0,275.0,208.0,76.0,0.46,0.344,0.763,14.3,3.5,2.7,1.0,1.5,0.063,-2.7,-0.2
42,40.0,BRK,Rodions Kurucs,,2.0,101.0,1790.0,695.0,342.0,84.0,0.451,0.336,0.746,17.7,6.9,3.4,0.8,2.1,0.057,-2.7,-0.3
