,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Washington Bullets,54.0,28.0,0.659,—,114.9,109.9,4.75
1,Philadelphia 76ers,47.0,35.0,0.573,7.0,109.5,107.7,1.74
2,New Jersey Nets,37.0,45.0,0.451,17.0,107.7,111.9,-4.0
3,New York Knicks,31.0,51.0,0.378,23.0,107.7,111.1,-3.29
4,Boston Celtics,29.0,53.0,0.354,25.0,108.2,113.3,-4.78
5,San Antonio Spurs,48.0,34.0,0.585,—,119.3,114.1,4.97
6,Houston Rockets,47.0,35.0,0.573,1.0,113.4,112.4,0.92
7,Atlanta Hawks,46.0,36.0,0.561,2.0,109.1,107.1,1.92
8,Detroit Pistons,30.0,52.0,0.366,18.0,110.0,112.7,-2.6
9,Cleveland Cavaliers,30.0,52.0,0.366,18.0,106.5,110.2,-3.57
10,New Orleans Jazz,26.0,56.0,0.317,22.0,108.3,114.6,-5.97
11,Kansas City Kings,48.0,34.0,0.585,—,113.1,110.2,2.73
12,Denver Nuggets,47.0,35.0,0.573,1.0,110.7,109.5,1.24
13,Milwaukee Bucks,38.0,44.0,0.463,10.0,114.1,111.8,2.12
14,Indiana Pacers,38.0,44.0,0.463,10.0,108.6,110.2,-1.41
15,Chicago Bulls,31.0,51.0,0.378,17.0,104.7,108.7,-3.78
16,Seattle SuperSonics,52.0,30.0,0.634,—,106.6,103.9,2.69
17,Phoenix Suns,50.0,32.0,0.61,2.0,115.4,111.7,3.55
18,Los Angeles Lakers,47.0,35.0,0.573,5.0,112.9,109.9,2.95
19,Portland Trail Blazers,45.0,37.0,0.549,7.0,108.4,107.1,1.12
20,San Diego Clippers,43.0,39.0,0.524,9.0,113.1,114.9,-1.76
21,Golden State Warriors,38.0,44.0,0.463,14.0,105.1,104.8,0.46
