,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Zaid Abdul-Aziz,C,30.0,BUF,22.0,0.0,8.9,1.1,3.4,0.338,0.0,0.0,0.0,1.1,3.4,0.338,0.338,1.5,2.0,0.767,1.9,2.2,4.1,0.3,0.1,0.4,0.0,1.0,3.8
1,Kareem Abdul-Jabbar*,C,29.0,LAL,82.0,0.0,36.8,10.8,18.7,0.579,0.0,0.0,0.0,10.8,18.7,0.579,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,1.2,3.2,0.0,3.2,26.2
2,Tom Abernethy,SF,22.0,LAL,70.0,0.0,19.7,2.4,5.0,0.484,0.0,0.0,0.0,2.4,5.0,0.484,0.484,1.4,1.9,0.754,1.6,2.5,4.2,1.4,0.7,0.1,0.0,1.7,6.3
3,Alvan Adams,C,22.0,PHO,72.0,0.0,31.6,7.3,15.3,0.474,0.0,0.0,0.0,7.3,15.3,0.474,0.474,3.5,4.6,0.754,2.5,6.6,9.1,4.5,1.3,1.2,0.0,3.6,18.0
4,Don Adams,SF,29.0,BUF,77.0,0.0,22.2,2.8,6.8,0.411,0.0,0.0,0.0,2.8,6.8,0.411,0.411,1.7,2.2,0.746,1.7,3.1,4.8,1.9,1.0,0.2,0.0,2.6,7.3
5,Lucius Allen,PG,29.0,LAL,78.0,0.0,31.8,6.1,13.3,0.456,0.0,0.0,0.0,6.1,13.3,0.456,0.456,2.5,3.2,0.774,0.7,2.5,3.2,5.2,1.5,0.2,0.0,2.3,14.6
6,Jerome Anderson,SG,23.0,IND,27.0,0.0,6.1,1.0,2.2,0.441,0.0,0.0,0.0,1.0,2.2,0.441,0.441,0.5,0.7,0.7,0.3,0.1,0.4,0.4,0.2,0.1,0.0,1.0,2.4
7,Tiny Archibald*,PG,28.0,NYN,34.0,0.0,37.6,7.4,16.5,0.446,0.0,0.0,0.0,7.4,16.5,0.446,0.446,5.8,7.4,0.785,0.6,1.7,2.4,7.5,1.7,0.3,0.0,2.3,20.5
8,Jim Ard,C,28.0,BOS,63.0,0.0,15.4,1.5,4.0,0.378,0.0,0.0,0.0,1.5,4.0,0.378,0.378,0.8,1.2,0.645,1.2,3.5,4.7,0.8,0.3,0.4,0.0,2.0,3.8
9,Bird Averitt,SG,24.0,BUF,75.0,0.0,15.1,3.1,8.3,0.378,0.0,0.0,0.0,3.1,8.3,0.378,0.378,1.6,2.3,0.716,0.3,0.8,1.0,1.8,0.4,0.1,0.0,1.7,7.9
10,Dennis Awtrey,C,28.0,PHO,72.0,0.0,24.4,2.2,5.2,0.429,0.0,0.0,0.0,2.2,5.2,0.429,0.429,1.3,1.8,0.722,1.5,3.4,4.9,2.5,0.3,0.4,0.0,2.4,5.7
11,Mike Bantom,PF-SF,25.0,TOT,77.0,0.0,24.8,4.7,9.8,0.478,0.0,0.0,0.0,4.7,9.8,0.478,0.478,2.9,4.0,0.723,2.4,3.7,6.1,1.3,0.8,0.6,0.0,3.0,12.3
12,Mike Bantom,PF,25.0,SEA,44.0,0.0,18.1,3.1,6.4,0.488,0.0,0.0,0.0,3.1,6.4,0.488,0.488,1.3,1.9,0.69,1.9,2.3,4.2,1.2,0.8,0.5,0.0,2.6,7.5
13,Mike Bantom,SF,25.0,NYN,33.0,0.0,33.8,6.8,14.4,0.473,0.0,0.0,0.0,6.8,14.4,0.473,0.473,5.0,6.8,0.735,3.1,5.6,8.6,1.5,0.8,0.8,0.0,3.6,18.6
14,Tom Barker,C,21.0,ATL,59.0,0.0,22.9,3.1,7.4,0.417,0.0,0.0,0.0,3.1,7.4,0.417,0.417,1.9,2.8,0.683,1.9,4.9,6.8,1.0,0.6,0.7,0.0,3.8,8.1
15,Marvin Barnes,PF,24.0,DET,53.0,0.0,18.7,3.8,8.5,0.447,0.0,0.0,0.0,3.8,8.5,0.447,0.447,2.0,2.9,0.679,1.3,3.5,4.8,0.8,0.7,0.6,0.0,2.6,9.6
16,Jim Barnett,SG,32.0,PHI,16.0,0.0,14.4,1.8,4.0,0.438,0.0,0.0,0.0,1.8,4.0,0.438,0.438,0.6,1.1,0.556,0.4,0.4,0.9,1.4,0.3,0.0,0.0,1.8,4.1
17,Norton Barnhill,SG,23.0,SEA,4.0,0.0,2.5,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.0,0.0,0.0,0.5,0.3,0.8,0.3,0.0,0.0,0.0,1.3,1.0
