,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Steven Adams,C,26.0,OKC,58.0,58.0,1564.0,8.2,13.8,0.591,0.0,0.1,0.333,8.1,13.7,0.593,3.4,5.7,0.59,6.1,10.8,16.9,4.4,1.6,2.0,2.7,3.5,19.7,0.0,123.0,106.0
1,Bam Adebayo,PF,22.0,MIA,64.0,64.0,2200.0,8.8,15.6,0.565,0.0,0.3,0.077,8.8,15.3,0.575,5.2,7.6,0.691,3.6,11.4,15.0,7.2,1.7,1.9,4.0,3.6,22.9,0.0,117.0,105.0
2,LaMarcus Aldridge,C,34.0,SAS,52.0,52.0,1717.0,10.7,21.5,0.495,1.7,4.3,0.392,9.0,17.3,0.52,4.3,5.2,0.829,2.9,8.0,10.9,3.6,0.9,2.3,2.0,3.6,27.3,0.0,115.0,113.0
3,Nickeil Alexander-Walker,SG,21.0,NOP,41.0,0.0,501.0,7.1,20.9,0.339,3.7,10.8,0.342,3.4,10.1,0.336,1.6,2.6,0.607,0.7,6.6,7.4,6.8,1.0,0.6,3.7,4.2,19.5,0.0,91.0,113.0
4,Grayson Allen,SG,24.0,MEM,30.0,0.0,498.0,7.4,16.5,0.449,3.1,8.5,0.363,4.3,8.0,0.541,2.8,3.3,0.857,0.5,5.7,6.2,4.0,0.6,0.1,2.2,3.4,20.7,0.0,111.0,115.0
5,Jarrett Allen,C,21.0,BRK,63.0,58.0,1627.0,7.8,12.0,0.647,0.0,0.1,0.0,7.8,11.8,0.655,4.3,6.8,0.627,5.6,11.9,17.4,2.5,1.0,2.4,2.1,4.1,19.8,0.0,130.0,105.0
6,Kadeem Allen,SG,27.0,NYK,10.0,0.0,117.0,7.9,18.3,0.432,2.1,6.7,0.313,5.8,11.7,0.5,2.9,4.6,0.636,0.8,2.9,3.8,8.8,2.1,0.8,3.3,2.9,20.8,0.0,106.0,114.0
7,Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,380.0,3.2,11.1,0.291,1.2,4.6,0.25,2.1,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.2,2.7,2.3,1.0,2.2,3.5,10.0,0.0,88.0,107.0
8,Justin Anderson,SF,26.0,BRK,3.0,0.0,17.0,2.8,16.7,0.167,0.0,8.4,0.0,2.8,8.4,0.333,2.8,5.6,0.5,0.0,5.6,5.6,0.0,0.0,2.8,0.0,5.6,8.4,0.0,50.0,110.0
9,Kyle Anderson,PF,26.0,MEM,58.0,19.0,1114.0,5.8,11.7,0.495,0.7,2.6,0.258,5.1,9.1,0.562,1.7,2.6,0.645,2.3,8.3,10.6,5.5,1.9,1.3,2.3,3.5,13.9,0.0,110.0,109.0
10,Ryan Anderson,PF,31.0,HOU,2.0,0.0,14.0,6.6,23.2,0.286,3.3,16.6,0.2,3.3,6.6,0.5,0.0,0.0,0.0,0.0,23.2,23.2,6.6,3.3,0.0,3.3,3.3,16.6,0.0,78.0,98.0
11,Giannis Antetokounmpo,PF,25.0,MIL,57.0,57.0,1763.0,16.2,29.5,0.547,2.2,7.0,0.306,14.0,22.5,0.622,9.4,14.8,0.633,3.4,16.9,20.3,8.5,1.5,1.5,5.4,4.5,43.8,0.0,116.0,96.0
12,Kostas Antetokounmpo,PF,22.0,LAL,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,226.0,110.0
13,Thanasis Antetokounmpo,SF,27.0,MIL,18.0,2.0,93.0,9.3,17.7,0.528,0.0,3.4,0.0,9.3,14.3,0.655,3.4,7.4,0.467,5.4,3.9,9.3,4.4,2.9,1.0,5.4,6.4,22.1,0.0,99.0,101.0
14,Carmelo Anthony,PF,35.0,POR,49.0,49.0,1591.0,8.4,19.9,0.422,2.1,5.7,0.366,6.3,14.1,0.445,3.4,4.0,0.848,1.8,7.5,9.3,2.2,1.1,0.6,2.6,4.2,22.2,0.0,102.0,115.0
15,OG Anunoby,SF,22.0,TOR,63.0,62.0,1897.0,6.7,13.3,0.507,2.1,5.4,0.381,4.7,7.8,0.593,1.5,2.2,0.686,1.9,6.7,8.6,2.5,2.2,1.1,1.9,3.9,17.0,0.0,113.0,104.0
16,Ryan Arcidiacono,PG,25.0,CHI,58.0,4.0,930.0,4.7,11.4,0.409,2.8,7.1,0.391,1.9,4.2,0.439,1.4,2.0,0.711,1.0,4.7,5.7,5.0,1.4,0.2,1.9,5.0,13.5,0.0,111.0,113.0
17,Trevor Ariza,SF,34.0,TOT,52.0,20.0,1456.0,4.5,10.3,0.433,2.4,6.6,0.362,2.1,3.7,0.558,2.0,2.3,0.843,1.1,6.9,8.0,3.0,2.3,0.5,1.8,3.6,13.3,0.0,113.0,112.0
18,Trevor Ariza,SF,34.0,SAC,32.0,0.0,791.0,3.9,10.2,0.388,2.7,7.5,0.352,1.3,2.7,0.488,1.3,1.7,0.778,1.3,7.7,9.0,3.1,2.2,0.4,1.7,3.9,11.8,0.0,108.0,110.0
19,Trevor Ariza,SF,34.0,POR,20.0,20.0,665.0,5.1,10.5,0.483,2.1,5.5,0.377,3.0,5.0,0.6,2.7,3.1,0.884,0.9,5.9,6.7,2.9,2.4,0.5,1.9,3.3,15.0,0.0,120.0,113.0
20,D.J. Augustin,PG,32.0,ORL,48.0,6.0,1191.0,6.2,15.8,0.392,2.4,7.0,0.341,3.8,8.8,0.433,5.5,6.3,0.882,0.7,3.7,4.4,9.0,1.2,0.0,2.7,2.1,20.3,0.0,114.0,114.0
21,Deandre Ayton,C,21.0,PHO,30.0,25.0,996.0,12.1,22.1,0.548,0.0,0.1,0.0,12.1,22.0,0.552,2.9,3.7,0.769,5.8,11.3,17.1,2.7,1.0,2.4,3.4,4.6,27.1,0.0,110.0,108.0
23,Dwayne Bacon,SG,24.0,CHO,39.0,11.0,687.0,6.2,17.8,0.348,1.4,4.9,0.284,4.8,12.9,0.373,2.5,3.9,0.66,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,0.0,86.0,114.0
24,Marvin Bagley,PF,20.0,SAC,13.0,6.0,334.0,11.4,24.4,0.467,0.6,3.2,0.182,10.8,21.2,0.51,3.7,4.5,0.806,4.2,9.9,14.2,1.5,0.9,1.8,2.6,6.3,27.0,0.0,102.0,110.0
25,Lonzo Ball,PG,22.0,NOP,56.0,47.0,1817.0,6.6,16.0,0.412,3.5,9.2,0.383,3.1,6.7,0.453,1.0,1.7,0.567,1.6,7.2,8.8,10.0,2.0,0.8,4.4,2.8,17.7,0.0,105.0,111.0
26,Mo Bamba,C,21.0,ORL,59.0,0.0,855.0,7.4,15.9,0.468,2.1,5.8,0.353,5.4,10.1,0.534,1.8,2.6,0.689,5.4,11.3,16.7,2.3,1.1,4.9,2.4,6.5,18.7,0.0,111.0,103.0
27,J.J. Barea,PG,35.0,DAL,25.0,4.0,374.0,9.5,22.9,0.412,3.8,9.8,0.382,5.7,13.1,0.436,2.2,2.3,0.944,1.3,4.8,6.1,12.3,0.5,0.3,4.4,2.8,24.9,0.0,110.0,115.0
28,Harrison Barnes,PF,27.0,SAC,64.0,64.0,2231.0,7.1,15.5,0.459,2.0,5.3,0.383,5.1,10.2,0.498,4.3,5.3,0.803,1.3,5.4,6.7,3.3,0.8,0.2,1.7,1.8,20.6,0.0,116.0,115.0
29,RJ Barrett,SG,19.0,NYK,54.0,53.0,1635.0,8.3,20.8,0.398,1.8,5.6,0.321,6.5,15.2,0.427,4.3,7.2,0.602,1.5,6.5,8.0,4.1,1.5,0.5,3.5,3.6,22.7,0.0,94.0,114.0
30,Will Barton,SF,29.0,DEN,57.0,57.0,1878.0,8.5,19.0,0.448,2.7,7.3,0.373,5.8,11.6,0.495,2.7,3.4,0.771,2.0,7.4,9.4,5.5,1.6,0.7,2.3,3.2,22.4,0.0,112.0,110.0
31,Keita Bates-Diop,SF,24.0,TOT,39.0,0.0,665.0,6.2,14.5,0.428,2.2,6.6,0.33,4.1,8.0,0.509,3.4,4.8,0.71,1.5,6.4,7.8,2.1,1.2,1.5,1.0,2.7,18.0,0.0,112.0,113.0
32,Keita Bates-Diop,SF,24.0,MIN,37.0,0.0,646.0,6.3,14.8,0.422,2.2,6.8,0.33,4.0,8.0,0.5,3.3,4.7,0.708,1.5,6.4,7.9,2.2,1.2,1.4,1.0,2.6,18.0,0.0,111.0,113.0
33,Keita Bates-Diop,SF,24.0,DEN,2.0,0.0,19.0,5.2,5.2,1.0,0.0,0.0,0.0,5.2,5.2,1.0,7.8,10.4,0.75,0.0,5.2,5.2,0.0,0.0,2.6,0.0,5.2,18.2,0.0,193.0,112.0
34,Nicolas Batum,SF,31.0,CHO,22.0,3.0,505.0,2.8,8.0,0.346,1.4,4.9,0.286,1.4,3.2,0.438,0.9,1.0,0.9,2.5,7.4,9.9,6.5,1.7,0.8,2.2,4.1,7.8,0.0,107.0,112.0
35,Aron Baynes,C,33.0,PHO,41.0,27.0,901.0,9.5,19.3,0.49,3.0,8.5,0.36,6.4,10.8,0.592,2.9,3.9,0.747,3.7,8.7,12.3,3.5,0.5,1.2,2.5,7.3,24.9,0.0,115.0,112.0
36,Kent Bazemore,SF-SG,30.0,TOT,64.0,21.0,1604.0,5.5,14.8,0.374,2.3,6.8,0.342,3.2,8.0,0.401,3.3,4.2,0.768,0.7,7.6,8.3,2.5,2.1,1.2,2.5,5.4,16.7,0.0,96.0,111.0
37,Kent Bazemore,SF,30.0,POR,43.0,21.0,1111.0,4.8,14.0,0.347,2.4,7.3,0.327,2.4,6.6,0.368,2.5,3.1,0.806,0.6,6.8,7.4,2.6,1.9,1.3,2.6,5.2,14.6,0.0,92.0,113.0
38,Kent Bazemore,SG,30.0,SAC,21.0,0.0,493.0,7.1,16.7,0.426,2.2,5.6,0.386,4.9,11.1,0.446,5.0,6.9,0.729,1.1,9.3,10.4,2.4,2.5,0.8,2.5,6.0,21.5,0.0,104.0,108.0
39,Darius Bazley,PF,19.0,OKC,53.0,8.0,909.0,4.7,12.3,0.383,1.6,5.4,0.3,3.1,7.0,0.446,1.7,2.5,0.681,1.1,9.4,10.5,1.6,1.1,1.9,2.1,2.4,12.7,0.0,90.0,108.0
40,Bradley Beal,SG,26.0,WAS,56.0,56.0,2015.0,13.5,29.6,0.455,3.8,10.9,0.352,9.6,18.7,0.515,8.6,10.2,0.842,1.2,4.3,5.5,7.9,1.6,0.5,4.4,2.9,39.4,0.0,113.0,118.0
41,Malik Beasley,SG,23.0,TOT,54.0,13.0,1176.0,9.2,21.5,0.43,4.4,11.1,0.391,4.9,10.3,0.472,2.2,2.7,0.818,0.7,5.2,6.0,3.0,1.6,0.3,2.3,3.1,25.0,0.0,106.0,113.0
42,Malik Beasley,SG,23.0,DEN,41.0,0.0,746.0,7.7,19.9,0.389,3.8,10.7,0.36,3.9,9.3,0.421,2.2,2.5,0.868,0.6,4.5,5.1,3.2,2.1,0.4,2.4,3.3,21.5,0.0,100.0,111.0
