,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,56.0,26.0,0.683,—,109.0,105.1,3.42
1,New York Knicks,49.0,33.0,0.598,7.0,101.3,98.5,2.42
2,Buffalo Braves,42.0,40.0,0.512,14.0,111.6,111.8,-0.19
3,Philadelphia 76ers,25.0,57.0,0.305,31.0,101.2,107.5,-5.94
4,Capital Bullets,47.0,35.0,0.573,—,101.9,100.4,1.19
5,Atlanta Hawks,35.0,47.0,0.427,12.0,108.6,110.0,-1.47
6,Houston Rockets,32.0,50.0,0.39,15.0,107.4,107.6,-0.34
7,Cleveland Cavaliers,29.0,53.0,0.354,18.0,100.3,104.6,-4.16
8,Milwaukee Bucks,59.0,23.0,0.72,—,107.1,99.0,7.61
9,Chicago Bulls,54.0,28.0,0.659,5.0,102.0,98.7,3.2
10,Detroit Pistons,52.0,30.0,0.634,7.0,104.4,100.3,4.02
11,Kansas City,33.0,49.0,0.402,26.0,102.0,105.8,-3.24
12,Los Angeles Lakers,47.0,35.0,0.573,—,109.2,108.3,0.85
13,Golden State Warriors,44.0,38.0,0.537,3.0,109.9,107.3,2.42
14,Seattle SuperSonics,36.0,46.0,0.439,11.0,107.0,109.5,-2.29
15,Phoenix Suns,30.0,52.0,0.366,17.0,107.9,111.5,-3.2
16,Portland Trail Blazers,27.0,55.0,0.329,20.0,106.8,111.6,-4.3
