,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,56.0,26.0,0.683,—,96.5,91.1,4.83
1,New York Knicks,42.0,40.0,0.512,14.0,106.5,105.7,0.48
2,Philadelphia 76ers,41.0,41.0,0.5,15.0,99.0,97.5,1.01
3,New Jersey Nets,24.0,58.0,0.293,32.0,94.2,100.4,-6.28
4,Toronto Raptors,22.0,60.0,0.268,34.0,99.1,105.4,-6.28
5,Chicago Bulls,62.0,20.0,0.756,—,98.6,91.3,6.53
6,Indiana Pacers,37.0,45.0,0.451,25.0,99.8,100.9,-1.38
7,Milwaukee Bucks,35.0,47.0,0.427,27.0,91.9,92.7,-1.02
8,Detroit Pistons,30.0,52.0,0.366,32.0,97.0,100.6,-3.78
9,Cleveland Cavaliers,19.0,63.0,0.232,43.0,95.5,104.5,-8.88
10,Miami Heat,58.0,24.0,0.707,—,102.1,94.6,6.76
11,Orlando Magic,52.0,30.0,0.634,6.0,99.2,93.7,4.92
12,Atlanta Hawks,44.0,38.0,0.537,14.0,95.0,95.8,-1.1
13,Charlotte Bobcats,34.0,48.0,0.415,24.0,93.3,97.3,-4.08
14,Washington Wizards,23.0,59.0,0.28,35.0,97.3,104.7,-7.3
15,Oklahoma City Thunder,55.0,27.0,0.671,—,104.8,101.0,3.81
16,Denver Nuggets,50.0,32.0,0.61,5.0,107.5,102.7,4.81
17,Portland Trail Blazers,48.0,34.0,0.585,7.0,96.3,94.8,1.85
18,Utah Jazz,39.0,43.0,0.476,16.0,99.4,101.3,-1.44
19,Minnesota Timberwolves,17.0,65.0,0.207,38.0,101.1,107.7,-5.97
20,Los Angeles Lakers,57.0,25.0,0.695,—,101.5,95.4,6.01
21,Phoenix Suns,40.0,42.0,0.488,17.0,105.0,105.9,-0.46
22,Golden State Warriors,36.0,46.0,0.439,21.0,103.4,105.7,-2.0
23,Los Angeles Clippers,32.0,50.0,0.39,25.0,98.6,101.8,-2.71
24,Sacramento Kings,24.0,58.0,0.293,33.0,99.4,104.7,-4.8
25,San Antonio Spurs,61.0,21.0,0.744,—,103.7,98.0,5.86
26,Dallas Mavericks,57.0,25.0,0.695,4.0,100.2,96.0,4.41
27,New Orleans Hornets,46.0,36.0,0.561,15.0,94.9,94.0,1.28
28,Memphis Grizzlies,46.0,36.0,0.561,15.0,99.9,97.6,2.55
29,Houston Rockets,43.0,39.0,0.524,18.0,105.9,103.7,2.37
