,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Boston Celtics,45.0,37.0,0.549,—,101.3,100.4,0.35
1,Philadelphia 76ers,43.0,39.0,0.524,2.0,99.1,99.9,-1.07
2,New Jersey Nets,42.0,40.0,0.512,3.0,91.4,92.9,-1.82
3,Toronto Raptors,33.0,49.0,0.402,12.0,99.7,101.4,-1.81
4,New York Knicks,33.0,49.0,0.402,12.0,97.3,99.7,-2.72
5,Detroit Pistons,54.0,28.0,0.659,—,93.3,89.5,3.31
6,Chicago Bulls,47.0,35.0,0.573,7.0,94.5,93.4,0.65
7,Indiana Pacers,44.0,38.0,0.537,10.0,93.0,92.2,0.49
8,Cleveland Cavaliers,42.0,40.0,0.512,12.0,96.5,95.7,0.27
9,Milwaukee Bucks,30.0,52.0,0.366,24.0,97.2,100.2,-3.09
10,Miami Heat,59.0,23.0,0.72,—,101.5,95.0,5.77
11,Washington Wizards,45.0,37.0,0.549,14.0,100.5,100.8,-0.71
12,Orlando Magic,36.0,46.0,0.439,23.0,99.5,101.8,-2.52
13,Charlotte Bobcats,18.0,64.0,0.22,41.0,94.3,100.2,-6.15
14,Atlanta Hawks,13.0,69.0,0.159,46.0,92.7,102.5,-9.62
15,Seattle SuperSonics,52.0,30.0,0.634,—,98.9,96.6,2.59
16,Denver Nuggets,49.0,33.0,0.598,3.0,99.5,97.5,2.23
17,Minnesota Timberwolves,44.0,38.0,0.537,8.0,96.8,95.3,1.73
18,Portland Trail Blazers,27.0,55.0,0.329,25.0,92.9,96.9,-3.45
19,Utah Jazz,26.0,56.0,0.317,26.0,93.0,97.3,-3.74
20,Phoenix Suns,62.0,20.0,0.756,—,110.4,103.3,7.08
21,Sacramento Kings,50.0,32.0,0.61,12.0,103.7,101.6,2.56
22,Los Angeles Clippers,37.0,45.0,0.451,25.0,95.7,96.5,-0.47
23,Los Angeles Lakers,34.0,48.0,0.415,28.0,98.7,101.7,-2.32
24,Golden State Warriors,34.0,48.0,0.415,28.0,98.7,100.9,-1.74
25,San Antonio Spurs,59.0,23.0,0.72,—,96.2,88.4,7.84
26,Dallas Mavericks,58.0,24.0,0.707,1.0,102.5,96.8,5.86
27,Houston Rockets,51.0,31.0,0.622,8.0,95.1,91.0,4.27
28,Memphis Grizzlies,45.0,37.0,0.549,14.0,93.4,91.1,2.64
29,New Orleans Hornets,18.0,64.0,0.22,41.0,88.4,95.5,-6.3
