,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shareef Abdur-Rahim,PF,27.0,TOT,85.0,56.0,2684.0,6.7,14.1,0.475,0.1,0.5,0.265,6.6,13.7,0.482,5.0,5.8,0.869,2.5,6.0,8.6,2.3,0.9,0.5,2.5,3.0,18.6
1,Shareef Abdur-Rahim,PF,27.0,ATL,53.0,53.0,1956.0,7.0,14.5,0.485,0.1,0.4,0.217,7.0,14.1,0.493,5.4,6.1,0.88,2.6,6.5,9.1,2.3,0.8,0.3,2.4,2.7,19.6
2,Shareef Abdur-Rahim,PF,27.0,POR,32.0,3.0,728.0,5.8,13.1,0.447,0.2,0.5,0.364,5.6,12.5,0.451,3.9,4.7,0.832,2.4,4.7,7.1,2.3,1.2,0.9,2.6,3.7,15.8
3,Malik Allen,PF,25.0,MIA,45.0,6.0,616.0,4.9,11.6,0.419,0.0,0.0,0.0,4.9,11.6,0.419,1.5,1.9,0.758,2.5,4.5,7.0,0.9,0.7,1.6,1.6,4.7,11.2
4,Ray Allen*,SG,28.0,SEA,56.0,56.0,2152.0,7.5,17.0,0.44,2.5,6.3,0.392,5.0,10.7,0.468,4.1,4.5,0.904,1.2,3.6,4.8,4.5,1.2,0.2,2.6,2.2,21.5
5,Rafer Alston,PG,27.0,MIA,82.0,28.0,2581.0,4.0,10.7,0.376,2.2,6.1,0.371,1.8,4.6,0.382,1.4,1.9,0.769,0.4,2.8,3.2,5.2,1.6,0.3,1.8,3.0,11.7
6,Chris Andersen,PF,25.0,DEN,71.0,0.0,1029.0,3.1,7.1,0.443,0.0,0.0,0.0,3.1,7.1,0.446,2.2,3.7,0.589,3.1,7.3,10.4,1.2,1.2,4.0,1.7,4.2,8.5
7,Derek Anderson,SG,29.0,POR,51.0,46.0,1810.0,4.6,12.2,0.376,1.6,5.2,0.305,3.0,7.0,0.428,3.1,3.7,0.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.6,13.8
8,Kenny Anderson,PG,33.0,IND,44.0,31.0,905.0,4.5,10.2,0.441,0.0,0.2,0.25,4.5,10.0,0.444,1.4,1.9,0.729,0.8,2.5,3.2,5.0,1.0,0.2,2.0,2.9,10.4
9,Shandon Anderson,SG,30.0,NYK,80.0,37.0,1974.0,4.3,10.3,0.422,0.7,2.3,0.281,3.7,8.0,0.463,2.2,2.9,0.764,1.0,3.1,4.0,2.2,1.2,0.3,2.2,3.3,11.6
10,Carmelo Anthony,SF,19.0,DEN,82.0,82.0,2995.0,7.5,17.6,0.426,0.8,2.6,0.322,6.7,15.0,0.444,4.9,6.3,0.777,2.2,3.8,6.0,2.7,1.2,0.5,3.0,2.7,20.7
11,Robert Archibald,C-PF,23.0,TOT,32.0,3.0,256.0,1.3,4.6,0.273,0.0,0.0,0.0,1.3,4.6,0.273,2.0,4.4,0.452,3.0,4.4,7.3,1.8,2.0,0.4,1.4,7.0,4.5
