,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Philadelphia 76ers,68.0,13.0,0.84,—,125.2,115.8,8.5
1,Boston Celtics,60.0,21.0,0.741,8.0,119.3,111.3,7.24
2,Cincinnati Royals,39.0,42.0,0.481,29.0,117.1,117.4,-0.23
3,New York Knicks,36.0,45.0,0.444,32.0,116.4,119.4,-2.74
4,Baltimore Bullets,20.0,61.0,0.247,48.0,115.5,122.0,-5.87
5,San Francisco Warriors,44.0,37.0,0.543,—,122.4,119.5,2.58
6,St. Louis Hawks,39.0,42.0,0.481,5.0,113.6,115.2,-1.44
7,Los Angeles Lakers,36.0,45.0,0.444,8.0,120.5,120.2,0.31
8,Chicago Bulls,33.0,48.0,0.407,11.0,113.2,116.9,-3.37
9,Detroit Pistons,30.0,51.0,0.37,14.0,111.3,116.8,-4.98
