,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
542,Klay Thompson,SG,26.0,GSW,78.0,78.0,2649.0,11.7,25.0,0.468,4.9,11.8,0.414,6.8,13.2,0.516,3.4,4.0,0.853,0.9,4.3,5.2,2.9,1.2,0.7,2.3,2.5,31.6,0.0,111.0,108.0
543,Tristan Thompson,C,25.0,CLE,78.0,78.0,2336.0,5.6,9.3,0.6,0.0,0.1,0.0,5.6,9.3,0.604,2.3,4.6,0.498,6.1,9.2,15.3,1.6,0.8,1.8,1.4,3.8,13.5,0.0,128.0,109.0
544,Marcus Thornton,SG,29.0,WAS,33.0,1.0,575.0,7.2,18.0,0.4,2.4,6.9,0.35,4.8,11.1,0.431,2.0,2.3,0.852,1.9,4.6,6.5,3.5,1.6,0.3,2.1,4.1,18.8,0.0,102.0,112.0
545,Mike Tobey,C,22.0,CHO,2.0,0.0,25.0,2.0,8.0,0.25,0.0,0.0,0.0,2.0,8.0,0.25,0.0,0.0,0.0,4.0,2.0,6.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,73.0,116.0
546,Anthony Tolliver,PF,31.0,SAC,65.0,9.0,1477.0,5.3,12.0,0.442,3.1,7.9,0.391,2.2,4.1,0.537,2.1,2.8,0.744,1.7,6.4,8.1,2.6,1.2,0.7,1.9,3.7,15.8,0.0,113.0,113.0
547,Axel Toupane,SF,24.0,TOT,4.0,0.0,47.0,5.2,9.4,0.556,1.0,4.2,0.25,4.2,5.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.3,11.5,0.0,117.0,113.0
548,Axel Toupane,SF,24.0,MIL,2.0,0.0,6.0,0.0,8.5,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,118.0
549,Axel Toupane,SF,24.0,NOP,2.0,0.0,41.0,6.0,9.6,0.625,1.2,3.6,0.333,4.8,6.0,0.8,0.0,0.0,0.0,0.0,1.2,1.2,0.0,1.2,1.2,0.0,6.0,13.1,0.0,132.0,112.0
550,Karl-Anthony Towns,C,21.0,MIN,82.0,82.0,3030.0,13.4,24.8,0.542,1.7,4.6,0.367,11.7,20.2,0.582,6.0,7.2,0.832,5.0,11.9,16.9,3.7,0.9,1.7,3.5,4.0,34.5,0.0,121.0,110.0
551,P.J. Tucker,SF,31.0,TOT,81.0,21.0,2236.0,4.3,10.5,0.413,1.5,4.3,0.357,2.8,6.2,0.451,1.6,2.0,0.774,2.5,7.7,10.2,2.2,2.5,0.4,1.4,4.3,11.7,0.0,109.0,109.0
552,P.J. Tucker,SF,31.0,PHO,57.0,17.0,1627.0,4.3,10.4,0.415,1.4,4.0,0.338,3.0,6.4,0.463,1.8,2.3,0.792,2.8,7.3,10.1,2.1,2.5,0.4,1.5,4.2,11.8,0.0,109.0,111.0
553,P.J. Tucker,SF,31.0,TOR,24.0,4.0,609.0,4.3,10.7,0.406,2.0,5.0,0.4,2.3,5.7,0.412,0.9,1.3,0.688,1.9,8.8,10.7,2.2,2.6,0.4,1.2,4.4,11.6,0.0,110.0,106.0
554,Evan Turner,SF,28.0,POR,65.0,12.0,1658.0,7.0,16.5,0.426,0.9,3.5,0.263,6.1,13.0,0.47,2.5,3.1,0.825,1.1,6.3,7.4,6.1,1.6,0.7,3.0,3.6,17.5,0.0,100.0,111.0
555,Myles Turner,C,20.0,IND,81.0,81.0,2541.0,8.7,17.1,0.511,0.8,2.3,0.348,8.0,14.9,0.536,4.8,6.0,0.809,2.7,8.9,11.6,2.1,1.5,3.4,2.1,5.2,23.1,0.0,115.0,105.0
556,Beno Udrih,PG,34.0,DET,39.0,0.0,560.0,8.3,17.8,0.467,1.0,2.9,0.344,7.3,14.9,0.491,2.9,3.1,0.941,0.5,4.6,5.1,11.8,1.2,0.0,3.2,2.6,20.5,0.0,112.0,110.0
557,Tyler Ulis,PG,21.0,PHO,61.0,15.0,1123.0,7.8,18.6,0.421,0.9,3.4,0.266,6.9,15.3,0.455,2.3,3.0,0.775,0.9,3.2,4.0,9.6,2.0,0.2,3.3,3.1,18.9,0.0,102.0,114.0
558,Jarrod Uthoff,PF,23.0,DAL,9.0,0.0,115.0,7.2,17.2,0.421,1.4,4.1,0.333,5.9,13.1,0.448,2.3,3.2,0.714,3.6,6.3,10.0,4.1,0.9,1.8,1.4,3.6,18.1,0.0,107.0,109.0
559,Jonas Valanciunas,C,24.0,TOR,80.0,80.0,2066.0,9.6,17.2,0.557,0.0,0.0,0.5,9.6,17.2,0.557,4.3,5.3,0.811,5.5,13.1,18.6,1.4,0.9,1.5,2.6,5.3,23.5,0.0,120.0,105.0
561,Denzel Valentine,SG,23.0,CHI,57.0,0.0,976.0,5.3,14.9,0.354,3.8,10.7,0.351,1.5,4.1,0.363,0.7,0.9,0.778,0.6,7.2,7.8,3.3,1.5,0.4,2.5,4.4,15.0,0.0,95.0,108.0
562,Fred VanVleet,PG,22.0,TOR,37.0,0.0,294.0,6.7,19.1,0.351,1.9,5.0,0.379,4.8,14.1,0.341,3.1,3.8,0.818,0.7,6.6,7.2,6.0,2.8,0.5,2.6,6.2,18.4,0.0,96.0,106.0
563,Anderson Varejao,C,34.0,GSW,14.0,1.0,92.0,2.6,7.3,0.357,0.0,0.0,0.0,2.6,7.3,0.357,4.2,5.8,0.727,6.3,7.8,14.1,5.2,1.6,1.6,4.2,8.4,9.4,0.0,104.0,104.0
564,Greivis Vasquez,PG,30.0,BRK,3.0,0.0,39.0,2.4,9.7,0.25,1.2,3.6,0.333,1.2,6.1,0.2,2.4,3.6,0.667,0.0,2.4,2.4,6.1,1.2,1.2,1.2,7.3,8.5,0.0,91.0,113.0
565,Rashad Vaughn,SG,20.0,MIL,41.0,2.0,458.0,6.3,17.3,0.365,2.9,9.0,0.321,3.4,8.3,0.413,0.2,0.6,0.4,0.4,5.0,5.4,2.6,2.1,1.1,1.6,3.5,15.7,0.0,89.0,110.0
566,Noah Vonleh,PF,21.0,POR,74.0,41.0,1265.0,5.1,10.6,0.481,0.3,0.8,0.35,4.8,9.8,0.492,2.4,3.7,0.638,5.1,10.0,15.2,1.2,1.2,1.1,2.5,6.0,12.8,0.0,106.0,110.0
567,Nikola Vucevic,C,26.0,ORL,75.0,55.0,2163.0,11.1,23.6,0.468,0.5,1.7,0.307,10.5,21.9,0.481,2.5,3.7,0.669,4.0,13.8,17.9,4.8,1.7,1.7,2.7,4.1,25.1,0.0,103.0,105.0
568,Sasha Vujacic,SG,32.0,NYK,42.0,4.0,408.0,5.1,16.7,0.309,2.8,9.1,0.311,2.3,7.6,0.306,2.1,2.9,0.708,1.5,5.8,7.2,6.4,1.6,0.2,2.0,4.7,15.2,0.0,98.0,113.0
569,Dwyane Wade,SG,35.0,CHI,60.0,59.0,1792.0,11.6,26.8,0.434,1.3,4.1,0.31,10.4,22.8,0.456,6.3,7.9,0.794,1.8,5.8,7.6,6.4,2.4,1.2,3.9,3.1,30.8,0.0,103.0,106.0
570,Dion Waiters,SG,25.0,MIA,46.0,43.0,1384.0,10.2,24.1,0.424,3.1,7.8,0.395,7.1,16.3,0.438,3.0,4.6,0.646,0.7,4.9,5.6,7.3,1.5,0.7,3.8,3.5,26.6,0.0,101.0,109.0
571,Kemba Walker,PG,26.0,CHO,79.0,79.0,2739.0,11.8,26.5,0.444,4.4,11.0,0.399,7.4,15.5,0.476,5.6,6.6,0.847,0.8,4.8,5.6,7.9,1.6,0.4,3.1,2.2,33.5,0.0,113.0,111.0
