,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,Arron Afflalo,SG,24.0,DEN,82.0,2221.0,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,0.0,2.8,1.4,4.3,0.092,-0.2,-0.2,-0.4,0.9
1,Alexis Ajinca,C,21.0,CHA,6.0,30.0,6.3,0.479,0.0,0.1,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,0.0,-0.1,0.0,0.0,-0.013,-6.3,1.0,-5.3,0.0
2,LaMarcus Aldridge,PF,24.0,POR,78.0,2922.0,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,0.0,5.5,3.3,8.8,0.145,1.4,-0.2,1.2,2.3
3,Joe Alexander,SF,23.0,CHI,8.0,29.0,2.8,0.273,0.167,0.5,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,0.0,0.0,0.0,0.0,0.03,-9.1,0.9,-8.3,0.0
4,Malik Allen,PF,31.0,DEN,51.0,456.0,5.9,0.431,0.052,0.112,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14.0,0.0,-0.3,0.3,0.1,0.009,-4.7,-1.0,-5.7,-0.4
5,Ray Allen*,SG,34.0,BOS,80.0,2819.0,15.2,0.601,0.41,0.26,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,0.0,5.1,2.9,7.9,0.135,1.5,-0.3,1.2,2.3
6,Tony Allen,SG,28.0,BOS,54.0,889.0,14.2,0.54,0.02,0.47,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,0.0,0.2,1.6,1.9,0.1,-1.8,2.2,0.4,0.5
7,Rafer Alston,PG,33.0,TOT,52.0,1421.0,8.2,0.443,0.377,0.182,1.0,9.7,5.3,20.2,1.9,0.5,16.5,18.8,0.0,-1.6,1.2,-0.4,-0.013,-3.3,-0.5,-3.8,-0.6
8,Rafer Alston,PG,33.0,NJN,27.0,766.0,8.7,0.436,0.314,0.195,1.3,10.4,5.6,23.1,1.9,0.5,16.9,21.7,0.0,-1.2,0.4,-0.8,-0.051,-3.0,-1.1,-4.0,-0.4
9,Rafer Alston,PG,33.0,MIA,25.0,655.0,7.7,0.456,0.479,0.16,0.7,8.9,4.8,16.7,1.9,0.6,15.8,15.4,0.0,-0.4,0.8,0.4,0.031,-3.7,0.3,-3.4,-0.2
10,Lou Amundson,PF,27.0,PHO,79.0,1168.0,14.4,0.562,0.004,0.446,13.1,19.9,16.7,3.7,1.0,4.4,14.7,14.6,0.0,1.5,1.3,2.9,0.118,-1.5,0.4,-1.1,0.3
11,Chris Andersen,PF,31.0,DEN,76.0,1695.0,15.8,0.631,0.012,0.94,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,0.0,3.2,2.7,5.9,0.166,-0.1,1.9,1.8,1.6
