,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Philadelphia 76ers,62.0,20.0,0.756,—,122.6,114.0,7.96
1,Boston Celtics,54.0,28.0,0.659,8.0,116.1,112.0,3.87
2,New York Knicks,43.0,39.0,0.524,19.0,116.1,114.3,1.78
3,Detroit Pistons,40.0,42.0,0.488,22.0,118.6,120.6,-1.7
4,Cincinnati Royals,39.0,43.0,0.476,23.0,116.6,117.5,-0.64
5,Baltimore Bullets,36.0,46.0,0.439,26.0,117.4,117.8,-0.23
6,St. Louis Hawks,56.0,26.0,0.683,—,113.0,110.3,2.37
7,Los Angeles Lakers,52.0,30.0,0.634,4.0,121.2,115.6,4.99
8,San Francisco Warriors,43.0,39.0,0.524,13.0,117.0,117.6,-0.66
9,Chicago Bulls,29.0,53.0,0.354,27.0,109.5,113.5,-3.76
10,Seattle SuperSonics,23.0,59.0,0.28,33.0,118.7,125.1,-6.0
11,San Diego Rockets,15.0,67.0,0.183,41.0,112.4,121.0,-7.94
