,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Milwaukee Bucks,53.0,12.0,0.815,—,118.6,107.4,10.42
1,Toronto Raptors,46.0,18.0,0.719,6.5,113.0,106.5,5.84
2,Boston Celtics,42.0,21.0,0.667,10.0,113.0,106.8,5.68
3,Miami Heat,41.0,23.0,0.641,11.5,112.4,108.9,2.86
4,Indiana Pacers,39.0,25.0,0.609,13.5,109.3,107.3,1.57
5,Philadelphia 76ers,38.0,26.0,0.594,14.5,109.4,107.4,2.04
6,Brooklyn Nets,29.0,34.0,0.46,23.0,110.9,111.6,-1.37
7,Orlando Magic,29.0,35.0,0.453,23.5,106.2,107.2,-0.93
8,Washington Wizards,23.0,40.0,0.365,29.0,115.5,119.7,-4.95
9,Charlotte Hornets,22.0,42.0,0.344,30.5,102.8,109.8,-7.2
10,Chicago Bulls,21.0,43.0,0.328,31.5,106.8,110.0,-3.86
11,New York Knicks,20.0,44.0,0.313,32.5,105.2,111.8,-6.56
12,Detroit Pistons,20.0,45.0,0.308,33.0,107.3,110.6,-4.08
13,Atlanta Hawks,20.0,46.0,0.303,33.5,111.5,119.5,-7.53
14,Cleveland Cavaliers,19.0,45.0,0.297,33.5,107.0,114.9,-7.56
15,Los Angeles Lakers,49.0,13.0,0.79,—,114.5,107.0,7.92
16,Los Angeles Clippers,43.0,20.0,0.683,6.5,116.0,109.7,6.59
17,Denver Nuggets,43.0,21.0,0.672,7.0,110.6,107.4,3.21
18,Utah Jazz,41.0,23.0,0.641,9.0,111.0,107.9,3.19
19,Oklahoma City Thunder,40.0,24.0,0.625,10.0,110.8,108.3,2.77
20,Houston Rockets,39.0,24.0,0.619,10.5,118.1,114.4,3.8
21,Dallas Mavericks,39.0,26.0,0.6,11.5,116.5,110.4,5.89
22,Memphis Grizzlies,32.0,32.0,0.5,18.0,112.6,113.6,-0.98
23,New Orleans Pelicans,28.0,36.0,0.438,22.0,116.2,117.0,0.3
24,Sacramento Kings,28.0,36.0,0.438,22.0,109.0,110.9,-1.45
25,Portland Trail Blazers,28.0,37.0,0.431,22.5,113.5,115.4,-1.35
26,San Antonio Spurs,26.0,36.0,0.419,23.0,113.1,115.0,-1.47
27,Phoenix Suns,26.0,38.0,0.406,24.0,112.7,113.8,-0.81
28,Minnesota Timberwolves,19.0,44.0,0.302,30.5,113.3,117.6,-3.82
29,Golden State Warriors,15.0,49.0,0.234,35.0,106.3,114.8,-7.79
