,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Philadelphia 76ers,56.0,26.0,0.683,—,94.7,90.4,3.64
1,Miami Heat,50.0,32.0,0.61,6.0,88.9,86.6,1.73
2,New York Knicks,48.0,34.0,0.585,8.0,88.7,86.1,1.98
3,Orlando Magic,43.0,39.0,0.524,13.0,97.5,96.5,0.39
4,Boston Celtics,36.0,46.0,0.439,20.0,94.6,96.8,-2.4
5,New Jersey Nets,26.0,56.0,0.317,30.0,92.1,97.1,-5.3
6,Washington Wizards,19.0,63.0,0.232,37.0,93.2,99.9,-6.75
7,Milwaukee Bucks,52.0,30.0,0.634,—,100.7,96.9,3.14
8,Toronto Raptors,47.0,35.0,0.573,5.0,97.6,95.4,1.69
9,Charlotte Hornets,46.0,36.0,0.561,6.0,91.9,89.8,1.45
10,Indiana Pacers,41.0,41.0,0.5,11.0,92.6,92.8,-0.77
11,Detroit Pistons,32.0,50.0,0.39,20.0,95.6,97.3,-2.08
12,Cleveland Cavaliers,30.0,52.0,0.366,22.0,92.2,96.5,-4.48
13,Atlanta Hawks,25.0,57.0,0.305,27.0,91.0,96.2,-5.55
14,Chicago Bulls,15.0,67.0,0.183,37.0,87.6,96.7,-9.09
15,San Antonio Spurs,58.0,24.0,0.707,—,96.2,88.4,7.92
16,Utah Jazz,53.0,29.0,0.646,5.0,97.1,92.4,5.0
17,Dallas Mavericks,53.0,29.0,0.646,5.0,100.5,96.2,4.61
18,Minnesota Timberwolves,47.0,35.0,0.573,11.0,97.3,96.0,1.81
19,Houston Rockets,45.0,37.0,0.549,13.0,97.2,94.9,2.71
20,Denver Nuggets,40.0,42.0,0.488,18.0,96.6,99.0,-1.83
21,Vancouver Grizzlies,23.0,59.0,0.28,35.0,91.7,97.5,-4.94
22,Los Angeles Lakers,56.0,26.0,0.683,—,100.6,97.2,3.74
23,Sacramento Kings,55.0,27.0,0.671,1.0,101.7,95.9,6.07
24,Phoenix Suns,51.0,31.0,0.622,5.0,94.0,91.8,2.63
25,Portland Trail Blazers,50.0,32.0,0.61,6.0,95.4,91.2,4.52
26,Seattle SuperSonics,44.0,38.0,0.537,12.0,97.3,97.3,0.55
27,Los Angeles Clippers,31.0,51.0,0.378,25.0,92.5,95.3,-2.23
28,Golden State Warriors,17.0,65.0,0.207,39.0,92.5,101.5,-8.11
