,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Quincy Acy,PF,22.0,TOR,29.0,0.0,342.0,42.0,75.0,0.56,1.0,2.0,0.5,41.0,73.0,0.562,0.567,31.0,38.0,0.816,30.0,47.0,77.0,11.0,13.0,15.0,17.0,53.0,116.0
1,Jeff Adrien,PF,26.0,CHA,52.0,5.0,713.0,72.0,168.0,0.429,0.0,2.0,0.0,72.0,166.0,0.434,0.429,65.0,100.0,0.65,68.0,128.0,196.0,36.0,18.0,27.0,32.0,80.0,209.0
2,Arron Afflalo,SF,27.0,ORL,64.0,64.0,2307.0,397.0,905.0,0.439,72.0,240.0,0.3,325.0,665.0,0.489,0.478,191.0,223.0,0.857,29.0,210.0,239.0,206.0,40.0,11.0,138.0,137.0,1057.0
3,Josh Akognon,PG,26.0,DAL,3.0,0.0,9.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0
4,Cole Aldrich,C,24.0,TOT,45.0,0.0,388.0,44.0,80.0,0.55,0.0,0.0,0.0,44.0,80.0,0.55,0.55,12.0,20.0,0.6,30.0,90.0,120.0,9.0,5.0,23.0,23.0,60.0,100.0
5,Cole Aldrich,C,24.0,HOU,30.0,0.0,213.0,23.0,43.0,0.535,0.0,0.0,0.0,23.0,43.0,0.535,0.535,4.0,9.0,0.444,12.0,45.0,57.0,6.0,3.0,9.0,14.0,41.0,50.0
6,Cole Aldrich,C,24.0,SAC,15.0,0.0,175.0,21.0,37.0,0.568,0.0,0.0,0.0,21.0,37.0,0.568,0.568,8.0,11.0,0.727,18.0,45.0,63.0,3.0,2.0,14.0,9.0,19.0,50.0
7,LaMarcus Aldridge,PF,27.0,POR,74.0,74.0,2790.0,638.0,1318.0,0.484,2.0,14.0,0.143,636.0,1304.0,0.488,0.485,282.0,348.0,0.81,175.0,495.0,670.0,192.0,62.0,91.0,143.0,187.0,1560.0
8,Lavoy Allen,C,23.0,PHI,79.0,37.0,1669.0,206.0,454.0,0.454,0.0,1.0,0.0,206.0,453.0,0.455,0.454,43.0,60.0,0.717,159.0,236.0,395.0,73.0,24.0,55.0,55.0,180.0,455.0
9,Ray Allen*,SG,37.0,MIA,79.0,0.0,2035.0,292.0,651.0,0.449,139.0,332.0,0.419,153.0,319.0,0.48,0.555,140.0,158.0,0.886,40.0,177.0,217.0,135.0,67.0,15.0,103.0,129.0,863.0
10,Tony Allen,SG,31.0,MEM,79.0,79.0,2109.0,284.0,638.0,0.445,3.0,24.0,0.125,281.0,614.0,0.458,0.447,134.0,187.0,0.717,121.0,242.0,363.0,98.0,119.0,44.0,94.0,211.0,705.0
11,Al-Farouq Aminu,SF,22.0,NOH,76.0,71.0,2066.0,225.0,474.0,0.475,4.0,19.0,0.211,221.0,455.0,0.486,0.479,101.0,137.0,0.737,139.0,446.0,585.0,103.0,92.0,51.0,116.0,153.0,555.0
12,Lou Amundson,PF,30.0,TOT,39.0,0.0,372.0,32.0,81.0,0.395,0.0,0.0,0.0,32.0,81.0,0.395,0.395,12.0,36.0,0.333,48.0,58.0,106.0,11.0,16.0,12.0,19.0,53.0,76.0
13,Lou Amundson,PF,30.0,MIN,20.0,0.0,161.0,14.0,38.0,0.368,0.0,0.0,0.0,14.0,38.0,0.368,0.368,4.0,20.0,0.2,23.0,24.0,47.0,3.0,7.0,6.0,11.0,26.0,32.0
14,Lou Amundson,PF,30.0,CHI,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Lou Amundson,PF,30.0,NOH,18.0,0.0,209.0,18.0,42.0,0.429,0.0,0.0,0.0,18.0,42.0,0.429,0.429,8.0,16.0,0.5,24.0,34.0,58.0,8.0,9.0,6.0,8.0,27.0,44.0
16,Chris Andersen,C,34.0,MIA,42.0,0.0,624.0,71.0,123.0,0.577,2.0,3.0,0.667,69.0,120.0,0.575,0.585,63.0,93.0,0.677,57.0,115.0,172.0,17.0,16.0,44.0,24.0,89.0,207.0
17,Alan Anderson,SF,30.0,TOR,65.0,2.0,1495.0,236.0,616.0,0.383,95.0,285.0,0.333,141.0,331.0,0.426,0.46,126.0,147.0,0.857,34.0,114.0,148.0,103.0,48.0,7.0,80.0,131.0,693.0
18,James Anderson,SG-SF,23.0,TOT,39.0,2.0,401.0,52.0,126.0,0.413,21.0,60.0,0.35,31.0,66.0,0.47,0.496,24.0,28.0,0.857,18.0,54.0,72.0,42.0,15.0,5.0,25.0,25.0,149.0
19,James Anderson,SF,23.0,SAS,10.0,0.0,94.0,11.0,25.0,0.44,5.0,11.0,0.455,6.0,14.0,0.429,0.54,7.0,9.0,0.778,3.0,11.0,14.0,9.0,3.0,2.0,7.0,7.0,34.0
20,James Anderson,SG,23.0,HOU,29.0,2.0,307.0,41.0,101.0,0.406,16.0,49.0,0.327,25.0,52.0,0.481,0.485,17.0,19.0,0.895,15.0,43.0,58.0,33.0,12.0,3.0,18.0,18.0,115.0
21,Ryan Anderson,PF,24.0,NOH,81.0,22.0,2503.0,472.0,1115.0,0.423,213.0,557.0,0.382,259.0,558.0,0.464,0.519,152.0,180.0,0.844,191.0,328.0,519.0,97.0,42.0,31.0,97.0,179.0,1309.0
22,Carmelo Anthony,PF,28.0,NYK,67.0,67.0,2482.0,669.0,1489.0,0.449,157.0,414.0,0.379,512.0,1075.0,0.476,0.502,425.0,512.0,0.83,134.0,326.0,460.0,171.0,52.0,32.0,175.0,205.0,1920.0
23,Joel Anthony,C,30.0,MIA,62.0,3.0,566.0,35.0,68.0,0.515,0.0,0.0,0.0,35.0,68.0,0.515,0.515,17.0,28.0,0.607,45.0,70.0,115.0,13.0,13.0,42.0,22.0,49.0,87.0
24,Trevor Ariza,SF,27.0,WAS,56.0,15.0,1471.0,188.0,451.0,0.417,76.0,209.0,0.364,112.0,242.0,0.463,0.501,78.0,95.0,0.821,44.0,222.0,266.0,113.0,72.0,20.0,84.0,72.0,530.0
25,Darrell Arthur,PF,24.0,MEM,59.0,3.0,970.0,162.0,359.0,0.451,5.0,18.0,0.278,157.0,341.0,0.46,0.458,33.0,46.0,0.717,68.0,101.0,169.0,33.0,24.0,33.0,43.0,126.0,362.0
26,Omer Asik,C,26.0,HOU,82.0,82.0,2464.0,332.0,614.0,0.541,0.0,1.0,0.0,332.0,613.0,0.542,0.541,168.0,299.0,0.562,275.0,681.0,956.0,75.0,46.0,87.0,173.0,223.0,832.0
28,D.J. Augustin,PG,25.0,IND,76.0,5.0,1226.0,103.0,294.0,0.35,67.0,190.0,0.353,36.0,104.0,0.346,0.464,83.0,99.0,0.838,20.0,71.0,91.0,170.0,34.0,3.0,68.0,64.0,356.0
29,Gustavo Ayon,C,27.0,TOT,55.0,3.0,734.0,92.0,167.0,0.551,0.0,0.0,0.0,92.0,167.0,0.551,0.551,20.0,50.0,0.4,60.0,139.0,199.0,71.0,22.0,17.0,47.0,107.0,204.0
30,Gustavo Ayon,C,27.0,ORL,43.0,3.0,571.0,67.0,125.0,0.536,0.0,0.0,0.0,67.0,125.0,0.536,0.536,19.0,38.0,0.5,40.0,100.0,140.0,59.0,13.0,13.0,38.0,83.0,153.0
31,Gustavo Ayon,C,27.0,MIL,12.0,0.0,163.0,25.0,42.0,0.595,0.0,0.0,0.0,25.0,42.0,0.595,0.595,1.0,12.0,0.083,20.0,39.0,59.0,12.0,9.0,4.0,9.0,24.0,51.0
32,Jeff Ayres,PF,25.0,IND,37.0,0.0,369.0,61.0,126.0,0.484,2.0,4.0,0.5,59.0,122.0,0.484,0.492,21.0,23.0,0.913,29.0,75.0,104.0,15.0,6.0,12.0,23.0,44.0,145.0
33,Luke Babbitt,PF,23.0,POR,62.0,0.0,730.0,86.0,234.0,0.368,62.0,178.0,0.348,24.0,56.0,0.429,0.5,10.0,13.0,0.769,15.0,122.0,137.0,29.0,14.0,5.0,22.0,82.0,244.0
34,Leandro Barbosa,PG,30.0,BOS,41.0,2.0,513.0,83.0,193.0,0.43,18.0,47.0,0.383,65.0,146.0,0.445,0.477,31.0,41.0,0.756,8.0,38.0,46.0,58.0,17.0,6.0,21.0,51.0,215.0
35,J.J. Barea,PG,28.0,MIN,74.0,2.0,1713.0,316.0,758.0,0.417,97.0,280.0,0.346,219.0,478.0,0.458,0.481,105.0,134.0,0.784,34.0,173.0,207.0,294.0,32.0,0.0,145.0,131.0,834.0
36,Andrea Bargnani,PF,27.0,TOR,35.0,25.0,1003.0,170.0,426.0,0.399,38.0,123.0,0.309,132.0,303.0,0.436,0.444,65.0,77.0,0.844,26.0,102.0,128.0,38.0,21.0,23.0,54.0,64.0,443.0
37,Harrison Barnes,SF,20.0,GSW,81.0,81.0,2058.0,276.0,628.0,0.439,52.0,145.0,0.359,224.0,483.0,0.464,0.481,144.0,190.0,0.758,53.0,280.0,333.0,98.0,52.0,14.0,101.0,140.0,748.0
38,Matt Barnes,SF,32.0,LAC,80.0,4.0,2058.0,312.0,675.0,0.462,111.0,325.0,0.342,201.0,350.0,0.574,0.544,87.0,117.0,0.744,111.0,255.0,366.0,123.0,82.0,63.0,90.0,233.0,822.0
39,Earl Barron,C,31.0,TOT,12.0,2.0,159.0,18.0,51.0,0.353,0.0,0.0,0.0,18.0,51.0,0.353,0.353,3.0,7.0,0.429,22.0,39.0,61.0,5.0,5.0,6.0,11.0,24.0,39.0
40,Earl Barron,C,31.0,WAS,11.0,1.0,122.0,13.0,37.0,0.351,0.0,0.0,0.0,13.0,37.0,0.351,0.351,2.0,5.0,0.4,16.0,27.0,43.0,3.0,5.0,5.0,10.0,23.0,28.0
41,Earl Barron,C,31.0,NYK,1.0,1.0,37.0,5.0,14.0,0.357,0.0,0.0,0.0,5.0,14.0,0.357,0.357,1.0,2.0,0.5,6.0,12.0,18.0,2.0,0.0,1.0,1.0,1.0,11.0
42,Will Barton,SG,22.0,POR,73.0,5.0,894.0,118.0,309.0,0.382,9.0,65.0,0.138,109.0,244.0,0.447,0.396,50.0,65.0,0.769,36.0,109.0,145.0,58.0,34.0,9.0,60.0,56.0,295.0
43,Brandon Bass,PF,27.0,BOS,81.0,69.0,2239.0,286.0,589.0,0.486,0.0,2.0,0.0,286.0,587.0,0.487,0.486,129.0,150.0,0.86,129.0,296.0,425.0,84.0,44.0,64.0,80.0,188.0,701.0
44,Shane Battier,SF,34.0,MIA,72.0,20.0,1786.0,152.0,362.0,0.42,136.0,316.0,0.43,16.0,46.0,0.348,0.608,32.0,38.0,0.842,37.0,128.0,165.0,72.0,41.0,55.0,34.0,149.0,472.0
45,Nicolas Batum,SF,24.0,POR,73.0,73.0,2807.0,352.0,833.0,0.423,165.0,444.0,0.372,187.0,389.0,0.481,0.522,178.0,210.0,0.848,97.0,315.0,412.0,360.0,91.0,83.0,190.0,139.0,1047.0
46,Jerryd Bayless,PG,24.0,MEM,80.0,4.0,1765.0,260.0,621.0,0.419,71.0,201.0,0.353,189.0,420.0,0.45,0.476,102.0,122.0,0.836,22.0,154.0,176.0,264.0,59.0,17.0,120.0,168.0,693.0
47,Aron Baynes,C,26.0,SAS,16.0,0.0,141.0,18.0,36.0,0.5,0.0,1.0,0.0,18.0,35.0,0.514,0.5,7.0,12.0,0.583,12.0,20.0,32.0,5.0,1.0,6.0,11.0,23.0,43.0
48,Kent Bazemore,SG,23.0,GSW,61.0,0.0,267.0,43.0,116.0,0.371,10.0,34.0,0.294,33.0,82.0,0.402,0.414,27.0,44.0,0.614,5.0,17.0,22.0,22.0,17.0,4.0,18.0,27.0,123.0
49,Bradley Beal,SG,19.0,WAS,56.0,46.0,1745.0,282.0,687.0,0.41,91.0,236.0,0.386,191.0,451.0,0.424,0.477,125.0,159.0,0.786,43.0,168.0,211.0,137.0,50.0,29.0,90.0,113.0,780.0
50,Michael Beasley,SF,24.0,PHO,75.0,20.0,1554.0,310.0,766.0,0.405,45.0,144.0,0.313,265.0,622.0,0.426,0.434,94.0,126.0,0.746,52.0,230.0,282.0,111.0,31.0,34.0,144.0,107.0,759.0
