,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Cleveland Cavaliers,57.0,25.0,0.695,—,104.3,98.3,5.45
1,Toronto Raptors,56.0,26.0,0.683,1.0,102.7,98.2,4.08
2,Miami Heat,48.0,34.0,0.585,9.0,100.0,98.4,1.5
3,Atlanta Hawks,48.0,34.0,0.585,9.0,102.8,99.2,3.49
4,Boston Celtics,48.0,34.0,0.585,9.0,105.7,102.5,2.84
5,Charlotte Hornets,48.0,34.0,0.585,9.0,103.4,100.7,2.36
6,Indiana Pacers,45.0,37.0,0.549,12.0,102.2,100.5,1.62
7,Detroit Pistons,44.0,38.0,0.537,13.0,102.0,101.4,0.43
8,Chicago Bulls,42.0,40.0,0.512,15.0,101.6,103.1,-1.46
9,Washington Wizards,41.0,41.0,0.5,16.0,104.1,104.6,-0.5
10,Orlando Magic,35.0,47.0,0.427,22.0,102.1,103.7,-1.68
11,Milwaukee Bucks,33.0,49.0,0.402,24.0,99.0,103.2,-3.98
12,New York Knicks,32.0,50.0,0.39,25.0,98.4,101.1,-2.74
13,Brooklyn Nets,21.0,61.0,0.256,36.0,98.6,106.0,-7.12
14,Philadelphia 76ers,10.0,72.0,0.122,47.0,97.4,107.6,-9.92
15,Golden State Warriors,73.0,9.0,0.89,—,114.9,104.1,10.38
16,San Antonio Spurs,67.0,15.0,0.817,6.0,103.5,92.9,10.28
17,Oklahoma City Thunder,55.0,27.0,0.671,18.0,110.2,102.9,7.09
18,Los Angeles Clippers,53.0,29.0,0.646,20.0,104.5,100.2,4.13
19,Portland Trail Blazers,44.0,38.0,0.537,29.0,105.1,104.3,0.98
20,Dallas Mavericks,42.0,40.0,0.512,31.0,102.3,102.6,-0.02
21,Memphis Grizzlies,42.0,40.0,0.512,31.0,99.1,101.3,-2.14
22,Houston Rockets,41.0,41.0,0.5,32.0,106.5,106.4,0.34
23,Utah Jazz,40.0,42.0,0.488,33.0,97.7,95.9,1.84
24,Sacramento Kings,33.0,49.0,0.402,40.0,106.6,109.1,-2.32
25,Denver Nuggets,33.0,49.0,0.402,40.0,101.9,105.0,-2.81
26,New Orleans Pelicans,30.0,52.0,0.366,43.0,102.7,106.5,-3.56
27,Minnesota Timberwolves,29.0,53.0,0.354,44.0,102.4,106.0,-3.38
28,Phoenix Suns,23.0,59.0,0.28,50.0,100.9,107.5,-6.32
29,Los Angeles Lakers,17.0,65.0,0.207,56.0,97.3,106.9,-8.92
