,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New York Knicks,57.0,25.0,0.695,—,98.5,91.5,6.48
1,Orlando Magic,50.0,32.0,0.61,7.0,105.7,101.8,3.68
2,New Jersey Nets,45.0,37.0,0.549,12.0,103.2,101.0,2.11
3,Miami Heat,42.0,40.0,0.512,15.0,103.4,100.7,2.4
4,Boston Celtics,32.0,50.0,0.39,25.0,100.8,105.1,-4.28
5,Philadelphia 76ers,25.0,57.0,0.305,32.0,98.0,105.6,-7.37
6,Washington Bullets,24.0,58.0,0.293,33.0,100.4,107.7,-7.13
7,Atlanta Hawks,57.0,25.0,0.695,—,101.4,96.2,4.94
8,Chicago Bulls,55.0,27.0,0.671,2.0,98.0,94.9,2.87
9,Indiana Pacers,47.0,35.0,0.573,10.0,101.0,97.5,3.26
10,Cleveland Cavaliers,47.0,35.0,0.573,10.0,101.2,97.1,3.64
11,Charlotte Hornets,41.0,41.0,0.5,16.0,106.5,106.7,-0.23
12,Milwaukee Bucks,20.0,62.0,0.244,37.0,96.9,103.4,-6.24
13,Detroit Pistons,20.0,62.0,0.244,37.0,96.9,104.7,-7.46
14,Houston Rockets,58.0,24.0,0.707,—,101.1,96.8,4.19
15,San Antonio Spurs,55.0,27.0,0.671,3.0,100.0,94.8,5.05
16,Utah Jazz,53.0,29.0,0.646,5.0,101.9,97.7,4.1
17,Denver Nuggets,42.0,40.0,0.512,16.0,100.3,98.8,1.54
18,Minnesota Timberwolves,20.0,62.0,0.244,38.0,96.7,103.6,-6.55
19,Dallas Mavericks,13.0,69.0,0.159,45.0,95.1,103.8,-8.19
20,Seattle SuperSonics,63.0,19.0,0.768,—,105.9,96.9,8.68
21,Phoenix Suns,56.0,26.0,0.683,7.0,108.2,103.4,4.68
22,Golden State Warriors,50.0,32.0,0.61,13.0,107.9,106.1,1.76
23,Portland Trail Blazers,47.0,35.0,0.573,16.0,107.3,104.6,2.6
24,Los Angeles Lakers,33.0,49.0,0.402,30.0,100.4,104.7,-3.93
25,Sacramento Kings,28.0,54.0,0.341,35.0,101.1,106.9,-5.32
26,Los Angeles Clippers,27.0,55.0,0.329,36.0,103.0,108.7,-5.28
