,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
95,Dolph Schayes*,PF,28.0,SYR,72.0,0.0,2851.0,496.0,1308.0,0.379,0.0,0.0,0.0,496.0,1308.0,0.379,0.379,625.0,691.0,0.904,0.0,0.0,1008.0,229.0,0.0,0.0,0.0,219.0,1617.0
96,Dick Schnittker,SF,28.0,MNL,70.0,0.0,997.0,113.0,351.0,0.322,0.0,0.0,0.0,113.0,351.0,0.322,0.322,160.0,193.0,0.829,0.0,0.0,185.0,52.0,0.0,0.0,0.0,144.0,386.0
98,Kenny Sears,SF,23.0,NYK,72.0,0.0,2516.0,343.0,821.0,0.418,0.0,0.0,0.0,343.0,821.0,0.418,0.418,383.0,485.0,0.79,0.0,0.0,614.0,101.0,0.0,0.0,0.0,226.0,1069.0
99,Paul Seymour,PG,29.0,SYR,65.0,0.0,1235.0,143.0,442.0,0.324,0.0,0.0,0.0,143.0,442.0,0.324,0.324,101.0,123.0,0.821,0.0,0.0,130.0,193.0,0.0,0.0,0.0,91.0,387.0
100,Chuck Share,C,29.0,STL,72.0,0.0,1673.0,235.0,535.0,0.439,0.0,0.0,0.0,235.0,535.0,0.439,0.439,269.0,393.0,0.684,0.0,0.0,642.0,79.0,0.0,0.0,0.0,269.0,739.0
101,Bill Sharman*,SG,30.0,BOS,67.0,0.0,2403.0,516.0,1241.0,0.416,0.0,0.0,0.0,516.0,1241.0,0.416,0.416,381.0,421.0,0.905,0.0,0.0,286.0,236.0,0.0,0.0,0.0,188.0,1413.0
102,Ron Shavlik,F,23.0,NYK,7.0,0.0,72.0,4.0,22.0,0.182,0.0,0.0,0.0,4.0,22.0,0.182,0.182,2.0,5.0,0.4,0.0,0.0,22.0,0.0,0.0,0.0,0.0,12.0,10.0
103,Gene Shue,PG,25.0,FTW,72.0,0.0,2470.0,273.0,710.0,0.385,0.0,0.0,0.0,273.0,710.0,0.385,0.385,241.0,316.0,0.763,0.0,0.0,421.0,238.0,0.0,0.0,0.0,137.0,787.0
104,Whitey Skoog,SG,30.0,MNL,23.0,0.0,656.0,78.0,220.0,0.355,0.0,0.0,0.0,78.0,220.0,0.355,0.355,44.0,47.0,0.936,0.0,0.0,72.0,76.0,0.0,0.0,0.0,65.0,200.0
105,Ron Sobie,SG,22.0,NYK,71.0,0.0,1378.0,166.0,442.0,0.376,0.0,0.0,0.0,166.0,442.0,0.376,0.376,152.0,199.0,0.764,0.0,0.0,326.0,129.0,0.0,0.0,0.0,158.0,484.0
