,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
42,1980-81,NBA,26.2,6-7,205.0,943.0,241.4,43.0,88.4,0.5,2.0,21.7,28.9,14.5,28.9,43.5,25.5,9.0,5.3,18.7,25.1,108.1,0.486,0.245,0.751,101.8,0.489,15.6,33.5,0.245,105.5
45,1979-80,NBA,26.4,6-6,204.0,902.0,241.8,43.6,90.6,0.8,2.8,21.3,27.8,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,0.481,0.28,0.764,103.1,0.486,15.5,33.5,0.235,105.3
46,1978-79,NBA,26.3,6-6,203.0,902.0,241.1,44.5,91.7,0.0,0.0,21.3,28.3,14.8,30.4,45.2,25.8,9.1,5.4,19.8,25.3,110.3,0.485,0.0,0.752,105.8,0.485,16.0,32.8,0.232,103.8
47,1977-78,NBA,26.2,6-6,204.0,902.0,241.8,43.6,92.9,0.0,0.0,21.4,28.4,15.0,32.1,47.1,25.0,9.6,5.1,20.1,25.2,108.5,0.469,0.0,0.752,106.7,0.469,16.0,31.8,0.23,100.9
48,1976-77,NBA,26.1,6-6,204.0,902.0,241.0,42.8,92.0,0.0,0.0,20.8,27.7,15.0,32.1,47.1,23.9,9.4,5.1,20.6,25.2,106.5,0.465,0.0,0.751,106.5,0.465,16.5,31.8,0.226,99.5
49,1975-76,NBA,26.5,6-6,204.0,738.0,241.4,42.1,91.7,0.0,0.0,20.2,26.9,14.4,33.0,47.4,23.0,8.9,4.4,19.8,24.8,104.3,0.458,0.0,0.751,105.5,0.458,16.0,30.3,0.221,98.3
50,1974-75,NBA,26.7,6-6,203.0,738.0,241.4,41.7,91.1,0.0,0.0,19.3,25.2,14.2,32.9,47.1,23.8,8.8,4.3,19.8,24.3,102.6,0.457,0.0,0.765,104.5,0.457,16.3,30.2,0.211,97.7
51,1973-74,NBA,26.9,6-6,205.0,697.0,241.0,43.1,93.9,0.0,0.0,19.6,25.4,14.7,33.5,48.2,24.6,8.7,4.7,20.8,23.8,105.7,0.459,0.0,0.771,107.8,0.459,16.5,30.5,0.209,97.7
52,1972-73,NBA,26.7,6-6,205.0,697.0,240.9,44.2,96.9,0.0,0.0,19.2,25.3,0.0,0.0,50.6,25.2,0.0,0.0,0.0,22.8,107.6,0.456,0.0,0.758,0.0,0.456,0.0,0.0,0.198,0.0
53,1971-72,NBA,26.6,6-6,206.0,697.0,241.1,43.4,95.5,0.0,0.0,23.3,31.2,0.0,0.0,51.1,24.1,0.0,0.0,0.0,23.6,110.2,0.455,0.0,0.748,0.0,0.455,0.0,0.0,0.244,0.0
54,1970-71,NBA,26.6,6-6,205.0,697.0,241.0,44.0,98.0,0.0,0.0,24.3,32.7,0.0,0.0,53.1,24.3,0.0,0.0,0.0,24.4,112.4,0.449,0.0,0.745,0.0,0.449,0.0,0.0,0.248,0.0
55,1969-70,NBA,26.8,6-6,205.0,574.0,241.6,45.7,99.4,0.0,0.0,25.3,33.7,0.0,0.0,52.9,24.7,0.0,0.0,0.0,25.1,116.7,0.46,0.0,0.751,0.0,0.46,0.0,0.0,0.255,0.0
56,1968-69,NBA,26.9,6-6,207.0,574.0,241.4,43.7,99.0,0.0,0.0,25.0,35.0,0.0,0.0,56.9,23.1,0.0,0.0,0.0,25.5,112.3,0.441,0.0,0.714,0.0,0.441,0.0,0.0,0.252,0.0
57,1967-68,NBA,26.8,6-6,206.0,492.0,241.4,45.0,100.8,0.0,0.0,26.7,37.1,0.0,0.0,66.2,22.8,0.0,0.0,0.0,26.3,116.6,0.446,0.0,0.72,0.0,0.446,0.0,0.0,0.265,0.0
58,1966-67,NBA,26.6,6-6,206.0,405.0,241.3,45.5,103.1,0.0,0.0,26.5,36.2,0.0,0.0,67.3,22.4,0.0,0.0,0.0,26.2,117.4,0.441,0.0,0.732,0.0,0.441,0.0,0.0,0.257,0.0
59,1965-66,NBA,26.6,6-6,207.0,360.0,240.5,44.3,102.4,0.0,0.0,26.9,37.0,0.0,0.0,68.2,22.9,0.0,0.0,0.0,26.2,115.5,0.433,0.0,0.727,0.0,0.433,0.0,0.0,0.262,0.0
60,1964-65,NBA,26.4,6-6,208.0,360.0,241.7,42.5,99.8,0.0,0.0,25.6,35.6,0.0,0.0,67.3,21.0,0.0,0.0,0.0,25.9,110.6,0.426,0.0,0.721,0.0,0.426,0.0,0.0,0.257,0.0
61,1963-64,NBA,26.4,6-6,207.0,360.0,0.0,42.9,99.1,0.0,0.0,25.3,35.0,0.0,0.0,65.9,21.4,0.0,0.0,0.0,26.8,111.0,0.433,0.0,0.722,0.0,0.433,0.0,0.0,0.255,0.0
62,1962-63,NBA,26.3,6-6,205.0,360.0,0.0,44.6,101.2,0.0,0.0,26.1,35.9,0.0,0.0,66.7,22.7,0.0,0.0,0.0,26.0,115.3,0.441,0.0,0.727,0.0,0.441,0.0,0.0,0.258,0.0
63,1961-62,NBA,26.4,6-5,205.0,360.0,0.0,45.9,107.7,0.0,0.0,27.0,37.1,0.0,0.0,71.4,23.9,0.0,0.0,0.0,25.9,118.8,0.426,0.0,0.727,0.0,0.426,0.0,0.0,0.25,0.0
64,1960-61,NBA,26.4,6-5,205.0,316.0,0.0,45.4,109.4,0.0,0.0,27.4,37.4,0.0,0.0,73.3,24.2,0.0,0.0,0.0,26.8,118.1,0.415,0.0,0.733,0.0,0.415,0.0,0.0,0.25,0.0
67,1959-60,NBA,26.5,6-5,204.0,300.0,0.0,44.5,108.7,0.0,0.0,26.3,35.8,0.0,0.0,73.5,22.6,0.0,0.0,0.0,25.6,115.3,0.41,0.0,0.735,0.0,0.41,0.0,0.0,0.242,0.0
68,1958-59,NBA,26.4,6-5,202.0,288.0,0.0,40.4,102.3,0.0,0.0,27.4,36.3,0.0,0.0,70.0,19.6,0.0,0.0,0.0,26.0,108.2,0.395,0.0,0.756,0.0,0.395,0.0,0.0,0.268,0.0
69,1957-58,NBA,26.8,6-5,202.0,288.0,0.0,39.0,101.9,0.0,0.0,28.6,38.3,0.0,0.0,71.7,19.6,0.0,0.0,0.0,25.5,106.6,0.383,0.0,0.746,0.0,0.383,0.0,0.0,0.281,0.0
