,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Mahmoud Abdul-Rauf,PG,31.0,VAN,41.0,0.0,486.0,12.9,26.5,0.488,0.4,1.5,0.286,12.5,25.0,0.5,2.4,3.1,0.759,0.5,2.2,2.7,8.2,1.0,0.1,2.8,5.4,28.7,0.0,104.0,111.0
1,Tariq Abdul-Wahad,SG,26.0,DEN,29.0,12.0,420.0,5.3,13.7,0.387,0.5,1.2,0.4,4.8,12.5,0.386,2.6,4.4,0.583,1.7,5.6,7.3,2.7,1.7,1.6,4.2,6.7,13.7,0.0,79.0,106.0
2,Shareef Abdur-Rahim,SF,24.0,VAN,81.0,81.0,3241.0,9.8,20.7,0.472,0.2,1.0,0.188,9.6,19.6,0.487,7.2,8.6,0.834,2.8,9.0,11.9,4.0,1.5,1.2,3.7,3.8,26.9,0.0,106.0,104.0
3,Cory Alexander,PG,27.0,ORL,26.0,0.0,227.0,4.1,12.7,0.321,0.9,3.6,0.25,3.2,9.1,0.35,2.7,4.1,0.667,0.0,5.7,5.7,8.2,3.6,0.0,5.7,6.6,11.8,0.0,77.0,100.0
4,Courtney Alexander,PG,23.0,TOT,65.0,24.0,1382.0,8.9,21.4,0.417,0.6,1.7,0.37,8.3,19.7,0.421,4.6,5.6,0.82,1.6,3.8,5.3,2.3,1.7,0.2,2.8,5.2,23.1,0.0,96.0,109.0
5,Courtney Alexander,PG,23.0,DAL,38.0,6.0,472.0,6.8,19.4,0.348,0.3,1.1,0.3,6.4,18.3,0.351,3.6,4.9,0.733,2.2,4.7,6.9,2.3,1.7,0.3,2.3,8.3,17.5,0.0,86.0,104.0
6,Courtney Alexander,PG,23.0,WAS,27.0,18.0,910.0,10.1,22.5,0.448,0.8,2.0,0.389,9.3,20.4,0.454,5.1,6.0,0.857,1.3,3.3,4.6,2.3,1.7,0.1,3.1,3.6,26.1,0.0,101.0,111.0
7,Ray Allen*,SG,25.0,MIL,82.0,82.0,3129.0,10.5,21.8,0.48,3.4,7.8,0.433,7.1,14.0,0.506,5.8,6.5,0.888,1.7,5.4,7.1,6.2,2.1,0.3,3.4,3.2,30.1,0.0,119.0,106.0
8,Rafer Alston,PG,24.0,MIL,37.0,2.0,288.0,5.4,15.2,0.357,1.4,5.4,0.267,4.0,9.8,0.407,1.6,2.4,0.692,0.7,4.9,5.6,12.3,2.4,0.0,3.6,4.9,13.9,0.0,98.0,106.0
9,John Amaechi,C,30.0,ORL,82.0,36.0,1710.0,7.1,17.8,0.4,0.0,0.2,0.0,7.1,17.6,0.405,5.3,8.4,0.631,2.3,5.8,8.1,2.2,0.8,0.9,3.7,5.3,19.6,0.0,89.0,105.0
10,Derek Anderson,SG,26.0,SAS,82.0,82.0,2859.0,7.7,18.6,0.416,1.9,4.7,0.399,5.8,13.9,0.422,6.4,7.5,0.851,1.4,5.4,6.8,5.6,2.2,0.3,3.1,3.5,23.8,0.0,109.0,99.0
11,Kenny Anderson,PG,30.0,BOS,33.0,28.0,849.0,5.4,13.9,0.388,0.7,2.0,0.333,4.7,11.8,0.397,3.6,4.3,0.831,1.0,3.5,4.5,8.2,2.7,0.1,3.2,3.8,15.0,0.0,100.0,105.0
12,Nick Anderson,SG,33.0,SAC,21.0,0.0,169.0,4.2,17.2,0.246,3.0,11.7,0.256,1.2,5.4,0.222,0.0,0.0,0.0,0.9,6.6,7.5,3.9,3.0,1.2,2.1,3.9,11.4,0.0,76.0,98.0
13,Shandon Anderson,SG,27.0,HOU,82.0,82.0,2396.0,5.8,13.1,0.446,1.0,3.8,0.271,4.8,9.3,0.517,3.1,4.2,0.734,1.6,5.8,7.4,4.2,1.8,0.9,2.9,4.5,15.7,0.0,103.0,105.0
14,Greg Anthony,PG,33.0,POR,58.0,0.0,856.0,6.1,15.9,0.383,4.1,10.0,0.409,2.0,5.9,0.34,1.4,2.2,0.657,1.3,2.5,3.8,5.2,2.5,0.2,2.7,4.0,17.7,0.0,105.0,104.0
15,Darrell Armstrong,PG,32.0,ORL,75.0,75.0,2767.0,7.7,18.7,0.412,2.7,7.5,0.355,5.0,11.2,0.451,4.1,4.6,0.884,1.8,4.6,6.4,9.8,2.5,0.2,3.7,2.9,22.1,0.0,110.0,103.0
