,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,Kareem Abdul-Jabbar*,C,34.0,LAL,76.0,76.0,2677.0,13.1,22.6,0.579,0.0,0.1,0.0,13.1,22.6,0.58,5.4,7.7,0.706,3.0,8.5,11.5,3.9,1.1,3.6,4.0,3.9,31.6,0.0,116.0,104.0
1,Alvan Adams,C,27.0,PHO,79.0,75.0,2393.0,10.2,20.7,0.494,0.0,0.0,0.0,10.2,20.7,0.494,3.7,4.7,0.781,2.8,9.0,11.8,7.2,2.3,1.6,3.9,5.4,24.1,0.0,106.0,99.0
2,Mark Aguirre,SF,22.0,DAL,51.0,20.0,1468.0,12.6,27.2,0.465,0.8,2.4,0.352,11.8,24.9,0.475,5.6,8.2,0.68,3.0,5.3,8.3,5.4,1.2,0.7,4.5,5.0,31.7,0.0,102.0,111.0
3,Danny Ainge,SG,22.0,BOS,53.0,1.0,564.0,6.6,18.5,0.357,0.4,1.4,0.294,6.2,17.1,0.363,4.7,5.5,0.862,2.1,2.6,4.7,7.3,3.1,0.3,4.4,7.2,18.4,0.0,94.0,104.0
4,Tiny Archibald*,PG,33.0,BOS,68.0,51.0,2167.0,6.7,14.2,0.472,0.1,0.3,0.375,6.6,13.9,0.475,5.2,6.9,0.747,0.5,2.0,2.5,11.8,1.1,0.1,3.9,2.9,18.7,0.0,112.0,109.0
5,Dennis Awtrey,C,33.0,POR,10.0,3.0,121.0,2.0,5.9,0.333,0.0,0.0,0.0,2.0,5.9,0.333,2.0,3.6,0.556,2.8,2.8,5.5,3.2,0.4,0.8,2.4,11.1,5.9,0.0,87.0,113.0
6,Carl Bailey,C,23.0,POR,1.0,0.0,7.0,6.8,6.8,1.0,0.0,0.0,0.0,6.8,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,13.6,0.0,47.0,116.0
7,James Bailey,PF,24.0,TOT,77.0,0.0,1468.0,8.3,16.1,0.517,0.0,0.0,0.0,8.3,16.1,0.517,4.4,7.1,0.612,4.0,8.4,12.5,2.1,1.3,2.6,4.4,8.6,21.0,0.0,99.0,100.0
8,James Bailey,PF,24.0,SEA,10.0,0.0,180.0,8.3,17.3,0.477,0.0,0.0,0.0,8.3,17.3,0.477,1.1,2.9,0.364,4.5,8.3,12.8,3.5,0.8,1.9,5.1,11.2,17.6,0.0,88.0,102.0
9,James Bailey,PF,24.0,NJN,67.0,0.0,1288.0,8.3,15.9,0.523,0.0,0.0,0.0,8.3,15.9,0.523,4.8,7.7,0.624,4.0,8.4,12.4,1.9,1.4,2.7,4.3,8.2,21.4,0.0,101.0,100.0
