,Tm,W,L,W/L%,GB,PS/G,PA/G,SRS
0,New York Knicks,54.0,28.0,0.659,—,100.0,95.7,3.73
1,Brooklyn Nets,49.0,33.0,0.598,5.0,96.9,95.1,1.25
2,Boston Celtics,41.0,40.0,0.506,12.5,96.5,96.7,-0.62
3,Philadelphia 76ers,34.0,48.0,0.415,20.0,93.2,96.5,-3.51
4,Toronto Raptors,34.0,48.0,0.415,20.0,97.2,98.7,-1.96
5,Indiana Pacers,49.0,32.0,0.605,—,94.7,90.7,3.34
6,Chicago Bulls,45.0,37.0,0.549,4.5,93.2,92.9,-0.02
7,Milwaukee Bucks,38.0,44.0,0.463,11.5,98.9,100.4,-1.83
8,Detroit Pistons,29.0,53.0,0.354,20.5,94.9,98.8,-4.33
9,Cleveland Cavaliers,24.0,58.0,0.293,25.5,96.5,101.2,-4.87
10,Miami Heat,66.0,16.0,0.805,—,102.9,95.0,7.03
11,Atlanta Hawks,44.0,38.0,0.537,22.0,98.0,97.5,-0.08
12,Washington Wizards,29.0,53.0,0.354,37.0,93.2,95.8,-2.78
13,Charlotte Bobcats,21.0,61.0,0.256,45.0,93.4,102.7,-9.29
14,Orlando Magic,20.0,62.0,0.244,46.0,94.1,101.1,-7.12
15,Oklahoma City Thunder,60.0,22.0,0.732,—,105.7,96.5,9.15
16,Denver Nuggets,57.0,25.0,0.695,3.0,106.1,101.1,5.37
17,Utah Jazz,43.0,39.0,0.524,17.0,98.0,98.1,0.3
18,Portland Trail Blazers,33.0,49.0,0.402,27.0,97.5,100.7,-2.53
19,Minnesota Timberwolves,31.0,51.0,0.378,29.0,95.7,98.1,-1.83
20,Los Angeles Clippers,56.0,26.0,0.683,—,101.1,94.6,6.43
21,Golden State Warriors,47.0,35.0,0.573,9.0,101.2,100.3,1.32
22,Los Angeles Lakers,45.0,37.0,0.549,11.0,102.2,101.0,1.48
23,Sacramento Kings,28.0,54.0,0.341,28.0,100.2,105.1,-4.26
24,Phoenix Suns,25.0,57.0,0.305,31.0,95.2,101.6,-5.75
25,San Antonio Spurs,58.0,24.0,0.707,—,103.0,96.6,6.67
26,Memphis Grizzlies,56.0,26.0,0.683,2.0,93.4,89.3,4.32
27,Houston Rockets,45.0,37.0,0.549,13.0,106.0,102.5,3.69
28,Dallas Mavericks,41.0,41.0,0.5,17.0,101.1,101.7,-0.24
29,New Orleans Hornets,27.0,55.0,0.329,31.0,94.1,97.9,-3.12
