b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Sun, Dec 25, 2011",/boxscores/201112250NYK.html,12:00p,Boston Celtics,104,New York Knicks,106,Box Score,,"19,763",
"Sun, Dec 25, 2011",/boxscores/201112250DAL.html,2:30p,Miami Heat,105,Dallas Mavericks,94,Box Score,,"20,421",
"Sun, Dec 25, 2011",/boxscores/201112250LAL.html,5:00p,Chicago Bulls,88,Los Angeles Lakers,87,Box Score,,"18,997",
"Sun, Dec 25, 2011",/boxscores/201112250OKC.html,8:00p,Orlando Magic,89,Oklahoma City Thunder,97,Box Score,,"18,203",
"Sun, Dec 25, 2011",/boxscores/201112250GSW.html,10:30p,Los Angeles Clippers,105,Golden State Warriors,86,Box Score,,"19,596",
"Mon, Dec 26, 2011",/boxscores/201112260CLE.html,7:00p,Toronto Raptors,104,Cleveland Cavaliers,96,Box Score,,"20,562",
"Mon, Dec 26, 2011",/boxscores/201112260WAS.html,7:00p,New Jersey Nets,90,Washington Wizards,84,Box Score,,"17,102",
"Mon, Dec 26, 2011",/boxscores/201112260ORL.html,7:00p,Houston Rockets,95,Orlando Magic,104,Box Score,,"18,846",
"Mon, Dec 26, 2011",/boxscores/201112260IND.html,7:00p,Detroit Pistons,79,Indiana Pacers,91,Box Score,,"18,165",
"Mon, Dec 26, 2011",/boxscores/201112260CHA.html,7:00p,Milwaukee Bucks,95,Charlotte Bobcats,96,Box Score,,"17,173",
"Mon, Dec 26, 2011",/boxscores/201112260MIN.html,8:00p,Oklahoma City Thunder,104,Minnesota Timberwolves,100,Box Score,,"19,406",
"Mon, Dec 26, 2011",/boxscores/201112260DAL.html,8:30p,Denver Nuggets,115,Dallas Mavericks,93,Box Score,,"20,408",
"Mon, Dec 26, 2011",/boxscores/201112260SAS.html,8:30p,Memphis Grizzlies,82,San Antonio Spurs,95,Box Score,,"18,581",
"Mon, Dec 26, 2011",/boxscores/201112260PHO.html,9:00p,New Orleans Hornets,85,Phoenix Suns,84,Box Score,,"17,776",
"Mon, Dec 26, 2011",/boxscores/201112260POR.html,10:00p,Philadelphia 76ers,103,Portland Trail Blazers,107,Box Score,,"20,509",
"Mon, Dec 26, 2011",/boxscores/201112260SAC.html,10:00p,Los Angeles Lakers,91,Sacramento Kings,100,Box Score,,"17,317",
"Mon, Dec 26, 2011",/boxscores/201112260GSW.html,10:30p,Chicago Bulls,91,Golden State Warriors,99,Box Score,,"19,596",
"Tue, Dec 27, 2011",/boxscores/201112270NJN.html,7:30p,Atlanta Hawks,106,New Jersey Nets,70,Box Score,,"18,711",
"Tue, Dec 27, 2011",/boxscores/201112270MIA.html,8:00p,Boston Celtics,107,Miami Heat,115,Box Score,,"20,166",
"Tue, Dec 27, 2011",/boxscores/201112270MIL.html,8:30p,Minnesota Timberwolves,95,Milwaukee Bucks,98,Box Score,,"17,352",
"Tue, Dec 27, 2011",/boxscores/201112270POR.html,10:00p,Sacramento Kings,79,Portland Trail Blazers,101,Box Score,,"20,350",
"Tue, Dec 27, 2011",/boxscores/201112270LAL.html,10:30p,Utah Jazz,71,Los Angeles Lakers,96,Box Score,,"18,997",
"Wed, Dec 28, 2011",/boxscores/201112280TOR.html,6:00p,Indiana Pacers,90,Toronto Raptors,85,Box Score,,"19,800",
