,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
36,34.0,ATL,Devonte' Graham,Kansas,2.0,109.0,2887.0,1362.0,275.0,592.0,0.375,0.357,0.81,26.5,12.5,2.5,5.4,3.8,0.064,-0.6,1.0
37,35.0,ORL,Melvin Frazier,Tulane,2.0,29.0,170.0,55.0,15.0,4.0,0.4,0.364,0.375,5.9,1.9,0.5,0.1,0.0,0.008,-5.4,-0.2
38,36.0,NYK,Mitchell Robinson,,2.0,127.0,2772.0,1075.0,851.0,73.0,0.72,0.0,0.583,21.8,8.5,6.7,0.6,12.9,0.223,2.7,3.3
39,37.0,SAC,Gary Trent,Duke,2.0,76.0,1443.0,581.0,111.0,66.0,0.432,0.405,0.769,19.0,7.6,1.5,0.9,2.3,0.075,-1.1,0.3
40,38.0,PHI,Khyri Thomas,Creighton,2.0,34.0,256.0,78.0,21.0,11.0,0.314,0.306,0.6,7.5,2.3,0.6,0.3,0.0,-0.005,-5.7,-0.2
41,39.0,PHI,Isaac Bonga,,2.0,88.0,1370.0,349.0,247.0,91.0,0.461,0.316,0.78,15.6,4.0,2.8,1.0,1.6,0.057,-3.0,-0.3
42,40.0,BRK,Rodions Kurucs,,2.0,110.0,1978.0,749.0,383.0,103.0,0.449,0.332,0.738,18.0,6.8,3.5,0.9,2.4,0.058,-2.7,-0.3
43,41.0,ORL,Jarred Vanderbilt,Kentucky,2.0,28.0,115.0,36.0,32.0,5.0,0.519,0.0,0.667,4.1,1.3,1.1,0.2,0.0,0.012,-4.9,-0.1
44,42.0,DET,Bruce Brown,Miami (FL),2.0,132.0,3083.0,836.0,459.0,321.0,0.424,0.302,0.743,23.4,6.3,3.5,2.4,3.6,0.056,-2.2,-0.2
45,43.0,DEN,Justin Jackson,Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,44.0,WAS,Issuf Sanon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,45.0,BRK,Hamidou Diallo,Kentucky,2.0,97.0,1422.0,508.0,264.0,53.0,0.449,0.247,0.607,14.7,5.2,2.7,0.5,1.2,0.039,-4.0,-0.7
48,46.0,HOU,De'Anthony Melton,USC,2.0,110.0,2151.0,705.0,354.0,334.0,0.397,0.294,0.765,19.6,6.4,3.2,3.0,1.8,0.04,-1.3,0.3
49,47.0,LAL,Sviatoslav Mykhailiuk,Kansas,2.0,98.0,1705.0,637.0,140.0,143.0,0.389,0.385,0.767,17.4,6.5,1.4,1.5,1.5,0.042,-2.7,-0.3
50,48.0,MIN,Keita Bates-Diop,Ohio State,2.0,74.0,1247.0,439.0,210.0,47.0,0.426,0.303,0.699,16.9,5.9,2.8,0.6,1.5,0.059,-2.2,-0.1
51,49.0,SAS,Chimezie Metu,USC,2.0,47.0,250.0,109.0,69.0,23.0,0.43,0.0,0.767,5.3,2.3,1.5,0.5,0.0,-0.003,-4.3,-0.1
52,50.0,IND,Alize Johnson,Missouri State,2.0,31.0,182.0,47.0,67.0,8.0,0.356,0.4,0.611,5.9,1.5,2.2,0.3,0.3,0.081,-3.7,-0.1
53,51.0,NOP,Tony Carr,Penn State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,52.0,UTA,Vince Edwards,Purdue,1.0,2.0,16.0,3.0,2.0,0.0,0.25,0.25,0.0,8.0,1.5,1.0,0.0,0.0,-0.014,-6.4,0.0
55,53.0,OKC,Devon Hall,Virginia,1.0,11.0,81.0,20.0,7.0,13.0,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.4,-0.1
56,54.0,DAL,Shake Milton,SMU,2.0,60.0,1073.0,464.0,123.0,122.0,0.462,0.402,0.778,17.9,7.7,2.1,2.0,2.4,0.109,-1.5,0.1
57,55.0,CHO,Arnoldas Kulboka,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,56.0,PHI,Ray Spalding,Louisville,1.0,14.0,148.0,54.0,48.0,5.0,0.532,0.0,0.333,10.6,3.9,3.4,0.4,0.2,0.051,-5.1,-0.1
59,57.0,OKC,Kevin Hervey,UT Arlington,1.0,10.0,52.0,17.0,12.0,5.0,0.259,0.15,0.0,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0.0
60,58.0,DEN,Thomas Welsh,UCLA,1.0,11.0,36.0,18.0,4.0,5.0,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0.0
61,59.0,PHO,George King,Colorado,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,-0.001,-7.9,0.0
62,60.0,PHI,Kostas Antetokounmpo,Dayton,2.0,7.0,31.0,9.0,4.0,2.0,0.5,0.0,0.5,4.4,1.3,0.6,0.3,0.0,0.037,-5.0,0.0
